kept_index,curve_id,doi,doi_dir,top_dir,figure_folder,figure_label,figure_short,panel_letter,series_id,legend_hint,csv_path,max_x_hours,abs_max_pce,pce_at_200h,norm_pce_at_200h,delta_pce_rel_pct,max_pce_source,max_pce_bin,max_pce_bin_index,max_pce_bin_absolute,max_pce_bin_absolute_index,som_cluster_id,som_coord
1216,1241,10.1021/acs.chemmater.8b02002,10.1021_acs.chemmater.8b02002,x_time_h,Fig7_B_stability_performance_curve_pce,Fig7_B,Fig7,_B,Series_3,FAI,x_time_h/10.1021_acs.chemmater.8b02002/Fig7_B_stability_performance_curve_pce/accepted/10.1021_acs.chemmater.8b02002__Fig7__B__stability_performance_curve_pce__FAI__Series_3.csv,742.8847798910627,1.0139186588693319,1.011322678520024,0.997250497341156,0.2749502658843994,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1217,1242,10.1021/acs.chemmater.8b02970,10.1021_acs.chemmater.8b02970,x_time_h,Fig6_C_stability_performance_curve_pce,Fig6_C,Fig6,_C,Series_1,3D-Br10,x_time_h/10.1021_acs.chemmater.8b02970/Fig6_C_stability_performance_curve_pce/accepted/10.1021_acs.chemmater.8b02970__Fig6__C__stability_performance_curve_pce__3D-Br10__Series_1.csv,2156.1921765660336,0.9955520004910541,0.991093445502833,0.9955215454101562,0.447845458984375,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
1218,1243,10.1021/acs.chemmater.8b02970,10.1021_acs.chemmater.8b02970,x_time_h,Fig6_C_stability_performance_curve_pce,Fig6_C,Fig6,_C,Series_2,MD-Br10,x_time_h/10.1021_acs.chemmater.8b02970/Fig6_C_stability_performance_curve_pce/accepted/10.1021_acs.chemmater.8b02970__Fig6__C__stability_performance_curve_pce__MD-Br10__Series_2.csv,2136.5327946525495,0.9955520004910541,0.9732592255499483,0.9770569205284119,2.2943079471588135,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
1219,1244,10.1021/acs.chemmater.8b02970,10.1021_acs.chemmater.8b02970,x_time_h,Fig6_C_stability_performance_curve_pce,Fig6_C,Fig6,_C,Series_3,MD-Bro0,x_time_h/10.1021_acs.chemmater.8b02970/Fig6_C_stability_performance_curve_pce/accepted/10.1021_acs.chemmater.8b02970__Fig6__C__stability_performance_curve_pce__MD-Bro0__Series_3.csv,2144.9582440440427,1.0111569429498282,1.002239832973386,0.9955443739891052,0.44556260108947754,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1220,1245,10.1021/acs.chemmater.8b02970,10.1021_acs.chemmater.8b02970,x_time_h,Fig6_C_stability_performance_curve_pce,Fig6_C,Fig6,_C,Series_4,3D-Bro,x_time_h/10.1021_acs.chemmater.8b02970/Fig6_C_stability_performance_curve_pce/accepted/10.1021_acs.chemmater.8b02970__Fig6__C__stability_performance_curve_pce__3D-Bro__Series_4.csv,2156.1921765660336,1.0000105554792753,0.9866348905146117,0.9866892695426941,1.3310730457305908,pre-normalised,Q2,1,n/a,-1,0,"(0,0)"
1221,1246,10.1021/acs.energyfuels.0c01280,10.1021_acs.energyfuels.0c01280,x_time_h,Fig4_whole_stability,Fig4,Fig4,,Series_3,Control_device_Without_encapsulation,x_time_h/10.1021_acs.energyfuels.0c01280/Fig4_whole_stability/accepted/10.1021_acs.energyfuels.0c01280__Fig4__whole__stability__Control_device_Without_encapsulation__Series_3.csv,989.6268429364482,1.0015970311934825,0.9472410089244969,0.9523746371269226,4.76253604888916,pre-normalised,Q3,2,n/a,-1,0,"(0,0)"
1222,1247,10.1021/acs.energyfuels.1c00848,10.1021_acs.energyfuels.1c00848,x_time_h,Fig8_whole_stability,Fig8,Fig8,,Series_2,Untreated_ETL,x_time_h/10.1021_acs.energyfuels.1c00848/Fig8_whole_stability/accepted/10.1021_acs.energyfuels.1c00848__Fig8__whole__stability__Untreated_ETL__Series_2.csv,1097.1984233789162,0.9954678215970936,0.9603346186949282,0.9687524437904358,3.124755620956421,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
1223,1248,10.1021/acs.energyfuels.2c03191,10.1021_acs.energyfuels.2c03191,x_time_h,Fig6_D_schematic_diagram_stability_performance_curve,Fig6_D,Fig6,_D,Series_2,Control_PSC,x_time_h/10.1021_acs.energyfuels.2c03191/Fig6_D_schematic_diagram_stability_performance_curve/accepted/10.1021_acs.energyfuels.2c03191__Fig6__D__schematic_diagram_stability_performance_curve__Control_PSC__Series_2.csv,538.5794912379141,0.9934945773815351,0.7195176832788379,0.7431820631027222,25.681793212890625,pre-normalised,Q1,0,n/a,-1,2,"(1,0)"
1224,1249,10.1021/acs.jpcc.0c02289,10.1021_acs.jpcc.0c02289,x_time_h,Fig5_E_pce,Fig5_E,Fig5,_E,Series_1,Control,x_time_h/10.1021_acs.jpcc.0c02289/Fig5_E_pce/accepted/10.1021_acs.jpcc.0c02289__Fig5__E__pce__Control__Series_1.csv,488.95491073639096,1.0290650621237256,0.8472659452894993,0.820842981338501,17.91570281982422,pre-normalised,Q4,3,n/a,-1,2,"(1,0)"
1225,1250,10.1021/acs.jpcc.0c02289,10.1021_acs.jpcc.0c02289,x_time_h,Fig5_E_pce,Fig5_E,Fig5,_E,Series_2,CPA,x_time_h/10.1021_acs.jpcc.0c02289/Fig5_E_pce/accepted/10.1021_acs.jpcc.0c02289__Fig5__E__pce__CPA__Series_2.csv,289.54593876310423,0.9868616957157802,0.25966522837887474,0.27514562010765076,72.48543548583984,pre-normalised,Q1,0,n/a,-1,1,"(0,1)"
