bin_index,bin_label,bin_lo_edge,bin_hi_edge,n_curves,abs_pce_min,abs_pce_max,abs_pce_mean,delta_pce_rel_mean_pct,delta_pce_rel_median_pct,delta_pce_rel_q25_pct,delta_pce_rel_q75_pct
0,Q1,,12.728999666483759,67,1.5910318538347423,12.728999666483759,9.302646203647205,19.87089515799907,15.317911148071289,3.9121031761169434,29.171422004699707
1,Q2,12.728999666483759,16.40696382031234,66,12.88717078935285,16.40696382031234,14.705939210506378,17.023547866127707,10.802367210388184,6.022906303405762,23.94849681854248
2,Q3,16.40696382031234,18.974555935475017,66,16.41136507550747,18.974555935475017,17.705483340827826,18.52200496196747,7.6459736824035645,4.509124040603638,25.553547859191895
3,Q4,18.974555935475017,98.26819826051695,66,18.99641332979046,98.26819826051695,27.892025962790957,16.58204858230822,8.647751808166504,4.103309154510498,24.010185718536377
4,Q5,98.26819826051695,,66,98.32946663726584,153.1627133773559,101.69948379018632,18.08832041422526,11.856389045715332,5.715268850326538,21.90079355239868
