,c0,c1,c2,c3,c4
c0,0.0,7.144516509102535,17.27858087586357,14.886668152756876,11.786491665500627
c1,7.144516509102535,0.0,10.24279189660258,7.821758871898025,4.713588635334777
c2,17.27858087586357,10.24279189660258,0.0,2.428953434601076,5.5301831829259225
c3,14.886668152756876,7.821758871898025,2.428953434601076,0.0,3.1105858455370554
c4,11.786491665500627,4.713588635334777,5.5301831829259225,3.1105858455370554,0.0
