kind,repeats,ari_valid_fraction,degenerate_run_fraction,ari_zero_for_degenerate_mean,ari_mean,ari_p05,ari_p95,ari_assigned_mean,ari_assigned_p05,ari_assigned_p95,vi_mean,vi_p05,vi_p95,noise_fraction_mean,noise_fraction_p05,noise_fraction_p95,n_clusters_mean,n_clusters_p05,n_clusters_p95
sample_bootstrap,50,0.92,0.08,0.4802516197250331,0.5220126301359056,-0.08761227979764552,0.9782878812039639,0.7325713306905561,0.03983475579011583,1.0,0.6937674048067021,0.12718775489581793,1.419928410827352,0.28936708860759497,0.04367088607594937,0.8974683544303791,2.34,0.9000000000000004,4.099999999999994
figure_bootstrap,50,0.92,0.08,0.48505663395719223,0.5272354716926003,-0.14591936538237765,0.9966498465553166,0.7733205148148007,0.21494628950142305,1.0,0.6876488343857702,0.04069308251613245,1.5010801072240045,0.28134487868251573,0.025750000000000002,1.0,2.38,0.0,5.0
repeated_seed,50,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0.10126582278481011,0.10126582278481013,0.10126582278481013,2.0,2.0,2.0
drop_5pct,50,0.8,0.2,0.7628300012839948,0.9535375016049935,0.8608380628147047,1.0,0.9855986298176216,0.8989276908620901,1.0,0.2163873910761077,-4.440892098500626e-16,0.5881660588971047,0.2779746835443038,0.06329113924050633,1.0,1.62,0.0,2.0
drop_10pct,50,0.66,0.34,0.5736776729225512,0.8692085953371989,0.11022926699443916,1.0,0.9383231902680149,0.691988616800407,1.0,0.3686936207123683,0.03352201244470402,0.8160768972814059,0.42050632911392405,0.056329113924050635,1.0,1.34,0.0,2.0
