ari,ari_assigned,vi,common_assigned_fraction,cluster_0_jaccard,cluster_1_jaccard,repeat,n_unique,n_clusters,noise_fraction,candidate_id,cluster_2_jaccard,cluster_3_jaccard,cluster_4_jaccard
,,0.9637656354372448,0.5833333333333334,0.6046511627906976,,0,48,2,0.43037974683544306,300h__robust__full__000,,,
0.9526522687123009,1.0,0.20246145445848773,0.8627450980392157,1.0,0.5,1,51,2,0.05063291139240506,300h__robust__full__000,,,
0.9688825102746428,1.0,0.15368707675376503,0.9056603773584906,1.0,0.5714285714285714,2,53,2,0.0379746835443038,300h__robust__full__000,,,
0.9790959618316856,1.0,0.12034602073109901,0.9215686274509803,1.0,0.6,3,51,2,0.0379746835443038,300h__robust__full__000,,,
0.44798443843529645,0.4832189559220185,0.961028323493968,0.8461538461538461,0.8222222222222222,0.375,4,52,2,0.0759493670886076,300h__robust__full__000,,,
0.9668428640076886,1.0,0.16419446641615343,0.8913043478260869,1.0,0.7142857142857143,5,46,2,0.0759493670886076,300h__robust__full__000,,,
0.3251056866221192,,0.9336679655326635,0.673469387755102,0.75,0.0,6,49,2,0.31645569620253167,300h__robust__full__000,,,
0.9708873080666818,1.0,0.15285411371947166,0.8723404255319149,1.0,0.6,7,47,2,0.0759493670886076,300h__robust__full__000,,,
0.2875598000394188,0.8511861969805895,0.9451150550410363,0.5833333333333334,0.6216216216216216,0.8,8,48,3,0.3924050632911392,300h__robust__full__000,,,
-0.1297229052350913,,1.1107951842323993,0.26666666666666666,0.175,0.0,9,45,2,0.6329113924050633,300h__robust__full__000,,,
0.7904796148977135,1.0,0.4665872916080894,0.7222222222222222,0.95,0.16666666666666666,10,54,2,0.27848101265822783,300h__robust__full__000,,,
0.9725191955530471,1.0,0.13350465962156055,0.9166666666666666,1.0,0.5,11,48,2,0.0379746835443038,300h__robust__full__000,,,
0.9847713404129884,1.0,0.10010344944016847,0.8846153846153846,1.0,0.8,12,52,2,0.08860759493670886,300h__robust__full__000,,,
0.9260892851516965,1.0,0.14561713073726912,0.8653846153846154,0.975609756097561,1.0,13,52,2,0.17721518987341772,300h__robust__full__000,,,
,,0.6350047569400391,0.0,0.0,0.0,14,50,0,1.0,300h__robust__full__000,,,
-0.16547497446373852,,1.2215827266890167,0.2653061224489796,0.2,0.0,15,49,2,0.759493670886076,300h__robust__full__000,,,
0.9084708722892416,1.0,0.1354770908795413,0.9230769230769231,0.9777777777777777,1.0,16,52,2,0.0379746835443038,300h__robust__full__000,,,
0.55164901076995,0.3386778013878776,0.6866573570808521,0.8846153846153846,0.8936170212765957,0.16666666666666666,17,52,2,0.08860759493670886,300h__robust__full__000,,,
0.9708873080666818,1.0,0.15285411371947166,0.8723404255319149,1.0,0.6,18,47,2,0.08860759493670886,300h__robust__full__000,,,
0.976736689737383,1.0,0.13196307196259904,0.9019607843137255,1.0,0.6,19,51,2,0.05063291139240506,300h__robust__full__000,,,
0.2130406714009038,,1.0793066331955514,0.6086956521739131,0.6666666666666666,0.0,20,46,2,0.3670886075949367,300h__robust__full__000,,,
0.9549033643521833,1.0,0.2652332453551407,0.8444444444444444,1.0,0.5,21,45,2,0.10126582278481013,300h__robust__full__000,,,
0.9252691288236482,1.0,0.14798212144157152,0.8627450980392157,0.975,1.0,22,51,2,0.10126582278481013,300h__robust__full__000,,,
0.21541434579970445,0.6163731196613501,1.0903654733202282,0.5918367346938775,0.625,0.5,23,49,3,0.3291139240506329,300h__robust__full__000,,,
0.9806331069670511,1.0,0.11375880573911634,0.8571428571428571,1.0,0.8333333333333334,24,49,2,0.11392405063291139,300h__robust__full__000,,,
-0.1190606106903551,,1.098228267938204,0.28846153846153844,0.2608695652173913,0.0,25,52,2,0.6582278481012658,300h__robust__full__000,,,
0.9864412186951667,1.0,0.0931637783561996,0.9019607843137255,1.0,0.75,26,51,2,0.08860759493670886,300h__robust__full__000,,,
