ari,ari_assigned,vi,common_assigned_fraction,cluster_0_jaccard,cluster_1_jaccard,repeat,n_unique,n_clusters,noise_fraction
-0.16090468209535355,,1.1226796961335588,0.18518518518518517,0.0,0.13636363636363635,0,54,2,0.7922077922077922
0.2788025831237035,0.31898093377720305,1.0881782145565517,0.7708333333333334,0.75,0.65,1,48,4,0.1794871794871795
0.1282352333723204,0.27881904309217986,1.3004410770845434,0.68,1.0,0.43902439024390244,2,50,5,0.32432432432432434
0.9849951499474577,1.0,0.09997069237667744,0.9111111111111111,0.75,1.0,3,45,2,0.09876543209876543
0.7081863861926906,0.7596223286168989,0.5202051540376573,0.8627450980392157,0.6666666666666666,0.9047619047619048,4,51,3,0.11842105263157894
0.9790085447570753,1.0,0.11232602969908467,0.9411764705882353,0.6666666666666666,1.0,5,51,2,0.013888888888888888
0.39204134366925064,0.48903908316191597,0.8484529904593922,0.8846153846153846,0.375,0.8297872340425532,6,52,2,0.025
-0.09099943047720385,,1.635985389196521,0.48,0.0,0.24390243902439024,7,50,4,0.44871794871794873
-0.08892925590867806,,1.1905544390422733,0.39622641509433965,0.0,0.3404255319148936,8,53,2,0.5641025641025641
,,0.5303822984556146,0.0,0.0,0.0,9,46,0,1.0
0.43884534463751473,,0.7320889859765,0.7872340425531915,0.0,0.8292682926829268,10,47,2,0.20833333333333334
0.7883997198672414,0.8209246982831888,0.38856986618145395,0.9148936170212766,0.5,0.9512195121951219,11,47,2,0.05194805194805195
1.0,1.0,-4.440892098500626e-16,0.8867924528301887,1.0,1.0,12,53,2,0.11842105263157894
0.571376042519764,1.0,0.7831997285637169,0.6739130434782609,0.3333333333333333,0.8529411764705882,13,46,3,0.34523809523809523
,,0.5455199975066201,0.0,0.0,0.0,14,50,0,1.0
0.9269883642078297,1.0,0.1323298297381088,0.8947368421052632,1.0,0.9787234042553191,15,57,2,0.07692307692307693
0.9094319610307983,1.0,0.23794319474977588,0.8703703703703703,0.8,0.9772727272727273,16,54,2,0.13513513513513514
0.5052203640395454,,0.7190164177707905,0.7333333333333333,0.0,0.8378378378378378,17,45,2,0.22666666666666666
0.831869609937495,1.0,0.3707698032331358,0.8627450980392157,0.7142857142857143,0.9512195121951219,18,51,2,0.09210526315789473
-0.1459451172773264,,1.2799788957822786,0.30434782608695654,0.0,0.2,19,46,3,0.6
0.970816280361146,1.0,0.14981076663656068,0.8636363636363636,0.5,1.0,20,44,2,0.06666666666666667
0.8237782949016289,1.0,0.47127829437405566,0.8163265306122449,0.7142857142857143,0.9459459459459459,21,49,2,0.17857142857142858
-0.04387623122077405,,1.17578568591395,0.4418604651162791,0.0,0.4722222222222222,22,43,2,0.5454545454545454
0.3278135739169722,0.4329214118407237,1.1950151391229382,0.7446808510638298,0.5,0.6388888888888888,23,47,5,0.16455696202531644
-0.05059362180610813,-0.02830095651316438,1.7621882839924452,0.6,0.18181818181818182,0.18,24,55,5,0.3103448275862069
0.8231917926066692,1.0,0.47579113785137184,0.8431372549019608,0.625,0.95,25,51,2,0.11538461538461539
-0.0032871735933067037,0.0659098644563237,1.8687244672704768,0.6458333333333334,0.375,0.23684210526315788,26,48,5,0.2876712328767123
0.8967139538851197,1.0,0.2840712159773121,0.8518518518518519,0.6,0.9772727272727273,27,54,2,0.09210526315789473
0.35172277892524284,,0.967074496160314,0.7058823529411765,0.0,0.7674418604651163,28,51,3,0.1978021978021978
,,0.6792643472819337,0.0,0.0,0.0,29,45,0,1.0
0.970807115548577,1.0,0.14809523068801256,0.851063829787234,0.5,1.0,30,47,2,0.13414634146341464
,,0.6112855128979506,0.0,0.0,0.0,31,53,0,1.0
0.9854420142063436,1.0,0.09590336136033395,0.9347826086956522,0.8,1.0,32,46,2,0.05
0.2385228682694316,0.5127226804954725,1.140101593735181,0.62,0.3333333333333333,0.6341463414634146,33,50,3,0.352112676056338
0.9736485004103456,1.0,0.14024837727677997,0.9148936170212766,0.6666666666666666,1.0,34,47,2,0.02666666666666667
-0.1830849819457865,,1.3361958737020418,0.2727272727272727,0.0,0.1388888888888889,35,44,3,0.675
0.5044781260764726,0.39274612947576065,0.6450858251802494,0.8775510204081632,0.5,0.8372093023255814,36,49,3,0.05952380952380952
1.0,1.0,0.0,0.92,1.0,1.0,37,50,2,0.1038961038961039
0.407793646784693,0.708921088827048,0.9482827093897374,0.7142857142857143,0.42857142857142855,0.7608695652173914,38,56,3,0.18292682926829268
0.9844854448544486,1.0,0.10224275356705625,0.9090909090909091,0.75,1.0,39,44,2,0.0641025641025641
0.9865993862212665,1.0,0.09042907225807206,0.8688524590163934,0.8,1.0,40,61,2,0.10975609756097561
0.8666100483226815,1.0,0.12831319330625335,0.9583333333333334,1.0,0.9772727272727273,41,48,2,0.012658227848101266
0.2779368554375619,0.6477272727272727,1.0485789989506902,0.6078431372549019,0.5714285714285714,0.6,42,51,3,0.275
0.058886096131882386,,1.1411578187467235,0.5517241379310345,0.0,0.5714285714285714,43,58,2,0.41975308641975306
1.0,1.0,-6.661338147750939e-16,0.9433962264150944,1.0,1.0,44,53,2,0.04938271604938271
0.43376274737686404,0.4429379863239802,0.8524907035364113,0.7659574468085106,0.4,0.7692307692307693,45,47,3,0.18072289156626506
0.816467000781429,1.0,0.43363697374259413,0.84,0.6,0.9512195121951219,46,50,2,0.15384615384615385
0.5774707547636024,0.6403248477276277,0.795091303972175,0.8771929824561403,0.4444444444444444,0.8775510204081632,47,57,2,0.04938271604938271
-0.1458421096975314,,1.202088849372103,0.29411764705882354,0.0,0.2857142857142857,48,51,2,0.6049382716049383
0.4459463747966176,0.5829216062255937,0.8556170324805273,0.7818181818181819,0.7142857142857143,0.75,49,55,3,0.18518518518518517
