ari,ari_assigned,vi,common_assigned_fraction,cluster_0_jaccard,cluster_1_jaccard,repeat,n_unique,n_clusters,noise_fraction
,,1.060238040866242,0.2916666666666667,,0.18604651162790697,0,48,2,0.7468354430379747
0.959489085883138,1.0,0.1874649699177766,0.8627450980392157,0.5714285714285714,1.0,1,51,2,0.06329113924050633
0.9758636393207989,1.0,0.1355498744304744,0.9056603773584906,0.6666666666666666,1.0,2,53,2,0.05063291139240506
0.9790959618316856,1.0,0.12034602073109901,0.9215686274509803,0.6,1.0,3,51,2,0.0379746835443038
0.3407316280285308,0.2741868805935129,1.2010747934856036,0.75,0.375,0.675,4,52,3,0.3037974683544304
0.8860387822930897,1.0,0.3056471509444322,0.8913043478260869,0.7142857142857143,0.972972972972973,5,46,2,0.05063291139240506
0.6123940473897129,,0.6088581922105281,0.7755102040816326,0.0,0.875,6,49,2,0.21518987341772153
0.30897318252585343,0.2028985507246377,1.0429347352021838,0.23404255319148937,0.5,0.05263157894736842,7,47,5,0.5443037974683544
0.23028312550621702,0.8360655737704918,1.0354600045732891,0.4375,0.5714285714285714,0.43243243243243246,8,48,3,0.4810126582278481
-0.04709479449644204,,1.2160936490759018,0.4888888888888889,0.0,0.425,9,45,2,0.4810126582278481
0.3737946812430905,0.5913684785577711,1.0219908724419577,0.6296296296296297,0.25,0.75,10,54,2,0.35443037974683544
0.5255802305832645,0.4785276073619632,0.6509266487782518,0.875,0.5,0.8292682926829268,11,48,3,0.06329113924050633
0.9729116871974015,1.0,0.14688788499111038,0.8846153846153846,0.6666666666666666,1.0,12,52,2,0.0759493670886076
0.8217729102312085,1.0,0.40113499811690634,0.8076923076923077,0.6,0.9512195121951219,13,52,2,0.21518987341772153
0.6726313093634126,,0.5582551766877194,0.76,0.0,0.9,14,50,2,0.189873417721519
-0.16728624535315986,,1.176248041551697,0.22448979591836735,0.0,0.15,15,49,2,0.7721518987341772
,,0.5359610497090694,0.0,0.0,0.0,16,52,0,1.0
-0.0039373728670291375,0.07035774721738923,1.6839423892439975,0.5769230769230769,0.42857142857142855,0.26666666666666666,17,52,5,0.379746835443038
0.9625173370319001,1.0,0.1769737482280711,0.8723404255319149,0.5,1.0,18,47,2,0.0759493670886076
0.8930323471359751,1.0,0.26919486775469637,0.8823529411764706,0.6,0.9767441860465116,19,51,2,0.0759493670886076
0.22197461228014992,,1.1451610680712698,0.6304347826086957,0.0,0.6666666666666666,20,46,3,0.31645569620253167
0.47990339830947043,0.7444428509967016,0.8373560507367712,0.7333333333333333,0.6666666666666666,0.7714285714285715,21,45,3,0.17721518987341772
0.837287583061988,1.0,0.3609577394749879,0.803921568627451,0.8,0.9487179487179487,22,51,2,0.17721518987341772
