curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片62_ec636b173b,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_1__Series_1.csv,图片62,samples_test__unknown__unknown__图片62__Series_1__Series_1,Time,(h),SPO,(Normalized),,37,0,,,
图片62_425477c17e,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_2__Series_2.csv,图片62,samples_test__unknown__unknown__图片62__Series_2__Series_2,Time,(h),SPO,(Normalized),,90,0,,,
图片64_6b95ea0fa8,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_1__Series_1.csv,图片64,samples_test__unknown__unknown__图片64__Series_1__Series_1,,,,,,100,0,,,
图片64_840a3f4a83,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_2__Series_2.csv,图片64,samples_test__unknown__unknown__图片64__Series_2__Series_2,,,,,,25,0,,,
图片65_d5a5bfe761,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_1__Series_1.csv,图片65,samples_test__unknown__unknown__图片65__Series_1__Series_1,Time,h,,,,105,0,,,
图片65_196eb738ee,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_2__Series_2.csv,图片65,samples_test__unknown__unknown__图片65__Series_2__Series_2,Time,h,,,,28,0,,,
图片77_5032306ae6,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片77/accepted/samples_test__unknown__unknown__图片77__Series_1__Series_1.csv,图片77,samples_test__unknown__unknown__图片77__Series_1__Series_1,Time,(h),Non-encapsulated devices PCE,(%),1.0,72,0,-0.2855846658024745,98.58733212402387,98.87291678982635
图片77_5afec19dfb,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片77/accepted/samples_test__unknown__unknown__图片77__Series_2__Series_2.csv,图片77,samples_test__unknown__unknown__图片77__Series_2__Series_2,Time,(h),Non-encapsulated devices PCE,(%),1.0,72,2,-0.0070694072395838,98.86584738258676,98.87291678982635
图片8_7b77b8fefa,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA_PTAA_BCP__Series_3.csv,图片8,samples_test__unknown__unknown__图片8__EtCz3EPA_PTAA_BCP__Series_3,Cycles,,Efficiency,%,,51,0,,,
图片8_f1615b40a8,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA__Series_2.csv,图片8,samples_test__unknown__unknown__图片8__EtCz3EPA__Series_2,Cycles,,Efficiency,%,,52,0,,,
图片8_c4c9fdbce7,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__PTAA_BCP__Series_1.csv,图片8,samples_test__unknown__unknown__图片8__PTAA_BCP__Series_1,Cycles,,Efficiency,%,,52,0,,,
图片9_2733c50df4,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片9/accepted/samples_test__unknown__unknown__图片9__Control__Series_1.csv,图片9,samples_test__unknown__unknown__图片9__Control__Series_1,Number of temperature cycles,,Normalized PCE,,,47,0,,,
