curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours
图片33_093a67ddfe,True,,lab-v2/som_references/accepted/samples_test/图片33/accepted/samples_test__unknown__unknown__图片33__AZO_SnOx__Series_1.csv,图片33,samples_test__unknown__unknown__图片33__AZO_SnOx__Series_1,Time,(h),PCE,(%),1.0,29,1029.5070603389972
图片35_3575e71e8c,True,,lab-v2/som_references/accepted/samples_test/图片35/accepted/samples_test__unknown__unknown__图片35__Series_1__Series_1.csv,图片35,samples_test__unknown__unknown__图片35__Series_1__Series_1,Time (h),(h),PCE (relative %),(relative %),1.0,25,9939.757007994876
图片39_52020a09a1,True,,lab-v2/som_references/accepted/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_2__Series_2.csv,图片39,samples_test__unknown__unknown__图片39__Series_2__Series_2,Time,(h),PCE,(%),1.0,37,1963.3894378264695
图片39_6dfc311fc6,True,,lab-v2/som_references/accepted/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_1__Series_1.csv,图片39,samples_test__unknown__unknown__图片39__Series_1__Series_1,Time,(h),PCE,(%),1.0,37,1963.3894378264695
图片47_2e11cc21a9,True,,lab-v2/som_references/accepted/samples_test/图片47/accepted/samples_test__unknown__unknown__图片47__PTAA_BCP__Series_2.csv,图片47,samples_test__unknown__unknown__图片47__PTAA_BCP__Series_2,Duration,(hours),Efficiency,(%),1.0,40,4348.697638611017
图片47_eb2fe59862,True,,lab-v2/som_references/accepted/samples_test/图片47/accepted/samples_test__unknown__unknown__图片47__EtCz3EPA_PTAA_BCP__Series_1.csv,图片47,samples_test__unknown__unknown__图片47__EtCz3EPA_PTAA_BCP__Series_1,Duration,(hours),Efficiency,(%),1.0,44,4794.717909237788
图片48_1a4520b70c,True,,lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.csv,图片48,samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1,Duration,(hours),Efficiency,(%),1.0,42,1845.3625184336338
图片48_cf162c1fe3,True,,lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA__Series_2.csv,图片48,samples_test__unknown__unknown__图片48__EtCz3EPA__Series_2,Duration,(hours),Efficiency,(%),1.0,30,1305.2564154774482
图片58_365cfd8ab3,True,,lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_2__Series_2.csv,图片58,samples_test__unknown__unknown__图片58__Series_2__Series_2,Time,(h),Normal. PCE,,1.0,38,2328.663753826882
图片58_712607914b,True,,lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_1__Series_1.csv,图片58,samples_test__unknown__unknown__图片58__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,37,2265.7268956153443
图片58_7752eda896,True,,lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_3__Series_3.csv,图片58,samples_test__unknown__unknown__图片58__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,38,2328.663753826882
图片62_425477c17e,True,,lab-v2/som_references/accepted/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_2__Series_2.csv,图片62,samples_test__unknown__unknown__图片62__Series_2__Series_2,Time,(h),SPO,(Normalized),1.0,90,1423.402858681986
图片74_041c42f84e,True,,lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_2__Series_2.csv,图片74,samples_test__unknown__unknown__图片74__Series_2__Series_2,Time,(h),PCE,(%),1.0,26,1968.565132807737
图片74_8144fcd699,True,,lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_1__Series_1.csv,图片74,samples_test__unknown__unknown__图片74__Series_1__Series_1,Time,(h),PCE,(%),1.0,31,2036.446689111452
图片74_8e33f022bd,True,,lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_3__Series_3.csv,图片74,samples_test__unknown__unknown__图片74__Series_3__Series_3,Time,(h),PCE,(%),1.0,30,1968.5651328077367
图片75_28d00e69a3,True,,lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv,图片75,samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2,Storage time,(h),Normalized PCE,,1.0,54,1000.5514869950622
图片75_64c7ef280b,True,,lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.csv,图片75,samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1,Storage time,(h),Normalized PCE,,1.0,54,1000.5514869950623
图片87_3ff0e4a7d8,True,,lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_1__Series_1.csv,图片87,samples_test__unknown__unknown__图片87__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,41,1033.8789097239076
图片87_7e7efde409,True,,lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_2__Series_2.csv,图片87,samples_test__unknown__unknown__图片87__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,41,1033.8789097239076
图片89_316290ebc5,True,,lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA__Series_2.csv,图片89,samples_test__unknown__unknown__图片89__EtCz3EPA__Series_2,Durations (hours),(hours),Efficiency (%),(%),1.0,49,1002.7522677989434
图片89_89fab71596,True,,lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.csv,图片89,samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1,Durations (hours),(hours),Efficiency (%),(%),1.0,49,1002.7522677989435
图片89_f6c024444a,True,,lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.csv,图片89,samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3,Durations (hours),(hours),Efficiency (%),(%),1.0,49,1002.7522677989435
图片90_7b529f4afd,True,,lab-v2/som_references/accepted/samples_test/图片90/accepted/samples_test__unknown__unknown__图片90__Series_1__Series_1.csv,图片90,samples_test__unknown__unknown__图片90__Series_1__Series_1,Damp heat hour,,Normalized efficiency,,1.0,27,1781.270435697606
