time_hours,node_0_member_mean,node_0_som_weight,node_1_member_mean,node_1_som_weight,node_2_member_mean,node_2_som_weight,node_3_member_mean,node_3_som_weight
0.16666666666666666,0.9972053360635317,0.997207577235885,0.9870010195411729,0.9852746135381929,0.9995490073523476,0.9994834116732958,0.9999922586930947,0.9999921053999181
0.3333333333333333,0.9970246991755276,0.9970152547817507,0.9870353150362389,0.985331197157808,0.9986421230142071,0.9985378166526302,0.9991110988388189,0.9991171942908604
0.5,0.9968442951946096,0.9968232471361267,0.9870695364415119,0.9853876164721801,0.9977398316263768,0.9975971734016806,0.9982320810273633,0.9982443761290889
0.6666666666666666,0.9966641241207781,0.9966315542990144,0.9871036837569913,0.9854438714813091,0.9968421331888573,0.9966614819204483,0.9973552052587282,0.9973736509146003
0.8333333333333334,0.9964841859540331,0.9964401762704127,0.987137756982679,0.9854999621851949,0.9959490277016478,0.995730742208933,0.9964804715329133,0.996505018647394
1.0,0.9963044806943742,0.9962491130503236,0.987171756118573,0.9855558885838377,0.995060515164749,0.9948049542671343,0.9956078798499188,0.995638479327472
1.1666666666666667,0.996125008341802,0.9960583646387445,0.9872056811646739,0.9856116506772378,0.9941765955781605,0.9938841180950533,0.9947374302097447,0.9947740329548309
1.3333333333333333,0.9959457688963156,0.995867931035677,0.987239532120982,0.9856672484653943,0.9932972689418823,0.9929682336926882,0.9938691226123908,0.9939116795294751
1.5,0.9957667623579158,0.9956778122411213,0.9872733089874979,0.9857226819483081,0.9924225352559148,0.9920573010600404,0.9930029570578575,0.9930514190514022
1.6666666666666667,0.9955879887266024,0.9954880082550763,0.9873070117642201,0.9857779511259791,0.9915523945202571,0.9911513201971095,0.9921389335461444,0.9921932515206126
1.8333333333333333,0.9954094480023751,0.9952985190775429,0.9873406404511493,0.9858330559984072,0.9906868467349105,0.9902502911038953,0.9912770520772516,0.9913371769371047
2.0,0.9952311401852344,0.9951093447085206,0.9873741950482856,0.9858879965655921,0.9898258918998741,0.989354213780398,0.9904173126511793,0.9904831953008821
2.1666666666666665,0.9950530652751801,0.99492048514801,0.9874076755556298,0.985942772827534,0.9889695300151479,0.9884630882266177,0.9895597152679272,0.9896313066119408
2.3333333333333335,0.994875223272212,0.9947319403960102,0.9874410819731804,0.9859973847842329,0.9881177610807322,0.9875769144425542,0.9887042599274956,0.9887815108702834
2.5,0.9946976141763302,0.9945437104525214,0.9874744143009383,0.9860518324356891,0.9872705850966271,0.9866956924282079,0.9878509466298842,0.9879338080759089
2.6666666666666665,0.9945202379875349,0.9943557953175445,0.9875076725389029,0.9861061157819021,0.9864280020628327,0.9858194221835783,0.9869997753750932,0.9870881982288177
2.8333333333333335,0.9943430947058256,0.9941681949910789,0.9875408566870747,0.9861602348228723,0.985590011979348,0.9849481037086654,0.9861507461631226,0.9862446813290096
3.0,0.9941661843312032,0.993980909473125,0.9875739667454538,0.9862141895585992,0.9847566148461744,0.9840817370034692,0.9853038589939723,0.9854032573764858
3.1666666666666665,0.9939895068636664,0.9937939387636816,0.9876070027140398,0.9862679799890831,0.9839278106633109,0.9832203220679899,0.9844591138676424,0.9845639263712453
3.3333333333333335,0.9938130623032165,0.9936072828627492,0.987639964592833,0.9863216061143237,0.9831035994307578,0.982363858902228,0.9836165107841328,0.9837266883132865
3.5,0.9936368506498529,0.9934209417703288,0.9876728523818334,0.9863750679343217,0.982283981148515,0.9815123475061827,0.9827760497434436,0.9828915432026109
3.6666666666666665,0.9934608719035752,0.99323491548642,0.9877056660810406,0.9864283654490766,0.9814689558165826,0.9806657878798541,0.9819377307455748,0.9820584910392204
3.8333333333333335,0.9932851260643846,0.9930492040110214,0.9877384056904547,0.986481498658589,0.980658523434961,0.9798241800232423,0.9811015537905262,0.9812275318231115
4.0,0.9931096131322797,0.9928638073441349,0.9877710712100759,0.9865344675628576,0.9798526840036497,0.9789875239363484,0.9802675188782981,0.980398665554285
4.166666666666667,0.9929343331072614,0.9926787254857592,0.9878036626399047,0.9865872721618837,0.9790514375226487,0.9781558196191704,0.9794356260088902,0.979571892232743
