som_node,count,centroid_start,centroid_end,centroid_peak_time_h,centroid_trough_time_h
0,31,0.9972053360635317,0.870863177283362,0.16666666666666666,300.0
1,62,0.9870010195411729,0.9729700622278341,33.0,300.0
2,21,0.9995490073523476,0.7244562177248162,0.16666666666666666,300.0
3,2,0.9999922586930947,0.43214679663198874,0.16666666666666666,300.0
