raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name,naming_basis
0,54,0.9983528313896121,0.974347416002496,0.40584090085687685,-0.02400541538711609,-0.5925119305327352,-0.002888232591143749,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.406, slope_0_10h=-0.00240/h, slope_100_200h=-0.00289/h, Δ200h=-0.593, n=54"
1,28,1.0,0.8608031045021111,0.5000313904000119,-0.13919689549788894,-0.4999686095999881,-0.0004962739513535033,initial_drop_rapid_degradation_decelerating_loss,"PCE@200h=0.500, slope_0_10h=-0.01392/h, slope_100_200h=-0.00050/h, Δ200h=-0.500, n=28"
2,4,0.8133262064859106,0.7730093437286827,0.9665769404879209,-0.0403168627572279,0.15325073400201028,0.0007464963595009005,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.967, slope_0_10h=-0.00403/h, slope_100_200h=0.00075/h, Δ200h=0.153, n=4"
3,53,0.9870757131227043,0.9859806044676441,0.7643385349846928,-0.0010951086550601286,-0.22273717813801142,-0.001748654984941985,no_initial_change_moderate_degradation_steady_loss,"PCE@200h=0.764, slope_0_10h=-0.00011/h, slope_100_200h=-0.00175/h, Δ200h=-0.223, n=53"
4,41,0.9986523480340027,0.9514387236539866,0.26383290260454384,-0.047213624380016084,-0.7348194454294589,-0.002804371256231751,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.264, slope_0_10h=-0.00472/h, slope_100_200h=-0.00280/h, Δ200h=-0.735, n=41"
5,18,1.0,0.8735274458459688,0.15014709449409755,-0.12647255415403125,-0.8498529055059024,-0.0016512679355030666,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.150, slope_0_10h=-0.01265/h, slope_100_200h=-0.00165/h, Δ200h=-0.850, n=18"
6,103,0.9970843361917759,0.9658643115033654,0.7214057930102238,-0.031220024688410564,-0.27567854318155216,-0.0007869874416584865,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.721, slope_0_10h=-0.00312/h, slope_100_200h=-0.00079/h, Δ200h=-0.276, n=103"
7,245,0.9953274951163908,0.9916020423432247,0.9063022511591355,-0.00372545277316616,-0.0890252439572553,-0.0004591013234451439,no_initial_change_stable_decelerating_loss,"PCE@200h=0.906, slope_0_10h=-0.00037/h, slope_100_200h=-0.00046/h, Δ200h=-0.089, n=245"
8,71,0.9975975094123958,0.9565388652546786,0.5963894594023096,-0.041058644157717206,-0.4012080500100862,-0.0012507236028985408,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.596, slope_0_10h=-0.00411/h, slope_100_200h=-0.00125/h, Δ200h=-0.401, n=71"
9,53,0.9988120162984574,0.9871184403578662,0.5642736663589933,-0.011693575940591172,-0.43453834993946405,-0.00254704166215844,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.564, slope_0_10h=-0.00117/h, slope_100_200h=-0.00255/h, Δ200h=-0.435, n=53"
10,190,0.9958452800359945,0.990280888163146,0.8654550903922857,-0.0055643918728485176,-0.13039018964370874,-0.0005784913723232304,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.865, slope_0_10h=-0.00056/h, slope_100_200h=-0.00058/h, Δ200h=-0.130, n=190"
11,364,0.9901932887555159,0.9908207194980755,0.9802255738832707,0.0006274307425595538,-0.009967714872245237,-9.996052470380358e-05,no_initial_change_stable_decelerating_loss,"PCE@200h=0.980, slope_0_10h=0.00006/h, slope_100_200h=-0.00010/h, Δ200h=-0.010, n=364"
12,130,0.9950915170179745,0.985527170718291,0.7350898438999529,-0.009564346299683502,-0.2600016731180216,-0.001273252742656985,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.735, slope_0_10h=-0.00096/h, slope_100_200h=-0.00127/h, Δ200h=-0.260, n=130"
13,138,0.9976961667226851,0.9857267460169645,0.81492845950254,-0.011969420705720601,-0.18276770722014513,-0.0007074069267806631,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.815, slope_0_10h=-0.00120/h, slope_100_200h=-0.00071/h, Δ200h=-0.183, n=138"
14,298,0.9927701497916349,0.9936316774504458,0.9432153547864159,0.0008615276588108678,-0.04955479500521898,-0.0003075743719754097,no_initial_change_stable_decelerating_loss,"PCE@200h=0.943, slope_0_10h=0.00009/h, slope_100_200h=-0.00031/h, Δ200h=-0.050, n=298"
15,22,0.8104931170926698,0.8448006987122124,0.9687796486999773,0.034307581619542615,0.15828653160730755,1.504010618344849e-05,initial_gain_moderate_degradation_decelerating_loss,"PCE@200h=0.969, slope_0_10h=0.00343/h, slope_100_200h=0.00002/h, Δ200h=0.158, n=22"
