curve_id,n_time_points,time_start_h,time_end_h,max_abs_before_normalization,max_abs_after_normalization,all_finite_after_smoothing
图片102_3dfd74212a,900,0.16666666666666666,150.0,1.0036369299852417,1.0,True
图片102_d8c245ba7a,900,0.16666666666666666,150.0,1.1040909172918743,1.0,True
图片103_2b72774534,900,0.16666666666666666,150.0,0.996539823579448,1.0,True
图片103_bcfcaf0360,900,0.16666666666666666,150.0,1.0036953156333352,1.0,True
图片105_32d68f1b45,900,0.16666666666666666,150.0,0.9951544843417754,1.0,True
图片105_457cd7852f,900,0.16666666666666666,150.0,1.0098511249854132,1.0,True
图片107_b2f4df4336,900,0.16666666666666666,150.0,0.9987738917773843,1.0,True
图片107_f3230ee0e8,900,0.16666666666666666,150.0,1.0215766008851734,1.0,True
图片113_5031dc5ac2,900,0.16666666666666666,150.0,1.004408910587709,1.0,True
图片113_5b5ce508bd,900,0.16666666666666666,150.0,1.0043249956343516,1.0,True
图片114_22f5dc923d,900,0.16666666666666666,150.0,0.974768506769387,1.0,True
图片114_2c13d60cfd,900,0.16666666666666666,150.0,1.0134412887478532,1.0,True
图片114_5d05de147f,900,0.16666666666666666,150.0,1.0111195138553042,1.0,True
图片115_01afabb0c0,900,0.16666666666666666,150.0,0.9920719517046227,1.0,True
图片115_8cc5d1e2b8,900,0.16666666666666666,150.0,1.0129473069693182,1.0,True
图片11_803413880f,900,0.16666666666666666,150.0,1.005555318875574,1.0,True
图片11_fe30bf81d3,900,0.16666666666666666,150.0,1.001052288000373,1.0,True
图片121_09e036200a,900,0.16666666666666666,150.0,21.626067037540146,1.0,True
图片121_6f2a55d713,900,0.16666666666666666,150.0,24.73966326626309,1.0,True
图片127_90c3584dc3,900,0.16666666666666666,150.0,1.0028096548677328,1.0,True
图片127_cfb6747cd0,900,0.16666666666666666,150.0,0.9992750485627341,1.0,True
图片127_fae8afb771,900,0.16666666666666666,150.0,0.9849544610206639,1.0,True
图片12_8ead6ff972,900,0.16666666666666666,150.0,1.0002763818118199,1.0,True
图片12_c4564666ed,900,0.16666666666666666,150.0,0.9940010604470967,1.0,True
图片132_1d81c7ef0c,900,0.16666666666666666,150.0,1.0036341667154303,1.0,True
