window_hours,n_curves,n_time_points,requested_clusters,occupied_clusters,grid_x,grid_y,sigma,learning_rate,iterations,seed,quantization_error,topographic_error,cluster_sizes,elapsed_seconds,selection_note
150,103,900,16,16,4,4,0.3,0.1,50000,42,0.29289525595453575,0.5533980582524272,"[7, 16, 5, 2, 5, 1, 5, 22, 2, 7, 7, 8, 5, 2, 5, 4]",1.5675349235534668,IFO morphology not used in fitting or selection
300,94,1800,16,16,4,4,0.3,0.1,50000,42,0.5786312467570699,0.6170212765957447,"[2, 3, 4, 15, 12, 12, 3, 4, 5, 3, 7, 2, 8, 9, 3, 2]",2.558945894241333,IFO morphology not used in fitting or selection
500,86,3000,16,16,4,4,0.3,0.1,50000,42,0.8139419807156222,0.7790697674418605,"[1, 3, 3, 5, 3, 2, 12, 7, 5, 5, 2, 4, 11, 6, 2, 15]",3.943690061569214,IFO morphology not used in fitting or selection
