id,dt_h
C003,7.339510703074097
C003,7.339510703074083
C003,7.339510703074097
C003,7.339510703074083
C003,7.339510703074083
C003,7.339510703074097
C003,7.339510703074083
C003,7.339510703074097
C003,7.339510703074097
C003,7.339510703074069
C003,7.339510703074097
C003,7.339510703074097
C003,7.339510703074069
C003,7.339510703074097
C003,7.339510703074083
C003,7.339510703074126
C003,7.339510703074055
C003,7.339510703074112
C003,7.339510703074097
C003,7.3395107030740405
C003,7.339510703074097
C003,7.339510703074097
C003,7.339510703074097
C003,7.339510703074097
C003,7.339510703074097
C003,7.3395107030740405
C003,7.339510703074097
C003,7.339510703074097
C003,7.339510703074097
C004,7.339510703074097
C004,7.339510703074083
C004,7.339510703074097
C004,7.339510703074083
C004,7.339510703074083
C004,7.339510703074097
C004,7.339510703074083
C004,7.339510703074097
C004,7.339510703074097
C004,7.339510703074069
C004,7.339510703074097
C004,7.339510703074097
C004,7.339510703074069
C004,7.339510703074097
C004,7.339510703074083
C004,7.339510703074126
C004,7.339510703074055
C004,7.339510703074112
C004,7.339510703074097
C004,7.3395107030740405
C004,7.339510703074097
C004,7.339510703074097
C004,7.339510703074097
C004,7.339510703074097
C004,7.339510703074097
C004,7.3395107030740405
C004,7.339510703074097
C004,7.339510703074097
C004,7.339510703074097
C005,15.654267358722706
C005,46.962802076168174
C005,15.654267358722706
C005,15.654267358722706
C005,15.654267358722734
C005,15.65426735872272
C005,15.654267358722748
C005,15.654267358722677
C005,15.654267358722734
C005,15.654267358722734
C005,15.654267358722763
C005,15.654267358722677
C005,15.654267358722706
C005,15.654267358722734
C005,15.654267358722763
C005,15.654267358722677
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
C005,15.654267358722677
C005,15.654267358722791
C005,15.654267358722677
