quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_overlap_ratio,cluster_sizes,setting,source,k,layout,sigma,learning_rate,random_order,seed,iterations
0.7082687132403513,0.05763809045436978,0.0,0.7069438540409987,2,0,304,0.15637860082304528,0.050269248644766826,0.2606155109786811,5.184392406880096,1640;304,paper_main,paper,2,1x2,0.5,0.1,False,0,10000
0.7082687132403513,0.05763809045436978,0.0,0.7069438540409987,2,0,304,0.15637860082304528,0.050269248644766826,0.2606155109786811,5.184392406880096,304;1640,paper_main,paper,2,1x2,0.5,0.1,False,11,10000
0.7082687132403513,0.05763809045436978,0.0,0.7069438540409987,2,0,304,0.15637860082304528,0.050269248644766826,0.2606155109786811,5.184392406880096,1640;304,paper_main,paper,2,1x2,0.5,0.1,False,23,10000
0.7082687132403513,0.05763809045436978,0.0,0.7069438540409987,2,0,304,0.15637860082304528,0.050269248644766826,0.2606155109786811,5.184392406880096,1640;304,paper_main,paper,2,1x2,0.5,0.1,False,42,10000
0.7082687132403513,0.05763809045436978,0.0,0.7069438540409987,2,0,304,0.15637860082304528,0.050269248644766826,0.2606155109786811,5.184392406880096,304;1640,paper_main,paper,2,1x2,0.5,0.1,False,77,10000
0.5108937887488216,0.04157594689416619,0.11676954732510288,0.6141630557684378,3,0,147,0.07561728395061729,0.03367560812762224,0.13688431269478532,4.064791114445885,434;1363;147,paper_main,paper,3,1x3,0.5,0.1,False,0,10000
0.5108937810388436,0.04157594626673708,0.8832304526748971,0.6141630557684378,3,0,147,0.07561728395061729,0.033675607351531064,0.1368843263738914,4.064791614325648,434;147;1363,paper_main,paper,3,1x3,0.5,0.1,False,11,10000
0.5108938292628349,0.041575950191149826,0.0,0.6141630557684378,3,0,147,0.07561728395061729,0.03367560745825046,0.13688431481323796,4.064791258149577,1363;434;147,paper_main,paper,3,1x3,0.5,0.1,False,23,10000
0.5108937887488216,0.04157594689416619,0.11676954732510288,0.6141630557684378,3,0,147,0.07561728395061729,0.03367560812762224,0.13688431269478532,4.064791114445885,434;1363;147,paper_main,paper,3,1x3,0.5,0.1,False,42,10000
0.5108938292628349,0.041575950191149826,0.0,0.6141630557684378,3,0,147,0.07561728395061729,0.03367560745825046,0.13688431481323796,4.064791258149577,1363;434;147,paper_main,paper,3,1x3,0.5,0.1,False,77,10000
0.4249212953948018,0.03457960460783803,0.0,0.5759727721191544,4,0,65,0.03343621399176955,0.027571542531899994,0.10185515512196092,3.694213154756261,65;1203;198;478,paper_main,paper,4,2x2,0.5,0.1,False,0,10000
0.4249212953948018,0.03457960460783803,0.0,0.5759727721191544,4,0,65,0.03343621399176955,0.027571542531899994,0.10185515512196092,3.694213154756261,1203;478;65;198,paper_main,paper,4,2x2,0.5,0.1,False,11,10000
0.4249212953948018,0.03457960460783803,0.0,0.5759727721191544,4,0,65,0.03343621399176955,0.027571542531899994,0.10185515512196092,3.694213154756261,478;1203;198;65,paper_main,paper,4,2x2,0.5,0.1,False,23,10000
0.4249212953948018,0.03457960460783803,0.0,0.5759727721191544,4,0,65,0.03343621399176955,0.027571542531899994,0.10185515512196092,3.694213154756261,478;198;1203;65,paper_main,paper,4,2x2,0.5,0.1,False,42,10000
0.4249212953948018,0.03457960460783803,0.0,0.5759727721191544,4,0,65,0.03343621399176955,0.027571542531899994,0.10185515512196092,3.694213154756261,65;198;1203;478,paper_main,paper,4,2x2,0.5,0.1,False,77,10000
0.36524867621865814,0.029723515728818803,0.0,0.5171342944681941,5,0,42,0.021604938271604937,0.02216971855765699,0.07141914499458026,3.2214727853048,42;134;269;476;1023,paper_main,paper,5,1x5,0.5,0.1,False,0,10000
0.3652487460750269,0.029723521413649468,0.2602880658436214,0.5171342944681941,5,0,42,0.021604938271604937,0.022169717750581148,0.07141914425564155,3.2214728692496744,42;134;476;1023;269,paper_main,paper,5,1x5,0.5,0.1,False,11,10000
0.3652486761913323,0.029723515726595057,0.0,0.5171342944681941,5,0,42,0.021604938271604937,0.02216971855765699,0.07141914499458026,3.2214727853048,1023;476;269;134;42,paper_main,paper,5,1x5,0.5,0.1,False,23,10000
0.3652488720001915,0.029723531661294034,0.9583333333333334,0.5171342944681941,5,0,42,0.021604938271604937,0.022169718438405504,0.07141914783400716,3.221472930709999,1023;269;42;134;476,paper_main,paper,5,1x5,0.5,0.1,False,42,10000
0.3652488360010133,0.02972352873172246,0.3019547325102881,0.5171342944681941,5,0,42,0.021604938271604937,0.022169717750581148,0.07141914425564155,3.2214728692496744,134;476;1023;269;42,paper_main,paper,5,1x5,0.5,0.1,False,77,10000
0.32111671704830824,0.026132107825239725,0.0,0.4799700660862839,6,0,39,0.020061728395061727,0.01869515872949893,0.05460878265956127,2.921011982127412,896;467;283;39;89;170,paper_main,paper,6,2x3,0.5,0.1,False,0,10000
0.32212611830542043,0.026214251734570426,0.10133744855967078,0.4832277734391498,6,0,39,0.020061728395061727,0.019102899190465802,0.05676806637328337,2.9716989973252037,88;39;278;163;464;912,paper_main,paper,6,2x3,0.5,0.1,False,11,10000
0.32213483688070754,0.026214961242164984,0.0,0.4832277734391498,6,0,39,0.020061728395061727,0.019102899190465802,0.05676806637328337,2.9716989973252037,39;464;912;88;163;278,paper_main,paper,6,2x3,0.5,0.1,False,23,10000
0.32213611018154975,0.026215064861917978,0.0,0.4832277734391498,6,0,39,0.020061728395061727,0.01910289901309631,0.05676806601070256,2.971699005936878,88;278;912;39;163;464,paper_main,paper,6,2x3,0.5,0.1,False,42,10000
0.3221354596003787,0.026215011918373127,0.0,0.4832277734391498,6,0,39,0.020061728395061727,0.01910289901309631,0.05676806601070256,2.971699005936878,464;163;88;912;278;39,paper_main,paper,6,2x3,0.5,0.1,False,77,10000
0.2985711289864141,0.024297373889141896,0.3559670781893004,0.44002886895201354,7,0,37,0.01903292181069959,0.017109186258179414,0.04593925931899571,2.6850639547131236,114;76;37;278;816;431;192,paper_main,paper,7,1x7,0.5,0.1,False,0,10000
0.3165435268197313,0.02575994688246163,0.76440329218107,0.48630195691552774,7,0,21,0.010802469135802469,0.018747474812941013,0.05459592858702798,2.9121750597808145,38;90;169;283;881;21;462,paper_main,paper,7,1x7,0.5,0.1,False,11,10000
0.29636023878231216,0.02411745419597106,0.2968106995884774,0.4331007334097766,7,0,38,0.01954732510288066,0.016497630300096613,0.041162189553921556,2.495036487221166,298;778;427;38;78;124;201,paper_main,paper,7,1x7,0.5,0.1,False,23,10000
0.2985706824608534,0.024297337551407113,0.18621399176954734,0.44002886895201354,7,0,37,0.01903292181069959,0.017109186137201266,0.04593925885954334,2.6850639468449353,278;431;816;192;37;76;114,paper_main,paper,7,1x7,0.5,0.1,False,42,10000
0.3165449572185996,0.025760063286670676,0.06532921810699588,0.48630195691552774,7,0,21,0.010802469135802469,0.018747474425065663,0.05459592781239578,2.912175078712896,90;38;169;283;462;881;21,paper_main,paper,7,1x7,0.5,0.1,False,77,10000
0.2931105604779874,0.02385299912609321,0.7242798353909465,0.4398750717979782,8,0,9,0.004629629629629629,0.016590880778097852,0.04238644166444042,2.5548035832938605,9;38;76;121;783;286;203;428,paper_main,paper,8,2x4,0.5,0.1,False,0,10000
0.28759489498718577,0.023404140634207534,0.05555555555555555,0.4261368116156442,8,0,37,0.01903292181069959,0.016014250604448714,0.03866375379019092,2.414334254082168,89;37;201;437;52;77;302;749,paper_main,paper,8,2x4,0.5,0.1,False,11,10000
0.29348206426474327,0.02388323167549838,0.17952674897119342,0.4396123886656558,8,0,11,0.00565843621399177,0.01659389061363321,0.04238643862132398,2.554340004142596,783;11;121;201;428;37;77;286,paper_main,paper,8,2x4,0.5,0.1,False,23,10000
0.2921008552410954,0.02377083047923886,0.0,0.44167683802205077,8,0,18,0.009259259259259259,0.016512219379686208,0.04118607914248672,2.4942788242421674,18;296;124;78;424;765;201;38,paper_main,paper,8,2x4,0.5,0.1,False,42,10000
0.2937487495496699,0.023904934216198118,0.11265432098765432,0.44865440617393926,8,0,22,0.01131687242798354,0.017151652728070718,0.046202024370968625,2.693735997386409,22;801;192;76;271;431;114;37,paper_main,paper,8,2x4,0.5,0.1,False,77,10000
0.262289154307768,0.021344788663650933,0.12191358024691358,0.3683326033042662,9,0,37,0.01903292181069959,0.013317743084997145,0.02841533427786594,2.133644874689245,292;406;597;110;150;200;80;72;37,paper_main,paper,9,3x3,0.5,0.1,False,0,10000
0.27276474749416957,0.022197280347038474,0.10030864197530864,0.43401071852746076,9,0,20,0.0102880658436214,0.015397707519166717,0.036822901488646406,2.391453496594778,20;124;72;722;197;37;420;270;82,paper_main,paper,9,3x3,0.5,0.1,False,11,10000
0.27419774016912823,0.02231389563707697,0.00205761316872428,0.42806455263983,9,0,9,0.004629629629629629,0.015077164737086186,0.03591059406584696,2.3817869400294986,698;454;275;9;194;121;37;72;84,paper_main,paper,9,3x3,0.5,0.1,False,23,10000
