,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
c0,0.0,4.929530367259838,11.683362753718049,8.518355276776436,4.523807960348607,11.093193088371951,5.705198582242449,10.360479969741737,3.1261523274581773,4.166700375377151,9.378866913455944,11.870225098123838,6.795375755918139,8.172479705952776,11.154141958270184,11.494045888520207
c1,4.929530367259838,0.0,10.723155186624334,11.179809586826334,4.654255224187939,8.602931880934179,7.773119748254663,12.564115029514404,5.224605341637769,7.619821540257208,11.623381374036919,13.963790787788716,9.348378449188639,10.43036307822444,13.321280395093304,13.029134041723317
c2,11.683362753718049,10.723155186624334,0.0,8.461272327304023,14.636754221871058,18.91475414789288,7.589997050372037,8.101919140863046,8.87230400556457,9.55357736311311,7.8751430786792325,8.531366359926473,8.085228042947307,7.667947782759516,8.354708041812923,6.944531978852728
c3,8.518355276776436,11.179809586826334,8.461272327304023,0.0,12.977993146100737,19.23457025308099,3.4867428475695776,2.0806957341641903,6.154148671240527,4.372424419652419,1.3420887745185883,3.51109255735682,1.9078132742361849,1.2355053514039176,2.8067919999048523,3.8281460922610675
c4,4.523807960348607,4.654255224187939,14.636754221871058,12.977993146100737,0.0,6.708733823476621,9.911920642549006,14.73954539538473,7.080839991031569,8.669317884362721,13.751336141952068,16.24178909169931,11.190257806282839,12.524550039996303,15.5344959176644,15.707126197630577
c5,11.093193088371951,8.602931880934179,18.91475414789288,19.23457025308099,6.708733823476621,0.0,15.926113880840886,20.826626941369526,13.108325292594916,15.099258591023998,19.8500762779524,22.286606197040467,17.38639501567117,18.62170084056963,21.608980987527183,21.495594619364066
c6,5.705198582242449,7.773119748254663,7.589997050372037,3.4867428475695776,9.911920642549006,15.926113880840886,0.0,4.90252196913788,2.852425267202822,2.3448202004078933,3.9247665458583136,6.376969697213346,1.6328273306668668,2.69884278168739,5.688469818563349,5.955956013919795
c7,10.360479969741737,12.564115029514404,8.101919140863046,2.0806957341641903,14.73954539538473,20.826626941369526,4.90252196913788,0.0,7.742370713337326,6.290732589647732,0.9891318300592042,1.51040842857976,3.5653943945127704,2.2196260082572543,0.7955683548420627,2.397359418511976
c8,3.1261523274581773,5.224605341637769,8.87230400556457,6.154148671240527,7.080839991031569,13.108325292594916,2.852425267202822,7.742370713337326,0.0,2.534896204776913,6.758845569002112,9.225629296530865,4.284766231958003,5.526903218871231,8.532317895750266,8.696301523612041
c9,4.166700375377151,7.619821540257208,9.55357736311311,4.372424419652419,8.669317884362721,15.099258591023998,2.3448202004078933,6.290732589647732,2.534896204776913,0.0,5.331413221245931,7.794806984523281,2.7836374326702074,4.184620052185702,7.07535618844042,7.633617968523726
c10,9.378866913455944,11.623381374036919,7.8751430786792325,1.3420887745185883,13.751336141952068,19.8500762779524,3.9247665458583136,0.9891318300592042,6.758845569002112,5.331413221245931,0.0,2.494662338669258,2.584253739330659,1.2327279464418652,1.7835530982711316,2.8936271894506844
c11,11.870225098123838,13.963790787788716,8.531366359926473,3.51109255735682,16.24178909169931,22.286606197040467,6.376969697213346,1.51040842857976,9.225629296530865,7.794806984523281,2.494662338669258,0.0,5.075128554701744,3.7179540611435917,0.7211178775868562,2.250774175271767
c12,6.795375755918139,9.348378449188639,8.085228042947307,1.9078132742361849,11.190257806282839,17.38639501567117,1.6328273306668668,3.5653943945127704,4.284766231958003,2.7836374326702074,2.584253739330659,5.075128554701744,0.0,1.4027753090902195,4.359646552192993,4.993569734098772
c13,8.172479705952776,10.43036307822444,7.667947782759516,1.2355053514039176,12.524550039996303,18.62170084056963,2.69884278168739,2.2196260082572543,5.526903218871231,4.184620052185702,1.2327279464418652,3.7179540611435917,1.4027753090902195,0.0,3.012921063238251,3.7385336095502915
c14,11.154141958270184,13.321280395093304,8.354708041812923,2.8067919999048523,15.5344959176644,21.608980987527183,5.688469818563349,0.7955683548420627,8.532317895750266,7.07535618844042,1.7835530982711316,0.7211178775868562,4.359646552192993,3.012921063238251,0.0,2.2505788146014836
c15,11.494045888520207,13.029134041723317,6.944531978852728,3.8281460922610675,15.707126197630577,21.495594619364066,5.955956013919795,2.397359418511976,8.696301523612041,7.633617968523726,2.8936271894506844,2.250774175271767,4.993569734098772,3.7385336095502915,2.2505788146014836,0.0
