candidate_id,window_hours,rise_gain_abs,rise_gain_ratio,hill_rapid_drop_ratio,valley_drop_ratio,valley_recovery_ratio,valley_recovery_abs,valley_post_recovery_drop_ratio,minimum_phase_gap,latest_recovery_fraction,n_bridge,n_hill,n_slope,n_valley,minimum_class_size,silhouette,davies_bouldin,balance_entropy,topology_score,prototype_score,bridge_prototype_corr,hill_prototype_corr,slope_prototype_corr,valley_prototype_corr,coverage_fraction_axis_valid,valid_candidate,selection_score
2721,750,0.002,0.2,0.2,0.22,0.35,0.006,0.2,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2739,750,0.002,0.2,0.2,0.28,0.28,0.006,0.2,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2701,750,0.002,0.2,0.2,0.22,0.22,0.006,0.1,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2694,750,0.002,0.2,0.2,0.18,0.35,0.006,0.2,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2710,750,0.002,0.2,0.2,0.22,0.28,0.006,0.1,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2711,750,0.002,0.2,0.2,0.22,0.28,0.006,0.15,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2712,750,0.002,0.2,0.2,0.22,0.28,0.006,0.2,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2693,750,0.002,0.2,0.2,0.18,0.35,0.006,0.15,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2692,750,0.002,0.2,0.2,0.18,0.35,0.006,0.1,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2748,750,0.002,0.2,0.2,0.28,0.35,0.006,0.2,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2747,750,0.002,0.2,0.2,0.28,0.35,0.006,0.15,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2746,750,0.002,0.2,0.2,0.28,0.35,0.006,0.1,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2703,750,0.002,0.2,0.2,0.22,0.22,0.006,0.2,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
2684,750,0.002,0.2,0.2,0.18,0.28,0.006,0.15,0.06,0.85,3,3,77,4,3,0.11134087176973101,1.8438204093213664,0.34760773276439666,0.8784795062239968,0.8824313779209199,0.994129965572247,0.9718415994951494,0.9744745849005599,0.11900487339940287,0.5612903225806452,True,0.7425326080824954
