curve_id,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps
图片103_129eb17332,500,0.2994403220512095,0.9847631485002332,0.7069882029662041,-0.27777494553402904,-0.9276470971952958,0.015363505080124518,0.05130740233941203,0.29313845061415356,0.9789544995347078,0.10166505411256177,0.3395169141421618,0.08630154903243725,0.28820951180274973,0.0,0.0,0.19147339650159179,0.6394375853925461,0.0,0.4,0.4,0.4,-0.7326944611264641,-0.5085726399489605,0.6466666666666666
图片103_bbae347332,500,0.07471079934744185,0.9991347425706358,0.9263740320319739,-0.07276071053866195,-0.9738981669877332,0.0008652574293648296,0.011581423795788321,0.07362596796802678,0.9854795907835215,0.04517956763456621,0.6047260640922749,0.04490611080403484,0.6010658592367538,0.0005918005988334585,0.007921218940267196,0.028446400333460575,0.3807535266912467,0.0,0.38333333333333336,0.4,0.4,-0.13062319536160977,-0.017781177123930885,0.6833333333333333
图片105_100f797e66,500,0.7812878867060908,0.9723600926431158,0.229445087324616,-0.7429150053184999,-0.9508850936504711,0.02745286381680323,0.035137961670626286,0.7703678691353031,0.9860230553210974,0.17535049624638066,0.22443775109026484,0.14789763242957743,0.18929978941963857,0.0,0.0,0.5950173728889224,0.7615853042308326,0.07333333333333333,0.4,0.4,0.4,0.3134933456150049,-0.6209779780273297,0.9266666666666666
图片105_59069294b1,500,0.08988604936692823,0.9303196783036993,0.9427916919465801,0.012472013642880753,0.13875360782592788,0.06967971115883409,0.7752005083057009,0.05720769751595334,0.636446900479773,0.020833855799575973,0.23178074847331506,0.020206338208094143,0.2247994916942991,0.08988604936692823,1.0,0.05720769751595334,0.636446900479773,0.21333333333333335,0.0,0.21333333333333335,0.4,0.7725831257857843,-0.11409281188534887,0.61
图片107_64985ae00f,500,0.24888120881832543,0.9960794996171186,0.7514852295156181,-0.24459427010150048,-0.9827751611414172,0.003918035286331389,0.015742591837021404,0.24851230538783187,0.9985177529784386,0.2138750809381894,0.8593460388337745,0.20995704565185802,0.843603446996753,0.0,0.0,0.034637224449642456,0.13917171414466417,0.0,0.4,0.4,0.4,-0.617412447694214,-0.05688843655295107,1.0
图片107_f3e8ef4f1f,500,0.29320187388265206,0.9935845487971059,0.7075747663131421,-0.2860097824839638,-0.9754705135289594,0.006420493955766271,0.021897861261063904,0.2924302764397301,0.9973683747900233,0.23347349479492707,0.7962892313859152,0.2270530008391608,0.7743913701248514,0.0,0.0,0.058956781644803,0.20107914340410807,0.0,0.4,0.4,0.4,-0.9068726153263428,-0.07466395355794957,1.0
图片113_282c27c5be,500,0.31102292036010426,0.996866740582384,0.6947272639885845,-0.30213947659379947,-0.9714379771239384,0.003133259417616663,0.01007404667793922,0.30527273601141613,0.9815120238018776,0.09556614127103369,0.307263982861413,0.09243288185341703,0.2971899361834738,0.0,0.0,0.20970659474038245,0.6742480409404646,0.0,0.4,0.4,0.4,-0.3769883141989389,-0.39244929628267766,0.9766666666666667
图片113_a2c8fdf9a4,500,0.030902506571114374,0.9989556674518472,0.9691518306793766,-0.02980383677247056,-0.96444722708446,0.0010443325481537258,0.03379442847946512,0.030848169320624286,0.9982416555639251,0.020002700198633372,0.6472840690965366,0.018958367650479646,0.6134896406170715,0.004786041318567413,0.15487550524594304,0.015631510440558327,0.5058330917133316,0.0,0.4,0.6133333333333333,0.4,-0.11955755829534742,-0.05980607915709065,0.37
图片114_69b8a46a99,500,0.4470347040204695,0.9709968899825454,0.5530390089956796,-0.4179578809868658,-0.9349562287399676,0.029003110017455702,0.06487887798556163,0.4469609910043215,0.9998351067255292,0.40213936445932874,0.8995707958300145,0.3732001319163434,0.8348348093781432,0.0001259331889600368,0.0002817078580867189,0.04488368225948247,0.10040312721991103,0.0,0.38333333333333336,0.44666666666666666,0.4,-1.729994314746994,-0.06936048014922575,0.66
图片114_9178f46f65,500,0.11768308773355618,0.9999999999999867,0.8847239281706213,-0.11527607182936539,-0.9795466285721491,7.14195272997209e-05,0.0006068801275967568,0.11534749135666511,0.9801535086997458,0.012388916487816926,0.10527355057054938,0.01238675140252865,0.10525515297978275,0.0005242551807118634,0.004454804771088422,0.1034135756075486,0.8787462803634548,0.043333333333333335,0.21666666666666667,0.4666666666666667,0.4,-0.08715062109778773,-0.1324635608313474,0.4766666666666667
