folder,filepath,num_points,min_time_h,max_time_h,min_time_orig,max_time_orig,initial_y,final_y,mean_y
x_time_min,x_time_min/10.1021_acsenergylett.0c01207/Fig5_A_pce/accepted/10.1021_acsenergylett.0c01207__Fig5__A__pce__α-FA0.76MA0.15Cs0.09PbI3__Series_2.csv,72,0.6605788255967809,175.39900178420967,39.634729535806855,10523.94010705258,0.951663671080444,0.311407327775355,0.6211753644229628
x_time_min,x_time_min/10.1021_acsenergylett.0c01207/Fig5_A_pce/accepted/10.1021_acsenergylett.0c01207__Fig5__A__pce__α_δ-FA0.33MA0.33Cs0.33PbI3__Series_1.csv,71,-0.3379264484524356,174.40049651016045,-20.275586907146135,10464.029790609628,0.9672038735878492,0.4823495553568109,0.7135264833613354
x_time_h,x_time_h/10.1016_j.jechem.2019.10.006/Fig4_F_stability_performance_curve_voc/accepted/10.1016_j.jechem.2019.10.006__Fig4__F__stability_performance_curve_voc__MAPbI₃__Series_1.csv,40,-1.2570640600814116,148.90343306491678,-1.2570640600814116,148.90343306491678,1.0038011569617864,0.74521612381419,0.881316087283351
x_time_h,x_time_h/10.1016_j.jechem.2019.10.006/Fig4_D_stability_performance_curve_pce/accepted/10.1016_j.jechem.2019.10.006__Fig4__D__stability_performance_curve_pce__MAPbl₃__Series_2.csv,38,11.409301934048244,998.2428943204502,11.409301934048244,998.2428943204502,0.979716917929887,0.7331275263961852,0.8627348399556103
x_time_h,x_time_h/10.1002_cssc.201800658/Fig6_C_stability_performance_curve_pce/accepted/10.1002_cssc.201800658__Fig6__C__stability_performance_curve_pce__FA__Series_3.csv,84,2.3297262885143084,1422.2124521750932,2.3297262885143084,1422.2124521750932,0.9981539305388384,0.1390219963239336,0.5588868349962584
x_time_h,x_time_h/10.1002_adma.202303692/Fig6_B_stability_performance_curve/accepted/10.1002_adma.202303692__Fig6__B__stability_performance_curve__SP__Series_2.csv,27,4.0265745710686645,642.7448804339841,4.0265745710686645,642.7448804339841,0.99634338738143,0.5480493947866651,0.748283409186009
x_time_h,x_time_h/10.1039_d0tc05455k/Fig6_B_stability_performance_curve_pce/accepted/10.1039_d0tc05455k__Fig6__B__stability_performance_curve_pce__CsPbIBr₂__Series_1.csv,67,1.0331246479791218,394.55272708619873,1.0331246479791218,394.55272708619873,1.0000975585490413,0.806621352193542,0.8876909842651112
x_time_h,x_time_h/10.1002_aenm.202100529/Fig6_I_stability_performance_curve_pce/accepted/10.1002_aenm.202100529__Fig6__I__stability_performance_curve_pce__Control__Series_2.csv,69,-11.324950324744236,2981.8027366136475,-11.324950324744236,2981.8027366136475,0.9885339990567628,0.3368549595271672,0.4670913503408622
x_time_h,x_time_h/10.1016_j.apsusc.2023.157901/Fig5_A_stability_performance_curve_pce/accepted/10.1016_j.apsusc.2023.157901__Fig5__A__stability_performance_curve_pce__Pristine__Series_1.csv,60,-1.293425271523347,1429.2907613462712,-1.293425271523347,1429.2907613462712,1.0011330152928812,0.4947820774172754,0.8039409285125184
x_time_h,x_time_h/10.1002_adfm.202001788/Fig6_D_stability/accepted/10.1002_adfm.202001788__Fig6__D__stability__Pero-pristine__Series_1.csv,126,-0.7681240444985349,861.4692771191449,-0.7681240444985349,861.4692771191449,1.004219512472054,0.6777123986682558,0.8143301111977295
x_time_h,x_time_h/10.1002_adfm.202001788/Fig6_D_stability/accepted/10.1002_adfm.202001788__Fig6__D__stability__Pero-I-0.1__Series_2.csv,125,1.9910356392251176,857.3305375935594,1.9910356392251176,857.3305375935594,1.004219512472054,0.8660818874012162,0.9307805277980304
x_time_h,x_time_h/10.1002_adfm.202001788/Fig6_D_stability/accepted/10.1002_adfm.202001788__Fig6__D__stability__Pero-Th-0.05__Series_3.csv,124,13.71746429505066,862.1590670400758,13.71746429505066,862.1590670400758,1.0073590039509366,0.8158500237390935,0.9012239371809675
x_time_h,x_time_h/10.1038_s41467-018-06204-2/Fig5_A_mppt_stability_performance_curve/accepted/10.1038_s41467-018-06204-2__Fig5__A__mppt_stability_performance_curve__O-MAPbl3__Series_1.csv,33,2.710063443119111,545.2021593799329,2.710063443119111,545.2021593799329,0.9794913124758337,0.5006003123879252,0.7469004874086999
x_time_h,x_time_h/10.1039_d0ta12286f/Fig5_B_stability_performance_curve_pce/accepted/10.1039_d0ta12286f__Fig5__B__stability_performance_curve_pce__FA0.8Cs0.2Pb(1o.6Br0.4)3-based_tandem__Series_2.csv,22,-1.1227190957665982,71.35756002977867,-1.1227190957665982,71.35756002977867,0.9995433420540548,0.577361787365452,0.7432593805338352
x_time_h,x_time_h/10.1039_d0ta12286f/Fig5_A_stability_performance_curve_pce/accepted/10.1039_d0ta12286f__Fig5__A__stability_performance_curve_pce__FA₀.₈Cs₀.₂Pb(I₀.₆Br₀.₄)₃-based_tandem__Series_2.csv,13,-1.335937924052459,70.88381086110152,-1.335937924052459,70.88381086110152,0.9996803640331748,0.2922792569389436,0.6357055609478428
