sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0001,1.0,0.9034446080688839,1.0,0.9034446080688839,0.0,1.0,-0.09655539193111606,0.1037076431852727,0.9459323863525056,0.015873015873015872,0.4126984126984127,0.22529591450593492,-0.4505918290118838,0.22529591450593492,-0.22529591450594103,4.0,0.09655539193111606,0.0,0.0035761256270783193,0.03703703703703649,,0.0,-0.037136689204275763,-0.0934709835777612,,0.0,0.0,,0.2698412698412698,-0.16368248071432379,-0.16092565321852834,1.0,0.9570864924750596,-0.042913507524940386,-0.44444444444444353,0.00018504106808343051,18.0,0.22222222222222227,-0.04747306769946582,-0.045059182901188224,0.9606626181021379,0.9499342412209028,-0.01072837688123518,-0.11111111111111174,1.1595064880586533e-05,15.0,0.20634920634920628,-0.11735193788551163,-0.11264795725297126,0.9463581155938247,0.9213252362042758,-0.0250328793895489,-0.2592592592592623,5.931074041371489e-05,14.0,0.25396825396825395,-0.03975810255987141,-0.037549319084323504,0.9177491105771972,0.9034446080688839,-0.014304502508313277,-0.14814814814814595,1.1239873090533758e-05,17.0
S0002,1.0,0.3443376156728804,1.0,0.3443376156728804,0.0,1.0,-0.6556623843271197,0.6556623843271195,0.7382893502172547,0.0,1.0,0.0,-1.3469585938894295,0.0,-0.6734792969446977,2.0,0.6556623843271197,0.0,0.0,0.0,,-0.44898619796312245,-1.1705711589753194,-0.582762087921727,,0.0,0.0,,0.7142857142857141,-0.45091062230839923,-0.44898619796313677,1.0,0.6507885126953387,-0.34921148730466134,-0.5326086956521736,0.009107781793200504,46.0,0.26984126984127,-1.127330670427565,-1.1224654949078459,0.6436617476483046,0.3443376156728804,-0.29932413197542423,-0.45652173913043487,0.008633021751055134,18.0,,,,,,,,,,,,,,,,,,
S0026,1.0,0.8937743493217083,1.0,0.8937743493217083,0.0,1.0,-0.1062256506782917,0.1062256506782917,0.9624124620676815,0.0,0.48717948717948717,0.0,-0.4142800376453347,0.0,-0.20714001882266828,3.0,0.1062256506782917,0.0,0.0,0.0,,0.0,-0.2367314500830504,-0.09820690948684499,,0.0,0.0,,0.1282051282051282,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.6153846153846154,-0.08922954656976508,-0.08877429378114389,0.9946887174660854,0.9415758921269397,-0.05311282533914574,-0.49999999999999895,0.00027641014156420013,25.0,0.20512820512820507,-0.23130635435198071,-0.20714001882267152,0.9415758921269397,0.8937743493217083,-0.04780154280523141,-0.45000000000000134,0.00023682235883265492,9.0,,,,,,,,,
S0027,1.0,0.5034132116101964,1.0,0.5034132116101964,0.0,1.0,-0.49658678838980364,0.49658678838980364,0.811264161071038,0.0,1.0,0.0,-1.041230362752813,0.0,-0.416492145101127,2.0,0.49658678838980364,0.0,0.0,0.0,,-0.2082460725505654,-0.8528172494927814,-0.47238257789354204,,0.0,0.0,,0.641025641025641,-0.343161049467936,-0.34299353125975035,1.0,0.7864142845635252,-0.21358571543647475,-0.4301075268817206,0.004383729297617837,26.0,0.33333333333333326,-0.8014041165627155,-0.8009464328867801,0.7703953559057897,0.5034132116101964,-0.2669821442955933,-0.5376344086021504,0.006873231549782504,14.0,,,,,,,,,,,,,,,,,,
S0097,0.8863016218508476,0.58533532675015,1.0,0.58533532675015,0.31034482758620685,1.0,-0.3009662951006976,0.5417393311812558,0.896795082714512,0.1724137931034483,0.5862068965517241,1.5516484547413807,-0.9697802842133613,0.19395605684267483,-0.9697802842133549,3.0,0.41466467324985,0.0,0.1136983781491524,0.2741935483870967,0.25155512826867754,0.0,-0.925447471220748,-0.34998388810921294,,1.49777177228508,1.0,,0.06896551724137931,1.4546704263200418,1.4546704263200416,0.8863016218508476,0.986623720217747,0.10032209836689943,0.2419354838709683,0.0016799056376342674,3.0,0.4482758620689655,-0.04305398184859346,-0.043101345965038444,0.986623720217747,0.9732474404354937,-0.013376279782253309,-0.03225806451612923,7.964894952012452e-05,14.0,0.4137931034482759,-0.9175613458326399,-0.921291270002691,0.966559300544367,0.58533532675015,-0.381223973794217,-0.9193548387096776,0.014019133399153153,13.0,,,,,,,,,
S0098,0.8193353575781992,0.8940931406492891,1.0,0.8193353575781992,0.3076923076923077,0.0,0.07475778307108993,0.28657150177251167,0.962141891906307,0.3076923076923077,0.34615384615384615,0.971851179924172,-0.4859255899620792,0.5669131882890941,-0.3239503933080585,3.0,0.10590685935071087,0.1806646424218008,0.1806646424218008,1.0,0.5777115347327005,0.0,-0.32857825606960106,,0.024227059328593908,0.0,0.0,,0.1923076923076923,0.7867366694624236,0.8098759832701435,0.8193353575781992,0.9688509237203791,0.14951556614217987,0.8275862068965512,0.002712429579925859,6.0,0.42307692307692313,0.02888368891383034,0.0,0.9813105542322274,1.0,0.01868944576777265,0.10344827586206981,3.5306863570179894e-05,12.0,0.3076923076923076,-0.32934956652985764,-0.3239503933080572,0.993770184744076,0.8940931406492891,-0.09967704409478684,-0.5517241379310355,0.0010732807382147884,9.0,,,,,,,,,
S0155,0.9547559138454785,0.9239076732855773,1.0,0.9239076732855773,0.4920634920634921,1.0,-0.030848240559901208,0.13778880783422476,0.9734443982058415,0.23809523809523808,0.47619047619047616,0.38868783105477217,-0.38868783105474697,0.12956261035158856,-0.1295626103515888,3.0,0.07609232671442268,0.0,0.04524408615452147,0.594594594594593,0.05012952171044633,-0.1295626103515888,-0.10535860621996902,-0.06035280294926041,,0.0,0.0,,0.11111111111111109,0.34395788224289653,0.3562971784668548,0.9547559138454785,0.9917738025173597,0.03701788867188116,0.4864864864864846,0.00015747889114331584,8.0,0.4285714285714286,-0.004290387480170268,0.0,0.9938303518880197,0.9876607037760393,-0.006169648111980397,-0.08108108108108344,6.791847831988136e-06,28.0,0.4285714285714285,-0.11293292664745404,-0.11105366601564436,0.9835476050347193,0.9239076732855773,-0.05963993174914195,-0.7837837837837819,0.00022490780616633174,28.0,,,,,,,,,
S0156,0.9586991380635524,0.9979349569031776,1.0,0.9586991380635524,0.30645161290322587,0.0,0.039235818839625125,0.06401633600149403,0.9936216814025565,0.3225806451612903,0.0967741935483871,0.2560653440059877,-0.1280326720029915,0.12803267200299062,-0.12803267200299062,2.0,0.006195129290467172,0.04130086193644755,0.04130086193644755,1.0,0.14054714370252772,0.0,-0.013366048176135856,,0.021461697899118372,0.0,0.0,,0.2258064516129033,0.17055780948969385,0.17071022933731606,0.9586991380635524,0.9958699138063553,0.03717077574280281,0.9000000000000002,0.00014298069408728628,15.0,0.7580645161290323,-0.0030159671976387314,0.0,0.9979349569031776,0.9979349569031776,0.0,0.0,1.5991511219001596e-06,48.0,,,,,,,,,,,,,,,,,,
S0157,0.9587842503628209,0.989696062590705,1.0,0.9587842503628209,0.31147540983606553,0.0,0.030911812227884083,0.10510016157480606,0.9886994522511175,0.4426229508196721,0.2786885245901639,0.2514160727868069,-0.2514160727867798,0.1257080363933993,-0.12570803639339834,4.0,0.02060787481858961,0.04121574963717911,0.04121574963717911,1.0,0.13468718185006723,0.0,0.024865325880011828,,0.00848689898442983,0.19903772428954442,2.0,0.5901639344262296,0.2459016393442623,0.15639558645413693,0.15713504549174465,0.9587842503628209,0.9958784250362821,0.03709417467346121,0.9000000000000002,0.00014147302557443982,16.0,0.3442622950819674,-0.04244686943153682,-0.04190267879779976,0.997939212518141,0.989696062590705,-0.008243149927436022,-0.20000000000000484,2.4182448233647867e-05,22.0,0.21311475409836067,-0.05691396812536185,-0.06285401819669838,0.9938176375544231,0.9835137001451285,-0.010303937409294583,-0.24999999999999528,2.2100928297419814e-05,14.0,0.14754098360655732,0.0693298867381753,0.06285401819669642,0.9814529126632693,0.989696062590705,0.008243149927435689,0.19999999999999676,1.2103508379351456e-05,10.0
S0158,0.8990783906210502,0.9087823915228723,1.0,0.8990783906210502,0.43548387096774194,0.0,0.009704000901822107,0.19602081821680617,0.9494609372387361,0.45161290322580644,0.41935483870967744,0.6016480559129732,-0.4813184447303811,0.12032961118260735,-0.24065922236518544,2.0,0.09121760847712768,0.10092160937894978,0.10092160937894978,1.0,0.22218497171564344,-0.120329611182597,-0.24793189117292747,,0.018992116050708982,0.29465327866507046,1.0,,0.3709677419354838,0.18729565566682,0.16043948157679191,0.8990783906210502,0.9805919981963557,0.08151360757530546,0.8076923076923064,0.0004620491883859131,24.0,0.6129032258064515,-0.13085236260584912,-0.13421379708827855,0.986414398737449,0.9087823915228723,-0.07763200721457664,-0.769230769230768,0.0006055455553989989,39.0,,,,,,,,,,,,,,,,,,
