sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0022,1.0,0.9564697162578376,1.0,0.9516330180642643,0.0,0.625,-0.04353028374216239,0.0628770765164558,0.9665965531006324,0.125,0.5,0.07738717109717391,-0.15477434219435793,0.07738717109717384,-0.07738717109717722,3.0,0.04836698193573574,0.004836698193573352,0.004836698193573352,0.09999999999999541,,-0.07738717109717727,-0.007738717109717397,-0.07035197372470657,0.00829148261755431,0.0,0.0,,0.12499999999999996,-0.11608075664576673,-0.11608075664576671,1.0,0.9854899054192792,-0.014510094580720834,-0.3000000000000023,3.639012131333952e-05,3.0,0.3125,-0.039799116564261994,-0.03869358554858678,0.9806532072257056,0.966143112644985,-0.014510094580720612,-0.2999999999999977,2.3393649415717516e-05,6.0,0.4375,0.0027638275391847684,0.0,0.9564697162578376,0.9564697162578376,0.0,0.0,5.4828865818083735e-06,8.0,,,,,,,,,
S0023,1.0,0.913597082352182,1.0,0.913597082352182,0.0,1.0,-0.08640291764781804,0.08640291764781804,0.9413921385807998,0.0,0.6875,0.0,-0.2439611792408965,0.0,-0.08132039308030059,2.0,0.08640291764781804,0.0,0.0,0.0,,-0.16264078616059938,-0.05692427515620967,-0.07593889647939701,,0.0,0.0,,0.12499999999999993,-0.16264078616060038,-0.16264078616060038,1.0,0.979669901729925,-0.020330098270075037,-0.23529411764706118,6.8885482611818e-05,3.0,0.8125000000000001,-0.049507140402731485,-0.04066019654014959,0.9644223280273689,0.913597082352182,-0.05082524567518698,-0.5882352941176459,0.00018306492732362117,14.0,,,,,,,,,,,,,,,,,,
S0028,0.9943601770809389,0.9210424791331459,1.0,0.9210424791331459,0.05882352941176472,1.0,-0.07331769794779308,0.08459734378591521,0.9679857110770949,0.058823529411764705,0.7058823529411765,0.0958769896240381,-0.19175397924807808,0.0958769896240381,-0.09587698962403805,2.0,0.07895752086685415,0.0,0.005639822919061066,0.07142857142857213,0.09587698962403811,-0.09587698962403815,-0.16299088236086373,-0.06866731764611128,,0.0,0.0,,0.7647058823529411,-0.059633380359565946,-0.059923118515023376,0.9943601770809389,0.9548814166475119,-0.03947876043342702,-0.4999999999999993,0.00020528886345067733,14.0,0.17647058823529427,-0.16299088236086373,-0.17577448097739967,0.949241593728451,0.9210424791331459,-0.028199114595305108,-0.3571428571428579,0.00011729053443397492,4.0,,,,,,,,,,,,,,,,,,
S0029,0.9755274485341152,0.995105489706823,1.0,0.9755274485341152,0.8823529411764706,0.0,0.019578041172707783,0.029367061759061786,0.9919384536347674,0.23529411764705882,0.058823529411764705,0.16641334996801804,-0.08320667498400901,0.083206674984009,-0.08320667498400901,3.0,0.004894510293177001,0.024472551465884784,0.024472551465884784,1.0,0.01798732532742513,-0.08320667498400901,-0.008320667498400883,,0.014855268082800055,0.0,0.0,,0.11764705882352941,0.08320667498400902,0.08320667498400902,0.9755274485341152,0.9853164691204692,0.009789020586354003,0.40000000000000363,2.1294427564458326e-05,3.0,0.2941176470588235,0.0,0.0,0.9902109794136462,0.9902109794136462,0.0,0.0,1.232595164407831e-32,6.0,0.47058823529411775,0.002773555832800301,0.0,0.995105489706823,0.995105489706823,0.0,0.0,2.3660475071620357e-06,9.0,,,,,,,,,
S0030,1.0,0.9592582249091263,1.0,0.9592582249091263,0.0,0.9333333333333332,-0.04074177509087373,0.04074177509087373,0.9748004576289779,0.0,0.5333333333333333,0.0,-0.13580591696957803,0.0,-0.06790295848478978,2.0,0.04074177509087373,0.0,0.0,0.0,,-0.06790295848479234,-0.027161183393914923,-0.04389441244909608,0.0,0.0,0.0,,0.26666666666666666,-0.04753207093935246,-0.04809792892672603,1.0,0.9864194083030421,-0.013580591696957911,-0.3333333333333333,2.1312196630339932e-05,5.0,0.6666666666666667,-0.023457385658382138,-0.022634319494930225,0.9773656805050702,0.9592582249091263,-0.018107455595943955,-0.44444444444444625,2.709751637678397e-05,11.0,,,,,,,,,,,,,,,,,,
S0031,1.0,0.9581207344984359,1.0,0.9581207344984359,0.0,0.6666666666666666,-0.04187926550156407,0.051185768946355736,0.9700640805859191,0.06666666666666667,0.5333333333333333,0.06979877583593765,-0.1395975516718832,0.06979877583593765,-0.06979877583594078,2.0,0.04187926550156407,0.004653251722395835,0.004653251722395835,0.11111111111110698,,-0.1395975516718832,-0.02093963275078126,-0.05647355499453338,-4.18192266530123e-18,0.0,0.0,,0.1333333333333334,-0.13959755167188082,-0.13959755167188082,1.0,0.9813869931104159,-0.018613006889584116,-0.44444444444444653,5.774067091195097e-05,3.0,0.7999999999999999,-0.02262707568307963,-0.022102945681380798,0.9813869931104159,0.9581207344984359,-0.02326625861197995,-0.5555555555555535,4.458673108881416e-05,13.0,,,,,,,,,,,,,,,,,,
S0037,1.0,0.9305355564866571,1.0,0.9305355564866571,0.0,1.0,-0.06946444351334291,0.08798829511690065,0.9712494386569775,0.08333333333333333,0.75,0.11114310962134653,-0.16671466443202312,0.11114310962134653,-0.1111431096213492,2.0,0.06946444351334291,0.0,0.00926192580177887,0.13333333333333067,,-0.05557155481067127,-0.027785777405336942,-0.07969327365706609,,0.0,0.0,,0.5833333333333331,-0.04763276126629231,-0.05557155481067225,1.0,0.9675832596937735,-0.032416740306226544,-0.4666666666666645,0.0001273345407496517,8.0,0.33333333333333337,-0.0778001767349441,-0.06946444351334305,0.9583213338919943,0.9305355564866571,-0.027785777405337164,-0.4,9.779292729573323e-05,5.0,,,,,,,,,,,,,,,,,,
S0038,1.0,0.8410753127079859,1.0,0.8410753127079859,0.0,1.0,-0.15892468729201414,0.15892468729201414,0.9209271776463753,0.0,1.0,0.0,-0.22436426441225688,0.0,-0.16827319830919155,2.0,0.15892468729201414,0.0,0.0,0.0,,-0.11218213220612726,-0.16827319830919124,-0.15779464749872896,,0.0,0.0,,0.16666666666666663,-0.16827319830919213,-0.1682731983091921,1.0,0.971954466948468,-0.028045533051532012,-0.17647058823529477,0.00013594724614844514,3.0,0.7500000000000001,-0.1550153099575582,-0.1558085169529549,0.957931700422702,0.8410753127079859,-0.11685638771471618,-0.7352941176470582,0.0013799616535825263,10.0,,,,,,,,,,,,,,,,,,
S0044,1.0,0.9954710255097584,1.0,0.9864130765292751,0.0,0.2499999999999999,-0.0045289744902415885,0.022644872451208164,0.9933480687174576,0.125,0.1875,0.07246359184386719,-0.07246359184386719,0.07246359184386628,-0.07246359184386554,1.0,0.013586923470724876,0.009057948980483288,0.009057948980483288,0.6666666666666694,,-0.07246359184386542,0.0,-0.05072451429070634,0.010351941691980967,0.0,0.0,,1.0,0.003019316326827817,0.0,1.0,0.9954710255097584,-0.0045289744902415885,-0.3333333333333306,9.794471179203587e-06,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0045,1.0,0.8737604499749585,1.0,0.8737604499749585,0.0,1.0,-0.1262395500250415,0.1262395500250415,0.9340623778887059,0.0,1.0,0.0,-0.21641065718578467,0.0,-0.14427377145718878,2.0,0.1262395500250415,0.0,0.0,0.0,,-0.14427377145718973,-0.10099164002003344,-0.13030609015189848,,0.0,0.0,,0.24999999999999994,-0.12263270573861207,-0.12323384645301712,1.0,0.9684401124937396,-0.031559887506260376,-0.25,0.00011871009707227819,5.0,0.6875,-0.12333894098350692,-0.12194568777929204,0.9594230017776652,0.8737604499749585,-0.08566255180270665,-0.6785714285714279,0.0007118709802315153,12.0,,,,,,,,,,,,,,,,,,
