raw_cluster_id,som_node_x,som_node_y,n_curves,fraction,pce_norm_0h_mean,pce_norm_10h_mean,pce_norm_50h_mean,pce_norm_100h_mean,pce_norm_150h_mean,pce_norm_200h_mean,delta_0_200h_mean,slope_0_10h_per_h,slope_100_200h_per_h,auc_0_200h,mean_bmu_distance,median_bmu_distance,suggested_shape_name,ordered_class_id,class_label
0,0,0,402,0.2787794729542302,0.9853981144544074,0.987956236641991,0.9890573985383718,0.9834634380666026,0.9738149007211835,0.9604431132525223,-0.024955001201885096,0.00025581221875835557,-0.0002302032481408034,196.08634858663015,0.47302806946150194,0.39725917181078907,no_initial_change_stable,1,class_01
1,0,1,311,0.21567267683772537,0.9937534107079757,0.9904241408114544,0.9736717364438409,0.9499903539651301,0.9262796860476593,0.8979997007822368,-0.09575370992573895,-0.00033292698965213806,-0.0005199065318289331,189.83521096074134,0.5496384337785694,0.507220086114574,no_initial_change_stable,2,class_02
2,0,2,191,0.13245492371705964,0.9945817136158296,0.9794187139084967,0.9190729266836737,0.850505241768455,0.789833662308248,0.7315885897040235,-0.26299312391180607,-0.0015162999707332924,-0.0011891665206443147,171.05680607631717,0.9911176136617251,0.9270557395239157,no_initial_change_moderate_loss,4,class_04
3,1,0,249,0.17267683772538142,0.9952628095176602,0.9882792260763935,0.9548549442618119,0.9108562815047361,0.8667890662633259,0.8198622991651727,-0.1754005103524875,-0.0006983583441266706,-0.0009099398233956335,181.96476536780935,0.7951872961649398,0.6968876455539411,no_initial_change_moderate_loss,3,class_03
4,1,1,104,0.07212205270457697,0.9999617284767643,0.9700651833229232,0.8701797252664423,0.7796863965267782,0.7061418179128403,0.6441843552217356,-0.3557773732550288,-0.0029896545153841104,-0.0013550204130504263,158.53331408633477,1.2694365490846051,1.196318388094474,initial_drop_moderate_loss,5,class_05
5,1,2,66,0.04576976421636616,0.9960678191416275,0.9754370868880394,0.8809747300566158,0.7341669987244958,0.5779660534584846,0.41948583132731665,-0.5765819878143108,-0.0020630732253588023,-0.003146811673971791,145.1197818806028,1.8648015261091972,1.7716784261623428,initial_drop_rapid_loss,7,class_07
6,2,0,42,0.02912621359223301,1.0,0.9113747856326229,0.7158639440401647,0.6487740439851106,0.6193724268430293,0.5740643593772865,-0.4259356406227135,-0.008862521436737714,-0.0007470968460782413,136.6624166925135,2.4067867022891636,1.9319308505994934,initial_drop_rapid_loss,6,class_06
7,2,1,22,0.015256588072122053,1.0,0.8706940344189988,0.5310814264679874,0.3334074780348141,0.20743260341232903,0.15110375442145496,-0.848896245578545,-0.012930596558100116,-0.0018230372361335912,79.49245333532676,3.011780131568713,2.562516976953838,initial_drop_rapid_loss,9,class_09
8,2,2,55,0.03814147018030513,0.998890253426349,0.9386213982338141,0.741943368013264,0.5524123499642609,0.40244990382316576,0.2939178892985577,-0.7049723641277912,-0.006026885519253488,-0.002584944606657032,116.33777016206123,2.5051840265839416,2.3816459259001745,initial_drop_rapid_loss,8,class_08
