sample_id,cluster,time_hours,raw_output,relative_to_initial,model_normalized
S0005,1,0.0,0.9972044422696348,1.0,0.9058614564831278
S0005,1,15.654267358722706,0.9515251613717066,0.9541926620443425,0.4085257548845475
S0005,1,62.61706943489088,0.9156342978090488,0.9182011822220402,0.0177619893428063
S0005,1,78.27133679361359,0.9188971035874722,0.9214731349331585,0.0532859680284189
S0005,1,93.92560415233628,0.9156342978090488,0.9182011822220402,0.0177619893428063
S0005,1,109.57987151105904,0.9156342978090488,0.9182011822220402,0.0177619893428063
S0005,1,125.23413886978176,0.9123714920306254,0.9149292295109217,-0.0177619893428063
S0005,1,140.8884062285045,0.9156342978090488,0.9182011822220402,0.0177619893428063
S0005,1,156.54267358722717,0.9188971035874722,0.9214731349331585,0.0532859680284189
S0005,1,172.1969409459499,0.9156342978090488,0.9182011822220402,0.0177619893428063
S0005,1,187.85120830467264,0.9058458804737786,0.908385324088685,-0.0888099467140315
S0005,1,203.5054756633954,0.8927946573600848,0.8952975132442114,-0.2309058614564832
S0005,1,219.15974302211808,0.886269045803238,0.8887536078219747,-0.3019538188277084
S0005,1,234.8140103808408,0.886269045803238,0.8887536078219747,-0.3019538188277084
S0005,1,250.46827773956352,0.8895318515816614,0.892025560533093,-0.2664298401420958
S0005,1,266.1225450982863,0.886269045803238,0.8887536078219747,-0.3019538188277084
S0005,1,281.776812457009,0.8699550169111208,0.8723938442663827,-0.4795737122557727
S0005,1,297.43107981573166,0.8471153764621566,0.8494901752885539,-0.7282415630550635
S0006,1,0.0,1.0037300538264815,1.0,0.664819944598336
S0006,1,15.654267358722734,1.000467248048058,0.9967493194350565,0.6094182825484749
S0006,1,31.30853471744544,0.9972044422696348,0.9934986388701131,0.5540166204986156
S0006,1,46.962802076168146,0.9906788307127878,0.986997277740226,0.4432132963988913
S0006,1,62.61706943489088,0.9808904133775176,0.9772452360453956,0.2770083102493078
S0006,1,78.27133679361361,0.9743648018206708,0.9707438749155087,0.1662049861495854
S0006,1,93.92560415233636,0.9711019960422472,0.9674931943505651,0.1108033240997223
S0006,1,109.57987151105904,0.9678391902638238,0.9642425137856216,0.0554016620498611
S0006,1,125.23413886978176,0.9645763844854004,0.9609918332206782,0.0
S0006,1,140.8884062285045,0.9645763844854004,0.9609918332206782,0.0
S0006,1,156.54267358722717,0.9645763844854004,0.9609918332206782,0.0
S0006,1,172.1969409459499,0.961313578706977,0.9577411526557347,-0.0554016620498611
S0006,1,187.85120830467264,0.9580507729285536,0.9544904720907912,-0.1108033240997223
S0006,1,203.50547566339537,0.9580507729285536,0.9544904720907912,-0.1108033240997223
S0006,1,219.1597430221181,0.95478796715013,0.9512397915258476,-0.1662049861495854
S0006,1,234.8140103808408,0.9515251613717066,0.9479891109609041,-0.2216066481994466
S0006,1,250.46827773956352,0.9482623555932832,0.9447384303959606,-0.2770083102493078
