group,display_normalization,time_hours,ensemble_mean,q25,q75,n_contributors
0,initial,0.0,1.0,1.0,1.0,6
0,initial,17.467784670755464,1.0111778369162343,1.0041507518982113,1.0096289566861545,6
0,initial,34.93556934151093,1.0179878847920494,1.006304383577774,1.0129865534574747,6
0,initial,52.40335401226639,1.0206799291689432,1.0083380486856999,1.0173953958147488,6
0,initial,69.87113868302185,1.0217833179806164,1.0094227135630027,1.0203269803593527,6
0,initial,87.33892335377732,1.021729848352803,1.0101006019323115,1.017172462086073,6
0,initial,104.80670802453278,1.0221082062997968,1.010290668599048,1.0162695784807638,6
0,initial,122.27449269528825,1.022147313750759,1.010290668599048,1.0150453574327714,6
0,initial,139.7422773660437,1.0220293918127128,1.0103648270578656,1.0148145810846827,6
0,initial,157.21006203679917,1.0227040663686775,1.010867566682878,1.0178996649673582,6
0,initial,174.67784670755464,1.022569013626217,1.0101881286423464,1.017831134836554,6
0,initial,192.1456313783101,1.0217792368579113,1.0094904059143863,1.0180342754287313,6
0,initial,209.61341604906556,1.0211468814036186,1.0094904059143863,1.018631397521216,6
0,initial,227.08120071982103,1.0209400722101372,1.0114701825235493,1.018631397521216,6
0,initial,244.5489853905765,1.021797746962087,1.0124589118862537,1.019629858551106,6
0,initial,262.01677006133195,1.0231166045468558,1.0128121231274525,1.0244074946647277,6
1,initial,0.0,1.0,1.0,1.0,65
1,initial,17.467784670755464,0.9750897038630941,0.9653611157906123,0.9958793306615596,65
1,initial,34.93556934151093,0.9581959475418966,0.9294604630644907,0.9927911321546938,65
1,initial,52.40335401226639,0.9462421964475076,0.9002305835061346,0.9901282536183188,65
1,initial,69.87113868302185,0.9360572939665409,0.8888192935606408,0.9880441865452251,65
1,initial,87.33892335377732,0.9278351601520611,0.8888192935606408,0.9834138003739586,65
1,initial,104.80670802453278,0.9207132566647315,0.8888192935606408,0.9753280255984248,65
1,initial,122.27449269528825,0.9138574354474857,0.8717763189021231,0.9712160298648288,65
1,initial,139.7422773660437,0.9087261709700922,0.8700056055280131,0.9699732383827214,65
1,initial,157.21006203679917,0.9031918405903928,0.8669967227478281,0.9683119527070984,65
1,initial,174.67784670755464,0.8983731219257443,0.863987839967643,0.9659899886175565,65
1,initial,192.1456313783101,0.8933846461041428,0.8590990928165743,0.9644851930397149,65
1,initial,209.61341604906556,0.8878609860616459,0.8375510983868424,0.9611314155629216,65
1,initial,227.08120071982103,0.8831446936870506,0.8160031039571105,0.9611314155629216,65
1,initial,244.5489853905765,0.8789945649592124,0.8046408370878375,0.9599288408745275,65
1,initial,262.01677006133195,0.874620083675935,0.8028398968063647,0.9589701117669082,65
-1,initial,0.0,1.0,1.0,1.0,8
-1,initial,17.467784670755464,0.9739497124680452,0.9921572153345308,1.0411136756119745,8
-1,initial,34.93556934151093,0.9761659007265022,0.9872304252953155,1.071644108430874,8
-1,initial,52.40335401226639,0.9804083678524256,0.9870096245514792,1.0733632084163824,8
-1,initial,69.87113868302185,0.9871487391220698,0.9840544951714704,1.0737328151832322,8
-1,initial,87.33892335377732,0.9954343969997075,0.9885533875464169,1.067447419843559,8
-1,initial,104.80670802453278,0.9958544638320385,0.9922667474335471,1.0309672473317875,8
-1,initial,122.27449269528825,0.9946192851334302,0.9882682927327142,1.0171813833623518,8
-1,initial,139.7422773660437,0.9951161227652814,0.9880435152015535,1.0191514662540007,8
-1,initial,157.21006203679917,0.9994177105092186,0.9952136351239254,1.024891374126609,8
-1,initial,174.67784670755464,1.001439850351707,0.9955448362396796,1.042814620545295,8
-1,initial,192.1456313783101,0.9976466117047982,0.9955448362396796,1.0495871829648526,8
-1,initial,209.61341604906556,0.992907459074726,0.994052198966715,1.0490115102523558,8
-1,initial,227.08120071982103,0.9880352539412656,0.991773971881862,1.0470144916698907,8
-1,initial,244.5489853905765,0.9830638281730388,0.9904063554191606,1.0360371710936362,8
-1,initial,262.01677006133195,0.9788370912071649,0.990315974568735,1.029091743460255,8
0,model,0.0,-1.0231561563409663,-1.301313628899842,-0.8522727272727169,6
0,model,17.467784670755464,-0.47620852410329134,-0.6991805696619091,-0.25809800868888966,6
0,model,34.93556934151093,-0.22019513402174037,-0.49788542028438226,-0.023310755104241708,6
0,model,52.40335401226639,-0.05027903836339192,-0.25935374149659446,0.0,6
0,model,69.87113868302185,0.03201814353843941,-0.21824718742933885,0.0,6
0,model,87.33892335377732,0.01497404684299856,-0.1652677848161696,0.012996387580372113,6
0,model,104.80670802453278,0.0487692274793154,0.0,0.029264477506172892,6
0,model,122.27449269528825,0.06529379313141309,0.0,0.18753247486404,6
0,model,139.7422773660437,0.05437002328921542,-0.010374027674753218,0.056179775280900304,6
0,model,157.21006203679917,0.11171156902050093,0.0,0.17771298962229104,6
0,model,174.67784670755464,0.09028141493362245,0.0,0.18115111213024784,6
0,model,192.1456313783101,0.04911458601692492,0.0,0.1583444253269756,6
0,model,209.61341604906556,0.019833111652837236,-0.0070475391943367,0.0,6
0,model,227.08120071982103,0.004207816494916694,-0.10682431557413516,0.1530612244897977,6
0,model,244.5489853905765,0.09439321145878928,-0.06122231538438423,0.18784837281731037,6
0,model,262.01677006133195,0.23888421840679533,0.03765869688652895,0.5166549378372072,6
1,model,0.0,0.7842162569938,0.5483870967741927,0.9659090909090924,65
1,model,17.467784670755464,0.5859955692115003,0.5000000000000111,0.742685049930571,65
1,model,34.93556934151093,0.44974604985979627,0.38707847824581737,0.5555555555555549,65
1,model,52.40335401226639,0.351009961786838,0.2834038460037961,0.43870230744896443,65
1,model,69.87113868302185,0.26545499775181153,0.21642934514504794,0.33195323561237566,65
1,model,87.33892335377732,0.19879022605355673,0.1316427348179654,0.2500000000000144,65
1,model,104.80670802453278,0.1384137073483131,0.07229425653093825,0.18647015247690277,65
1,model,122.27449269528825,0.07728141350576419,0.032574548170901524,0.09738234440866582,65
1,model,139.7422773660437,0.025898687526151855,0.0,0.026653201139065708,65
1,model,157.21006203679917,-0.026728597887065234,-0.055022985838728555,0.0,65
1,model,174.67784670755464,-0.07824910196818916,-0.11936268996981197,-0.02173444799422359,65
1,model,192.1456313783101,-0.1407824096934274,-0.1877430917357547,-0.07459465627235837,65
1,model,209.61341604906556,-0.19357726131770378,-0.2509428540599763,-0.12458406238644566,65
1,model,227.08120071982103,-0.23108414044933956,-0.3123959182191315,-0.1497695852534555,65
1,model,244.5489853905765,-0.26360099638716195,-0.3333333333333333,-0.1626486415394092,65
1,model,262.01677006133195,-0.3053538924017259,-0.4306617790365841,-0.1980198019801959,65
-1,model,0.0,-0.03553312629399674,-0.6500000000000037,0.785714285714282,8
-1,model,17.467784670755464,-0.06294603270299522,-0.31154075110170804,0.062318410820709935,8
-1,model,34.93556934151093,-0.16698760680662542,-0.3626157637146703,0.034496992679645566,8
-1,model,52.40335401226639,-0.16876293618730598,-0.5161783063694483,0.07976190476190473,8
-1,model,69.87113868302185,-0.22817074037391885,-0.37605093433355025,0.10446020481282828,8
-1,model,87.33892335377732,-0.10721340125815085,-0.18586930724581516,0.09184273199494325,8
-1,model,104.80670802453278,-0.09525199698621895,-0.2881160877772339,0.21299813432252185,8
-1,model,122.27449269528825,-0.08800757484821206,-0.4232036097410456,0.28225581509009473,8
-1,model,139.7422773660437,-0.07442201518288538,-0.38888888888889545,0.23333333333333123,8
-1,model,157.21006203679917,0.0671649763833006,-0.17089248918921315,0.22809686627492326,8
-1,model,174.67784670755464,0.15049063435301635,0.004622082215612751,0.15895983576847386,8
-1,model,192.1456313783101,0.11748882171311191,-0.002161478921574415,0.2127689120279806,8
-1,model,209.61341604906556,0.053472775786967075,-0.014984239631616112,0.12043457623143451,8
-1,model,227.08120071982103,-0.01122252013112491,-0.10831491744456505,0.022997097706567535,8
-1,model,244.5489853905765,-0.07809490931007773,-0.21686857922135153,0.0,8
-1,model,262.01677006133195,-0.1328963118276673,-0.2578733512071139,0.0,8
