window,T_h,id,duration_covers,n_original_in_window,included,reason
coverage100,27.748780763058747,C172,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C173,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C174,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C175,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C176,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C177,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C178,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C179,True,1,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C180,True,1,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C181,True,1,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C182,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C183,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C184,True,20,True,included
coverage100,27.748780763058747,C186,True,3,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C191,True,5,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C192,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C193,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C194,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C195,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C197,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C198,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C199,True,2,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C202,True,1,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C205,True,19,True,included
coverage100,27.748780763058747,C206,True,19,True,included
coverage100,27.748780763058747,C207,True,19,True,included
coverage100,27.748780763058747,C208,True,18,True,included
coverage100,27.748780763058747,C209,True,18,True,included
coverage100,27.748780763058747,C211,True,17,True,included
coverage100,27.748780763058747,C212,True,19,True,included
coverage100,27.748780763058747,C213,True,19,True,included
coverage100,27.748780763058747,C214,True,19,True,included
coverage100,27.748780763058747,C215,True,7,True,included
coverage100,27.748780763058747,C216,True,3,False,fewer_than_6_original_points_in_window
coverage100,27.748780763058747,C217,True,45,True,included
coverage100,27.748780763058747,C218,True,45,True,included
coverage090,47.80591738392364,C003,True,7,True,included
coverage090,47.80591738392364,C004,True,7,True,included
coverage090,47.80591738392364,C005,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C006,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C007,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C008,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C009,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C010,True,2,False,fewer_than_6_original_points_in_window
