id,normalization,raw_sd,raw_IQR,normalized_sd,derivative_rms
C005,y0,0.03984878469181275,0.06851892134689219,0.03996049656689958,0.0008032352095577363
C006,y0,0.02048921912740842,0.027733849116599152,0.020413077250499935,0.00025104216532259425
C007,y0,0.21171369352039845,0.30983270827248677,0.2159399409964909,0.002054329301924862
C008,y0,0.019145955301080684,0.023561422682318423,0.021155002639048626,0.0009295189438527347
C009,y0,0.08519445394283665,0.07191537502092027,0.08527796123344487,0.0009987141027245194
C010,y0,0.07956101779470919,0.08327043423474956,0.07786885881639706,0.0008236028773985248
C014,y0,0.0614817094492426,0.0716283667727482,0.06120927504171509,0.0006340476551956125
C015,y0,0.10978674983280258,0.08426065495806223,0.11248733350063307,0.0018558364623800473
C016,y0,0.011767784524240963,0.018724589990680274,0.011683664955236229,0.00043831399215547623
C017,y0,0.029289488958640204,0.028086884986020744,0.028901021977137446,0.0004074800777371589
C018,y0,0.08578207272738173,0.06350255463332943,0.08644850689782867,0.0010384682415208383
C019,y0,0.07872879819418366,0.08536408983496746,0.07770990636668094,0.0008094130190016832
C025,y0,0.012672922288111517,0.02226688793131737,0.012669367610579008,0.00010471547623464919
C028,y0,0.7615960780051773,1.2800157144786333,0.03543402127651482,0.0003582605704572598
C029,y0,0.14429508156326754,0.12190625852177206,0.005938753209277011,0.00021594327369228554
C030,y0,0.014583549045465282,0.017092916744568365,0.014483574398000278,0.0001856059803090287
C031,y0,0.016741685090132286,0.012534805612683386,0.01709113111273681,0.00035888748512874675
C034,y0,0.037284279749956406,0.040838051376338,0.03730655206777892,0.0003691169106329646
C035,y0,0.022440372936725277,0.032149104274989404,0.022375962149223223,0.00019535308552038052
C036,y0,0.08106373210370986,0.06516710326011377,0.08225639417867797,0.0010327355068216993
C037,y0,0.03524559212033441,0.06495331971717688,0.03518056387815161,0.00033840028043480774
C038,y0,0.06667316779557458,0.11134854808658912,0.06717230042755552,0.0005511546417841733
C044,y0,0.0027566715524311703,0.0045120825468896175,0.002766991740331092,0.00011695888732803536
C045,y0,0.05123046651328344,0.08234550648073446,0.051190418591174444,0.00043564705034205187
C046,y0,0.09086772104379237,0.1660162255862191,0.09043543777502312,0.0008076866743475634
C047,y0,0.01763511152884008,0.022376099970316643,0.017500927377979154,0.00028009981315888036
C050,y0,0.013962913344309857,0.024818518596351313,0.013946116720522537,0.0001136354177846412
C051,y0,0.0028702147955079337,0.004596021962287367,0.0028355226101197894,4.3261670923595114e-05
C052,y0,0.005496042900605175,0.011030452709489436,0.005489431460525027,4.890089784658163e-05
C053,y0,0.007585486029215442,0.01286886149440436,0.007576361102924292,6.915631294685739e-05
C055,y0,0.1609734771935171,0.3168596004041184,0.006818911427210662,0.00018130435976805026
