window,T_h,target_coverage,duration_covered,duration_coverage,n,effective_coverage,groups,median_original_points
coverage100,27.748780763058747,1.0,134,1.0,29,0.21641791044776118,14,18.0
coverage090,47.80591738392364,0.9,123,0.917910447761194,28,0.208955223880597,16,10.0
coverage080,164.82640238318905,0.8,108,0.8059701492537313,76,0.5671641791044776,40,10.0
coverage070,399.4283373072515,0.7,94,0.7014925373134329,91,0.6791044776119403,46,20.0
coverage060,605.7960715706885,0.6,81,0.6044776119402985,80,0.5970149253731343,39,26.0
coverage050,975.619819947768,0.5,67,0.5,66,0.4925373134328358,34,35.5
coverage040,989.9325475330141,0.4,55,0.41044776119402987,54,0.40298507462686567,28,29.0
coverage030,1003.8344196702012,0.3,41,0.30597014925373134,40,0.29850746268656714,20,23.0
coverage020,1456.7496729510262,0.2,27,0.20149253731343283,26,0.19402985074626866,12,24.5
