id,group,source,x_name,x_unit,y_name,y_unit,hour_factor,n_raw,missing_rows,duplicate_timestamps,conflicting_duplicates,was_sorted,n_clean,x_start,x_end,duration_h,median_dt_h,dt_min_h,dt_max_h,y_min,y_max,reasons,eligible
C001,图片1,图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,Thermal cycles,,Normalized PCE,,,64,0,0,False,True,64,-0.5993493257997429,197.2076219346634,,,,,0.9053732294229524,1.0021347422264115,cycle_axis_not_hours,False
C002,图片1,图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,Thermal cycles,,Normalized PCE,,,64,0,0,False,True,64,-0.2853700063386881,197.52160125412445,,,,,0.3463067110029638,1.0057185019598731,cycle_axis_not_hours,False
C003,图片102,图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,Time,(h),Normalized PCE,,1.0,30,0,0,False,True,30,0.2808468239687869,213.12665721311737,212.8458103891486,7.339510703074097,7.3395107030740405,7.339510703074126,0.1215456547989721,1.0036369299852417,,True
C004,图片102,图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,Time,(h),Normalized PCE,,1.0,30,0,0,False,True,30,0.2808468239687869,213.12665721311737,212.8458103891486,7.339510703074097,7.3395107030740405,7.339510703074126,0.9149350140447228,1.1021946143635954,,True
C005,图片103,图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,Time,(h),Normalized PCE,,1.0,63,0,0,False,True,63,-1.3105387035323872,1000.5625722547218,1001.8731109582542,15.654267358722706,15.65426735872245,46.962802076168174,0.5208347986198131,0.9972044422696348,,True
C006,图片103,图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,Time,(h),Normalized PCE,,1.0,65,0,0,False,True,65,-2.8759654394046663,998.9971455188496,1001.8731109582543,15.654267358722734,15.654267358722564,15.654267358722791,0.9123714920306254,1.0037300538264815,,True
C007,图片105,图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,Time,(h),Normalized PCE,,1.0,27,0,0,False,True,27,-3.2457655094714823,503.2663791762418,506.5121446857133,19.481236334065898,19.48123633406587,19.481236334065926,0.2029016490991553,1.0087023048344443,,True
C008,图片105,图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,Time,(h),Normalized PCE,,1.0,56,0,0,False,True,56,-5.193889142878078,1066.2741092307465,1071.4679983736246,19.481236334065898,19.481236334065784,19.481236334066125,0.8908951914228523,0.9945654512250532,,True
C009,图片107,图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,Time,(h),PCE,(norm.),1.0,33,0,0,False,True,33,14.493093149841345,1324.2144817280746,1309.7213885782332,40.92879339306978,40.92879339306944,40.92879339307001,0.5107532173249982,0.9990207635196668,,True
C010,图片107,图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,Time,(h),PCE,(norm.),1.0,33,0,0,False,True,33,6.307334471227364,1316.0287230494607,1309.7213885782335,40.92879339306978,40.928793393069554,40.92879339307001,0.662154006842725,1.021730881947326,,True
C011,图片11,图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,Time,(h),Normalized PCE,,1.0,50,0,0,False,True,50,-0.8167830047531695,275.4154280601935,276.2322110649467,5.637392062549935,5.637392062549878,5.637392062549992,0.8482154979386229,1.001318547695473,,True
C012,图片11,图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,Time,(h),Normalized PCE,,1.0,50,0,0,False,True,50,-0.8167830047531695,275.4154280601935,276.2322110649467,5.637392062549935,5.637392062549878,5.637392062549992,0.663591232055363,1.005821578570674,,True
C013,图片113,图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,Time (h),h,Normalized PCE,,1.0,53,0,3,True,True,50,0.351036024886298,996.1977183860802,995.8466823611939,20.323401680840703,20.323401680840448,20.323401680840902,0.9328225012916398,1.0044508680643878,conflicting_duplicate_timestamps,False
C014,图片113,图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,Time (h),h,Normalized PCE,,1.0,49,0,0,False,True,49,14.577417201474788,990.100697881828,975.5232806803532,20.323401680840682,20.32340168084056,20.32340168084079,0.3444466313726373,1.0044508680643878,,True
C015,图片114,图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,Time,hr,Normalized PCE,,1.0,52,0,0,False,True,52,1.9695087968972729,607.7655803675857,605.7960715706885,11.878354344523302,11.878354344523132,11.878354344523359,0.539085008983947,0.9759921087664922,,True
C016,图片114,图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,Time,hr,Normalized PCE,,1.0,84,0,0,False,True,84,1.9695087968972729,987.8729193923314,985.9034105954341,11.878354344523302,11.878354344523132,11.878354344523473,0.9572675187758116,1.0196828187447466,,True
C017,图片114,图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,Time,hr,Normalized PCE,,1.0,84,0,0,False,True,84,7.908685969158924,993.812096564593,985.9034105954341,11.878354344523302,11.878354344523018,11.878354344523586,0.6077418389497755,1.0134412887478532,,True
C018,图片115,图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,Time,(h),PCE,(norm.),1.0,30,0,0,False,True,30,18.360890874959807,1306.848615735472,1288.4877248605123,44.43061120208665,44.43061120208631,44.430611202086766,0.5175833480470575,0.9922909695683396,,True
C019,图片115,图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,Time,(h),PCE,(norm.),1.0,31,0,0,False,True,31,5.031707514333846,1337.9500435769328,1332.9183360625989,44.43061120208665,44.43061120208631,44.430611202086766,0.6549987121716392,1.013111479284185,,True
C020,图片116,图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,Times,(h),Normalized MPPT,,1.0,43,0,0,False,True,43,0.489345608014986,988.9318154081944,988.4424698001794,18.64985792075811,18.649857920757995,93.24928960379054,0.5063897787021453,0.9199509760980016,pce_axis_unconfirmed,False
C021,图片116,图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,Times,(h),Normalized MPPT,,1.0,55,0,0,False,True,55,19.139203528773095,1026.2315312497108,1007.0923277209376,18.64985792075811,18.649857920757995,18.649857920758336,0.5157888968247785,0.6990717002161239,pce_axis_unconfirmed,False
C022,图片116,图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,Times,(h),Normalized MPPT,,1.0,56,0,0,False,True,56,4.2193171921666135,1029.961502833862,1025.7421856416954,18.64985792075811,18.64985792075754,18.649857920758336,0.9246505351593184,0.9716461257724838,pce_axis_unconfirmed,False
