,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
c0,0.0,3.275206228872953,7.850517620614641,21.331109825163733,15.133267251709718,1.183257565171583,1.4494297039310788,5.291823661776082,9.741110631882883,11.718808089074262
c1,3.275206228872953,0.0,4.57764128788724,18.1475332377695,11.904561476236848,4.455675635672555,1.8296255639138226,2.070040237681811,6.715586881279385,8.44973254425393
c2,7.850517620614641,4.57764128788724,0.0,13.849529251427565,7.533193819985814,9.03119222307645,6.406403447838315,2.7126799849628482,3.5756834365916608,3.8779711924642855
c3,21.331109825163733,18.1475332377695,13.849529251427565,0.0,6.321830701719021,22.47263848511947,19.905653661630442,16.079418892914813,11.710607048804013,10.503779195790353
c4,15.133267251709718,11.904561476236848,7.533193819985814,6.321830701719021,0.0,16.292953391919383,13.693205136788444,9.847694822045417,5.803189649273458,4.32806549786484
c5,1.183257565171583,4.455675635672555,9.03119222307645,22.47263848511947,16.292953391919383,0.0,2.6275358906213846,6.460999006657786,10.849814021687955,12.899321229716879
c6,1.4494297039310788,1.8296255639138226,6.406403447838315,19.905653661630442,13.693205136788444,2.6275358906213846,0.0,3.8477254695759298,8.35713250157966,10.277864758071784
c7,5.291823661776082,2.070040237681811,2.7126799849628482,16.079418892914813,9.847694822045417,6.460999006657786,3.8477254695759298,0.0,4.708275750198082,6.55380994286307
c8,9.741110631882883,6.715586881279385,3.5756834365916608,11.710607048804013,5.803189649273458,10.849814021687955,8.35713250157966,4.708275750198082,0.0,4.430054784144915
c9,11.718808089074262,8.44973254425393,3.8779711924642855,10.503779195790353,4.32806549786484,12.899321229716879,10.277864758071784,6.55380994286307,4.430054784144915,0.0
