sample,curve_id,csv_path,window_hours,included,reason,duration_hours,first_global_max_time_hours,raw_points,x_name,x_unit,y_name,y_unit,mapping_count,normalized_min_before_smoothing,normalized_max_before_smoothing,smoothed_min,smoothed_max
图片103,图片103_b49966b933,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,500,True,included,1001.8731109582542,0.0,63,Time,(h),Normalized PCE,,2,0.7007002363001004,1.0,0.700686331529147,1.0001266535803564
图片103,图片103_e647eaafac,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,500,True,included,1001.8731109582542,0.0,65,Time,(h),Normalized PCE,,2,0.9253858401450745,1.0,0.9252892006525567,1.0
图片105,图片105_a0f739dd1e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,500,True,included,506.5121446857133,38.96247266813177,27,Time,(h),Normalized PCE,,0,0.21851307374123868,1.0,0.2185250697538281,0.9998604633273783
图片105,图片105_dccad548c1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,500,True,included,1071.4679983736244,97.40618167032949,56,Time,(h),Normalized PCE,,0,0.910288633773915,1.0,0.9101133400956052,0.9999999999999601
图片107,图片107_bce0588e91,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,500,True,included,1309.7213885782332,0.0,33,Time,(h),PCE,(norm.),0,0.7068031688702187,1.0,0.7068031688702182,1.0000050427528713
图片107,图片107_b88bf7baa8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,500,True,included,1309.7213885782335,0.0,33,Time,(h),PCE,(norm.),0,0.75110932732582,1.0,0.7511163260851235,0.9999975349034493
图片113,图片113_79585e07d2,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,500,True,included,995.8466823611939,0.0,53,Time (h),h,Normalized PCE,,0,0.9691013374645874,1.0,0.9690974934288865,1.0000000000000002
图片113,图片113_c533222a3c,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,500,True,included,975.5232806803532,0.0,49,Time (h),h,Normalized PCE,,0,0.6890693571422981,1.0,0.6889770796398947,0.9999999999999998
图片114,图片114_ee5e59416d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,500,True,included,605.7960715706885,0.0,52,Time,hr,Normalized PCE,,0,0.5530390089956866,1.0,0.5529647445379882,0.9999999999999998
图片114,图片114_d13ee8bd02,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,500,True,included,985.9034105954341,166.29696082332623,84,Time,hr,Normalized PCE,,0,0.9563876389413672,1.0,0.956387638941329,0.9999528025359975
图片114,图片114_9e06e27c24,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,500,True,included,985.9034105954341,0.0,84,Time,hr,Normalized PCE,,0,0.8827961182605308,1.0,0.8823883317937288,1.0000714195272868
图片115,图片115_8c30182729,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,500,True,included,1288.4877248605121,0.0,30,Time,(h),PCE,(norm.),0,0.7084735262361496,1.0,0.7084734745330349,1.000006237159092
图片115,图片115_430f145e0d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,500,True,included,1332.9183360625989,0.0,31,Time,(h),PCE,(norm.),0,0.7560182097271467,1.0,0.7560129073168969,1.0000008098549782
图片12,图片12_38533f8bee,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,500,True,included,1561.8801618558145,0.0,51,Time,(h),Normalized PCE,,2,0.960945370964272,1.0,0.9609434231147532,1.0000000000000002
图片121,图片121_15f5c6cbae,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,500,True,included,855.9214488670177,17.467784670755464,50,Time,hours,PCE,%,2,0.8663311338970638,1.0,0.8663311338970635,0.9999783649363055
图片121,图片121_a19a037170,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,500,True,included,1467.2939123434587,366.82347808586474,85,Time,hours,PCE,%,2,0.970915097182868,1.0,0.9708919378350361,1.0000290554552154
图片122,图片122_c3ddf8ba4b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,500,True,included,997.8628278541325,0.0,53,Time,( h ),PCE,( % ),2,0.9453979332625368,1.0,0.9453979332624993,1.0000000000000002
图片122,图片122_3138f8748b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,500,True,included,729.2074511241739,0.0,39,Time,( h ),PCE,( % ),2,0.8457336973214564,1.0,0.8457336973214555,1.0000000000000004
图片127,图片127_aef6d9af0f,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,500,True,included,2118.153166482114,0.0,37,Time,(h),Normal. PCE,,0,0.8801406398265821,1.0,0.8801406398265814,0.9999992787641416
图片127,图片127_643357a725,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,500,True,included,2118.153166482114,0.0,37,Time,(h),Normal. PCE,,0,0.9342177432318034,1.0,0.9342169924636505,1.0000012936486895
图片127,图片127_02e16b0d01,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,500,True,included,2118.153166482114,0.0,37,Time,(h),Normal. PCE,,0,0.7428664054633916,1.0,0.7428663974114533,1.0000088904241458
图片132,图片132_3a415162c3,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,500,True,included,986.2603191123052,0.0,43,Time,(h),Normalized PCE,,2,0.8720547989703852,1.0,0.8720547989703851,0.99999999999996
图片132,图片132_b06a9ac20e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,500,True,included,986.2603191123052,0.0,43,Time,(h),Normalized PCE,,2,0.7127902715845104,1.0,0.7127798892518898,0.999990851473347
图片135,图片135_34111350bc,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,500,True,included,1011.0572730371723,0.0,57,Time,h,Normalized PCE,,0,0.9864544172506924,1.0,0.9864723846449536,0.9999999999999996
图片135,图片135_4b2d21d4f1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,500,True,included,1011.0572730371723,0.0,57,Time,h,Normalized PCE,,0,0.8075965936906383,1.0,0.8075965936906381,0.9999999999999996
图片136,图片136_d25478ae5a,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,500,True,included,652.8002443820736,93.25717776886756,15,Time,(h),Normalized PCE,,2,0.6720578355876791,1.0,0.6720578355876786,0.9999999999999601
图片136,图片136_18887ea1b1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,500,True,included,1352.229077648581,233.1429444221692,30,Time,(h),Normalized PCE,,2,0.9446456962782477,1.0,0.94464569627821,0.9999898626313519
图片141,图片141_52b07a6326,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,500,True,included,2411.8599222799694,63.46999795473607,39,Time,(hours),Norm. PCE,,4,0.9460042445544666,1.0,0.9460037008347667,0.9999999999999601
图片141,图片141_123f56d443,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,500,True,included,2348.389924325233,0.0,38,Time,(hours),Norm. PCE,,4,0.9923560870438644,1.0,0.9923544808558695,0.9999999999999601
图片141,图片141_8fd14d68be,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,500,True,included,2411.8599222799694,63.46999795473607,39,Time,(hours),Norm. PCE,,4,0.9847736653865451,1.0,0.9847736653865059,0.9999999999999603
图片141,图片141_b8ba6dc543,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,500,True,included,2348.389924325233,0.0,38,Time,(hours),Norm. PCE,,4,0.9733663754523171,1.0,0.9733663754523161,0.9999999999999603
