seed,ari_to_frozen,occupied_nodes,min_cluster_fraction,bootstrap_qe
101,0.986865417041024,4,0.0559748427672956,0.32132427786039025
103,0.9055240322094757,4,0.05408805031446541,0.29895964473215303
107,0.919308910052361,4,0.05849056603773585,0.31794442245210686
109,0.9220117756266464,4,0.05345911949685535,0.3093846008148045
113,0.8553087387377656,4,0.05911949685534591,0.31873114702436245
127,0.9203592011674684,4,0.052830188679245285,0.3125551914019774
131,0.9157606234531448,4,0.0559748427672956,0.30335433504301784
137,0.9715512996011308,4,0.05849056603773585,0.31521633181928765
139,0.976858849243958,4,0.05157232704402516,0.30751032243675935
149,0.9022018226522798,4,0.042767295597484274,0.31848240591718324
151,0.9729092004353629,4,0.05345911949685535,0.3043922801320009
157,0.926090813002933,4,0.05408805031446541,0.31042153301526926
163,0.9531447332684742,4,0.05220125786163522,0.32325465830624256
167,0.900661455142034,4,0.05345911949685535,0.3045891640313405
173,0.9171316713292893,4,0.050314465408805034,0.31759789275451056
179,0.9744190703276815,4,0.05345911949685535,0.3008780157948787
181,0.6915111402638129,4,0.059748427672955975,0.29909669707969255
191,0.7398841170380095,4,0.05911949685534591,0.3070362842812679
193,0.7332737589081576,4,0.05849056603773585,0.3218221738867843
197,0.9128989764265848,4,0.0559748427672956,0.3021618466317746
