curve_id,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,duration_hours,n_unique_points,n_observed_in_window,first_value,source_sha256,confidence_level,status,review_reason,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,prior_features_verified,strict_class,key_effect_fraction_of_start,rate_contrast,template_correlation,plot_id,raw_cluster_id,class_label,suggested_shape_name,pce_norm_0h,pce_norm_200h,selection_or_exclusion_reasons
10.1016_j.xcrp.2021.100450_Fig5_C_stability_performance_curve_pce_image_9490588f7f,lab/data_all/x_time_h/10.1016_j.xcrp.2021.100450/Fig5_C_stability_performance_curve_pce_image/accepted/10.1016_j.xcrp.2021.100450__Fig5__C__stability_performance_curve_pce_image__Control__Series_2.csv,10.1016/j.xcrp.2021.100450,Fig5_C_stability_performance_curve_pce_image,10.1016_j.xcrp.2021.100450__Fig5__C__stability_performance_curve_pce_image__Control__Series_2,Time (h),(h),Normalized PCE,,1.0,789.2480000903585,33,21,1.0009346963745869,b12279b52813e7a08ec1623211bda7806678caa04ee808de4142b1399e098bd5,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.117042880469831,0.9994009781495062,0.8851940370406698,-0.1142069411088364,-0.9757700823013702,0.0005990218504933,0.0051179691416405,0.1148059629593297,0.9808880514430108,0.0252072228418206,0.2153674169726031,0.0246082009913273,0.2102494478309625,0.0,0.0,0.0895987401175091,0.7655206344704076,0.0,0.4,0.4,0.4,-0.0718826220578936,-0.1710630664347452,0.97,True,IFO-Slope,0.0246229506768063,0.4202112329449819,0.6911145989426443,S601,,,,,,unique_points_4_to_9_main_qc
10.1016_j.xcrp.2021.100475_Fig4_E_stability_performance_curve_pce_e166fd1a57,lab/data_all/x_time_h/10.1016_j.xcrp.2021.100475/Fig4_E_stability_performance_curve_pce/accepted/10.1016_j.xcrp.2021.100475__Fig4__E__stability_performance_curve_pce__Without_[Bcim][TFSI]__Series_1.csv,10.1016/j.xcrp.2021.100475,Fig4_E_stability_performance_curve_pce,10.1016_j.xcrp.2021.100475__Fig4__E__stability_performance_curve_pce__Without_[Bcim][TFSI]__Series_1,Time,(h),Normalized PCE,,1.0,987.2756909894676,99,50,0.9918871303983036,3390eed60f1e3b64f9f442f6bdf904edf9730b2082ebaf5c995b6b428b78f524,high,boundary_candidate,末段斜率非负,500,0.2486203580976136,0.9566709561784328,0.7654105605967442,-0.1912603955816886,-0.7692869443402367,0.043161867307235,0.1736055230452559,0.2344222628889236,0.9428924673854926,0.2447007494677169,0.9842345628496046,0.2017875769179441,0.8116293390532325,0.0119840415338842,0.0482021730866425,0.0014568601976286,0.0058597783736467,0.0,0.3866666666666666,1.0,0.4,-1.9804302460088536,0.0009879966059755,0.35,True,IFO-Slope,0.2109268349945682,2004.4909405870796,0.8051922624756247,S602,2.0,class_02,no_initial_change_moderate_loss,1.0,0.7533898064635817,included
10.1021_acs.chemmater.1c00662_Fig4_A_stability_performance_curve_pce_1966670535,lab/data_all/x_time_h/10.1021_acs.chemmater.1c00662/Fig4_A_stability_performance_curve_pce/accepted/10.1021_acs.chemmater.1c00662__Fig4__A__stability_performance_curve_pce__PCBM_PDINO__Series_2.csv,10.1021/acs.chemmater.1c00662,Fig4_A_stability_performance_curve_pce,10.1021_acs.chemmater.1c00662__Fig4__A__stability_performance_curve_pce__PCBM_PDINO__Series_2,Time (h),(h),Normalized PCE,,1.0,1096.6327806777122,38,17,1.000894148396921,34c7110f87273daf625635403cc115f0207b9f13822bc0ecfd8516fe62725d4f,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.09357777023897,0.9996139288465868,0.9077462810066984,-0.0918676478398883,-0.9817251213112408,0.0003858414853302,0.0041232173447277,0.0922534893252186,0.9858483386559688,0.0280902053669984,0.3001803237592043,0.0277043638816681,0.2960571064144764,0.0,0.0,0.0641632839582201,0.6856680148967644,0.0333333333333333,0.4,0.4,0.4,-0.0229309877678216,-0.107755299500056,0.9666666666666668,True,IFO-Slope,0.0277150638683427,0.2128061253062519,0.7615801628339783,S603,,,,,,unique_points_4_to_9_main_qc
10.1021_acs.chemmater.1c00662_Fig4_A_stability_performance_curve_pce_3bd3894217,lab/data_all/x_time_h/10.1021_acs.chemmater.1c00662/Fig4_A_stability_performance_curve_pce/accepted/10.1021_acs.chemmater.1c00662__Fig4__A__stability_performance_curve_pce__PCBM_ZnO__Series_3.csv,10.1021/acs.chemmater.1c00662,Fig4_A_stability_performance_curve_pce,10.1021_acs.chemmater.1c00662__Fig4__A__stability_performance_curve_pce__PCBM_ZnO__Series_3,Time (h),(h),Normalized PCE,,1.0,1096.6327806777122,38,17,1.0040388560180769,bd6e8a4380e01f6a65f005f7a32ba5ef7f134fcf0aa41c4b5f4a5318aa27f14b,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.143208873730037,0.9996151373153004,0.8581605955573025,-0.141454541757998,-0.9877498375181268,0.0003846337355165,0.0026858233397019,0.1418391754935145,0.9904356608578287,0.0451646952992033,0.3153763738435878,0.0447800615636867,0.3126905505038859,0.0,0.0,0.0966744801943112,0.675059287014241,0.0333333333333333,0.4,0.4,0.4,-0.022859209855751,-0.1734760891474255,0.9666666666666668,True,IFO-Slope,0.0447973023737456,0.1317715309821431,0.7765050951531719,S604,,,,,,unique_points_4_to_9_main_qc
10.1021_acs.chemmater.1c01436_Fig6_C_stability_performance_curve_pce_pattern_f82f232e0f,lab/data_all/x_time_h/10.1021_acs.chemmater.1c01436/Fig6_C_stability_performance_curve_pce_pattern/accepted/10.1021_acs.chemmater.1c01436__Fig6__C__stability_performance_curve_pce_pattern__Pristine__Series_1.csv,10.1021/acs.chemmater.1c01436,Fig6_C_stability_performance_curve_pce_pattern,10.1021_acs.chemmater.1c01436__Fig6__C__stability_performance_curve_pce_pattern__Pristine__Series_1,Time,hour,Normalized PCE,,1.0,985.2721960392936,48,24,0.99610629157691,c8cd17b964c64f815880b1e3c7d8fee8c5b8857652d5366ac95abc9cef437f34,high,clear_match,,500,0.3989996608565973,0.9960729095011098,0.60452759250257,-0.3915453169985398,-0.9813174180598196,0.0039311539996556,0.0098525246643467,0.3954764709981954,0.9911699427241664,0.1824799755192596,0.4573436857753219,0.178548821519604,0.4474911611109752,0.0,0.0,0.2129964954789357,0.5338262569488444,0.0,0.4,0.4,0.4,-0.5422414480260703,-0.3592527559889966,1.0,True,IFO-Slope,0.1792527633434298,1.5093591878879793,0.8704307624487356,S605,2.0,class_02,no_initial_change_moderate_loss,1.0,0.8183467235380523,included
10.1021_acs.energyfuels.0c01280_Fig4_whole_stability_d39c59a554,lab/data_all/x_time_h/10.1021_acs.energyfuels.0c01280/Fig4_whole_stability/accepted/10.1021_acs.energyfuels.0c01280__Fig4__whole__stability__Control_device_Without_encapsulation__Series_3.csv,10.1021/acs.energyfuels.0c01280,Fig4_whole_stability,10.1021_acs.energyfuels.0c01280__Fig4__whole__stability__Control_device_Without_encapsulation__Series_3,Time,(h),Normalized PCE,,1.0,996.6169625040568,54,27,1.0015970311934823,fba149b4889c49f3727c7d6331b986edd321c0412e47367c1f5938d6e2a0764a,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.1548920913984688,0.9982595479531308,0.8477899577246046,-0.1504695902285262,-0.971447856827206,0.0017404520468691,0.0112365455921936,0.1522100422753953,0.9826844024193996,0.049585642480068,0.3201302405589328,0.0478451904331989,0.3088936949667391,0.0,0.0,0.1026243997953273,0.6625541618604669,0.0,0.4,0.4,0.4,-0.1354380419626646,-0.1426570816634608,1.0,True,IFO-Slope,0.0479286078768818,0.9493958546143092,0.7928648654978937,S606,0.0,class_01,no_initial_change_stable,1.0,0.9506377542282248,included
10.1021_acs.energyfuels.2c03191_Fig6_D_schematic_diagram_stability_performance_curve_cee448c47c,lab/data_all/x_time_h/10.1021_acs.energyfuels.2c03191/Fig6_D_schematic_diagram_stability_performance_curve/accepted/10.1021_acs.energyfuels.2c03191__Fig6__D__schematic_diagram_stability_performance_curve__Control_PSC__Series_2.csv,10.1021/acs.energyfuels.2c03191,Fig6_D_schematic_diagram_stability_performance_curve,10.1021_acs.energyfuels.2c03191__Fig6__D__schematic_diagram_stability_performance_curve__Control_PSC__Series_2,Time,(h),Normalised PCE,,1.0,541.618659186631,29,26,0.9934945773815352,c46d550d36f817bdfa6fc585d19dffc5f70c35a3a3bcda57011fcdd5f19b1494,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.6516905433813334,0.9955561932157972,0.359855659360071,-0.6357005338557262,-0.9754637999768386,0.0044290850038513,0.00679630086524,0.6401296188595775,0.9822601008420786,0.2853713420156356,0.4378939435502167,0.2809422570117843,0.4310976426849766,0.0,0.0,0.3547582768439419,0.544366157291862,0.0,0.4,0.4,0.4,-0.863101424648242,-0.7404529215028264,1.0,True,IFO-Slope,0.2821962827676239,1.1656398395950518,0.8482864834327446,S607,2.0,class_02,no_initial_change_moderate_loss,1.0,0.7153565463663577,included
10.1021_acs.jpcc.0c02628_Fig6_A_stability_performance_curve_pce_optimized_structure_24450e248b,lab/data_all/x_time_h/10.1021_acs.jpcc.0c02628/Fig6_A_stability_performance_curve_pce_optimized_structure/accepted/10.1021_acs.jpcc.0c02628__Fig6__A__stability_performance_curve_pce_optimized_structure__SnO₂__Series_1.csv,10.1021/acs.jpcc.0c02628,Fig6_A_stability_performance_curve_pce_optimized_structure,10.1021_acs.jpcc.0c02628__Fig6__A__stability_performance_curve_pce_optimized_structure__SnO₂__Series_1,Time (h),(h),Normalized PCE,,1.0,1033.509447746238,44,21,1.0126386226381563,6ca2fd5eba588087d086bed137288f3e1582d4c7ab17544ed0854bb04f3e2f59,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.202806131149398,0.999196031892682,0.798397606417009,-0.2007984254756729,-0.990100369932869,0.0008039681073178,0.0039642199314261,0.2016023935829908,0.9940645898642952,0.0907980139864612,0.4477084271164094,0.0899940458791433,0.4437442071849833,0.0,0.0,0.1108043795965295,0.5463561627478856,0.0,0.4,0.4,0.4,-0.0964761728768345,-0.1867596859493367,1.0,True,IFO-Slope,0.0900664564376584,0.5165792199019125,0.8154885260403001,S608,,,,,,unique_points_4_to_9_main_qc
10.1021_acs.jpcc.0c09794_Fig1_B_stability_performance_curve_pce_2023a5ef87,lab/data_all/x_time_h/10.1021_acs.jpcc.0c09794/Fig1_B_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c09794__Fig1__B__stability_performance_curve_pce__Pristine__Series_1.csv,10.1021/acs.jpcc.0c09794,Fig1_B_stability_performance_curve_pce,10.1021_acs.jpcc.0c09794__Fig1__B__stability_performance_curve_pce__Pristine__Series_1,Time,(h),PCE,(%),1.0,991.5616852983557,58,29,16.35658384879112,542a9dc833f7252425f421671be31721699ed14090102cf57041e9064e121754,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.2319954198652591,0.9981450217027116,0.769696626857618,-0.2284483948450936,-0.9847107972121792,0.0018492911971988,0.0079712401144511,0.2302976860422925,0.9926820373266304,0.085002793974335,0.366398586763928,0.0831535027771361,0.3584273466494768,0.0,0.0,0.1452948920679574,0.6262834505627024,0.0,0.4,0.4,0.4,-0.1752910965616688,-0.293686860507249,1.0,True,IFO-Slope,0.0833080373784629,0.5968639395678452,0.8109520151043319,S609,0.0,class_01,no_initial_change_stable,1.0,0.9152597342110704,included
10.1021_acs.jpcc.0c10805_Fig5_F_stability_performance_curve_pce_0f88852d54,lab/data_all/x_time_h/10.1021_acs.jpcc.0c10805/Fig5_F_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c10805__Fig5__F__stability_performance_curve_pce__Control__Series_1.csv,10.1021/acs.jpcc.0c10805,Fig5_F_stability_performance_curve_pce,10.1021_acs.jpcc.0c10805__Fig5__F__stability_performance_curve_pce__Control__Series_1,Time,(h),Normalized PCE,,1.0,666.7822610650148,18,13,1.0051133332827056,7f2e878aadd3aefcf6c91a1e5af02bf76e18400b54e41df76a270f398a81e8fe,high,boundary_candidate,早期下降速度不足末段1.5倍,500,0.2010773954894602,0.9988646055498576,0.8010746198198158,-0.1977899857300419,-0.9836510227745086,0.0011334786623528,0.0056370267756537,0.1989234643923947,0.9892880495501624,0.0553187629947788,0.2751117939444292,0.054185284332426,0.2694747671687755,0.0,0.0,0.1436047013976158,0.7141762556057331,0.0,0.4,0.4,0.4,-0.1616059634226014,-0.3061764588683316,1.0,True,IFO-Slope,0.0542468759342994,0.52781968940368,0.736979556003555,S610,,,,,,unique_points_4_to_9_main_qc
