raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name,naming_basis
0,426,0.9938414203525134,0.9885891633084841,0.87564278898823,-0.005252257044029318,-0.11819863136428344,-0.0005763891368140742,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.876, slope_0_10h=-0.00053/h, slope_100_200h=-0.00058/h, Δ200h=-0.118, n=426"
1,749,0.9866897841751192,0.9882248178241109,0.9597892999115836,0.0015350336489916572,-0.02690048426353564,-0.0002083311582734747,no_initial_change_stable_decelerating_loss,"PCE@200h=0.960, slope_0_10h=0.00015/h, slope_100_200h=-0.00021/h, Δ200h=-0.027, n=749"
2,267,0.9941303626853909,0.9835877791515354,0.7694446078315803,-0.01054258353385551,-0.2246857548538106,-0.001077777821004956,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.769, slope_0_10h=-0.00105/h, slope_100_200h=-0.00108/h, Δ200h=-0.225, n=267"
3,121,0.9979888021308378,0.961851832925771,0.4983221727199215,-0.036136969205066816,-0.49966662941091633,-0.002132786333689951,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.498, slope_0_10h=-0.00361/h, slope_100_200h=-0.00213/h, Δ200h=-0.500, n=121"
4,20,0.9998426951766115,0.8801185869849639,0.1470084765823521,-0.11972410819164758,-0.8528342185942595,-0.0018594041632483509,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.147, slope_0_10h=-0.01197/h, slope_100_200h=-0.00186/h, Δ200h=-0.853, n=20"
5,64,0.9992775605988596,0.9214385428511703,0.3352648852910187,-0.07783901774768931,-0.6640126753078409,-0.002085004022623329,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.335, slope_0_10h=-0.00778/h, slope_100_200h=-0.00209/h, Δ200h=-0.664, n=64"
6,165,0.9974539327010385,0.9709886627463241,0.6775248017030762,-0.026465269954714432,-0.3199291309979624,-0.0012521403672017262,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.678, slope_0_10h=-0.00265/h, slope_100_200h=-0.00125/h, Δ200h=-0.320, n=165"
