candidate,id,medoid,cluster,path_length,path_length_ratio,max_index_warp,mean_index_warp,max_time_warp_fraction,mean_time_warp_fraction,boundary_fraction,turn_collapse_fraction,turns
M016957,C005,C063,1,32,1.3333333333333333,0.167391304347826,0.08383152173913044,0.18468371444826953,0.09027521960883039,0.0,0.2857142857142857,7
M016957,C006,C063,1,29,1.1153846153846154,0.07999999999999996,0.031034482758620686,0.08310900029392991,0.030094726622599963,0.0,0.0,2
M016957,C007,C063,1,28,1.3333333333333333,0.20000000000000007,0.09999999999999999,0.19150607954305884,0.09440091869669733,0.17857142857142858,0.0,1
M016957,C008,C063,1,28,1.3333333333333333,0.20000000000000007,0.11428571428571425,0.19304255083007352,0.10436678543472588,0.25,0.0,3
M016957,C009,C063,1,21,1.0,0.19999999999999996,0.09365079365079367,0.16215581771935594,0.06750904217255853,0.047619047619047616,0.0,0
M016957,C010,C063,1,22,1.0476190476190477,0.19999999999999996,0.09545454545454547,0.16215581771935594,0.072806285231114,0.045454545454545456,0.0,0
M016957,C014,C063,1,27,1.2857142857142858,0.1868421052631578,0.08265107212475632,0.17179889884743926,0.07808692314830754,0.0,0.0,0
M016957,C015,C063,1,38,1.1176470588235294,0.18939393939393945,0.09003189792663475,0.20482039598764543,0.08731182537058674,0.0,0.3333333333333333,3
M016957,C016,C063,1,41,1.2058823529411764,0.1893939393939394,0.08410938654841095,0.20649455136270128,0.08497603163998073,0.0,0.3333333333333333,3
M016957,C017,C063,1,40,1.1764705882352942,0.19696969696969702,0.10344696969696969,0.1715868093562627,0.09372182341462641,0.0,0.0,0
M016957,C018,C063,1,21,1.0,0.2,0.10595238095238098,0.16215581771935594,0.07575313191295513,0.09523809523809523,0.0,0
M016957,C019,C063,1,21,1.0,0.2,0.10000000000000002,0.16215581771935594,0.07286869799485335,0.09523809523809523,0.0,0
M016957,C025,C063,1,24,1.1428571428571428,0.16666666666666669,0.08125,0.173524947034495,0.0817535073923449,0.0,0.0,0
M016957,C028,C063,1,30,1.3043478260869565,0.19545454545454544,0.08818181818181815,0.1742358843620204,0.08204475448481784,0.0,0.0,1
M016957,C030,C063,1,25,1.1904761904761905,0.10000000000000003,0.028000000000000004,0.10726472098832106,0.03216237382758618,0.0,0.0,0
M016957,C031,C063,1,27,1.2857142857142858,0.20000000000000007,0.07777777777777778,0.17975017321424916,0.07243308294566247,0.2222222222222222,0.0,4
M016957,C034,C063,1,21,1.0,0.2,0.09523809523809523,0.11287086582049442,0.04981969481649702,0.047619047619047616,0.0,0
M016957,C035,C063,1,21,1.0,0.16666666666666669,0.07936507936507936,0.10187209137914091,0.04598016236734405,0.0,0.0,0
