candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score
M000030,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,4,0.6036676562595105,0.24883270767162574,1,0.7586206896551724,False,0.748070987654321
M000031,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,5,0.5416919155843944,0.24883270767162574,1,0.7586206896551724,False,0.6813547178130511
M000032,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,6,0.4848427040765687,0.24883270767162574,1,0.7586206896551724,False,0.5851245590828924
M000033,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,7,0.3879592220816371,0.16595668550657644,1,0.3793103448275862,False,0.28968253968253965
M000034,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,8,0.35415185436698615,0.16595668550657644,1,0.3793103448275862,False,0.1929563492063492
M000035,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,9,0.3433842997111575,0.16595668550657644,1,0.3793103448275862,False,0.16782407407407407
M000036,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,average,10,0.3193344251158224,0.23811561445193705,1,0.3793103448275862,False,0.16165123456790123
M000037,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,2,0.7330440346946415,0.5669135123972023,3,0.896551724137931,True,0.9583057760141094
M000038,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,3,0.3970078997376436,0.06715015091838977,3,0.5172413793103449,True,0.2835923721340388
M000039,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,4,0.4599441533480522,0.09448897652078622,3,0.41379310344827586,True,0.44833002645502645
M000040,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,5,0.4864076840670201,0.15270327133528772,1,0.3793103448275862,False,0.5190696649029982
M000041,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,6,0.44480843358946276,0.16595668550657644,1,0.3793103448275862,False,0.45651455026455023
M000042,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,7,0.3972060537268849,0.2001932624266691,1,0.3793103448275862,False,0.34058090828924165
M000043,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,8,0.34035684221905926,0.23443979920298907,1,0.3793103448275862,False,0.2041170634920635
M000044,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,9,0.330101979771651,0.23811561445193705,1,0.3793103448275862,False,0.18372464726631393
M000045,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,complete,10,0.31525268819445573,0.24512670409702397,1,0.27586206896551724,False,0.1545138888888889
M000046,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,2,0.7330440346946415,0.5669135123972023,3,0.896551724137931,True,0.9583057760141094
M000047,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,3,0.6222610163666225,0.2234256712879151,3,0.7586206896551724,True,0.7498070987654321
M000048,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,4,0.6036676562595105,0.24883270767162574,1,0.7586206896551724,False,0.748070987654321
M000049,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,5,0.4864076840670201,0.15270327133528772,1,0.3793103448275862,False,0.5190696649029982
M000050,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,6,0.44480843358946276,0.16595668550657644,1,0.3793103448275862,False,0.45651455026455023
M000051,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,7,0.3879592220816371,0.16595668550657644,1,0.3793103448275862,False,0.28968253968253965
M000052,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,8,0.35415185436698615,0.16595668550657644,1,0.3793103448275862,False,0.1929563492063492
M000053,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,9,0.3433842997111575,0.16595668550657644,1,0.3793103448275862,False,0.16782407407407407
M000054,coverage100_y0_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.05,weighted,10,0.3193344251158224,0.23811561445193705,1,0.3793103448275862,False,0.16165123456790123
M000055,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,2,0.734331703991142,0.553501061358316,3,0.896551724137931,True,0.9565696649029982
M000056,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,3,0.6274633652765111,0.20805856395839348,3,0.7586206896551724,True,0.7486772486772487
M000057,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,4,0.6046680712675991,0.2209403003707647,1,0.7586206896551724,False,0.7304067460317459
M000058,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,5,0.48081798925585617,0.2209403003707647,1,0.7586206896551724,False,0.5565476190476191
M000059,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,6,0.42747720193195105,0.15881639469138636,1,0.3793103448275862,False,0.3976245590828924
M000060,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,7,0.36593819329314486,0.15881639469138636,1,0.3793103448275862,False,0.21409281305114639
M000061,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,8,0.35853332031959684,0.15881639469138636,1,0.3793103448275862,False,0.19309413580246915
M000062,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,9,0.34340276824169264,0.15881639469138636,1,0.3793103448275862,False,0.1570491622574956
M000063,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,average,10,0.3179461240014528,0.22073278267984492,1,0.3793103448275862,False,0.1435460758377425
M000064,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,2,0.734331703991142,0.553501061358316,3,0.896551724137931,True,0.9565696649029982
M000065,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,3,0.6239514504897139,0.18356959030855724,3,0.7241379310344828,True,0.7283675044091711
M000066,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,4,0.5463171210051014,0.24774148356453504,2,0.7241379310344828,False,0.6888778659611994
M000067,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,5,0.4725033779733035,0.11628394485491368,2,0.3793103448275862,False,0.47762345679012347
M000068,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,6,0.4736189448178884,0.1852471446574143,1,0.3793103448275862,False,0.5213018077601411
M000069,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,7,0.4120799361790822,0.22073278267984492,1,0.3793103448275862,False,0.39462081128747795
M000070,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,8,0.36507859326319336,0.22682592542239,1,0.3448275862068966,False,0.26193231922398585
M000071,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,9,0.3576737202896454,0.22942188490907417,1,0.3448275862068966,False,0.24231150793650794
M000072,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,complete,10,0.3360223036195987,0.24748931159822019,1,0.27586206896551724,False,0.20345568783068785
M000073,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,2,0.734331703991142,0.553501061358316,3,0.896551724137931,True,0.9565696649029982
M000074,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,3,0.6274633652765111,0.20805856395839348,3,0.7586206896551724,True,0.7486772486772487
M000075,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,4,0.6046680712675991,0.2209403003707647,1,0.7586206896551724,False,0.7304067460317459
M000076,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,5,0.4904298902220556,0.14804793319536702,1,0.3793103448275862,False,0.5209160052910053
M000077,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,6,0.42747720193195105,0.15881639469138636,1,0.3793103448275862,False,0.3976245590828924
M000078,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,7,0.36593819329314486,0.15881639469138636,1,0.3793103448275862,False,0.21409281305114639
M000079,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,8,0.35853332031959684,0.15881639469138636,1,0.3793103448275862,False,0.19309413580246915
M000080,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,9,0.34340276824169264,0.15881639469138636,1,0.3793103448275862,False,0.1570491622574956
M000081,coverage100_y0_classic_l0_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.1,weighted,10,0.3179461240014528,0.22073278267984492,1,0.3793103448275862,False,0.1435460758377425
M000082,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,2,0.7342244805015942,0.5533979298620552,3,0.896551724137931,True,0.9559082892416225
M000083,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,3,0.6182737334208603,0.28554258306306046,3,0.7931034482758621,True,0.7810570987654321
M000084,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,4,0.578786485644322,0.28554258306306046,1,0.7931034482758621,False,0.7466655643738977
M000085,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,5,0.486982805109811,0.19959524053701697,1,0.6896551724137931,False,0.5581183862433862
M000086,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,6,0.4296903994772613,0.19959524053701697,1,0.6896551724137931,False,0.43675595238095244
M000087,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,7,0.4163898191650446,0.20483247792758996,1,0.3793103448275862,False,0.3971560846560847
M000088,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,8,0.37675980025355515,0.20483247792758996,1,0.3793103448275862,False,0.28125
M000089,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,9,0.363384650063294,0.20483247792758996,1,0.3793103448275862,False,0.2443783068783069
M000090,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,average,10,0.33145166731110864,0.21263877041385326,1,0.3793103448275862,False,0.16878858024691357
M000091,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,2,0.7342244805015942,0.5533979298620552,3,0.896551724137931,True,0.9559082892416225
M000092,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,3,0.630374957372842,0.1779729114315228,3,0.7241379310344828,True,0.7339891975308642
M000093,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,4,0.5503896494899824,0.2352723402585816,2,0.7241379310344828,False,0.6847442680776014
M000094,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,5,0.4826171609724353,0.11612846516902428,2,0.3793103448275862,False,0.49674823633156967
M000095,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,6,0.4823457267786359,0.17949199750778008,1,0.3793103448275862,False,0.53519069664903
M000096,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,7,0.4250533211460862,0.21263877041385326,1,0.3793103448275862,False,0.433669532627866
M000097,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,8,0.3796268322458851,0.23211690639716742,1,0.3448275862068966,False,0.3058035714285714
M000098,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,9,0.354381958365678,0.24260854064319518,1,0.27586206896551724,False,0.24616953262786595
M000099,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,complete,10,0.3259897469756227,0.2435323671131419,1,0.27586206896551724,False,0.17865410052910052
M000100,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,2,0.7342244805015942,0.5533979298620552,3,0.896551724137931,True,0.9559082892416225
M000101,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,3,0.6340474472453985,0.19559410773578872,3,0.7586206896551724,True,0.7496417548500882
M000102,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,4,0.6090523920635957,0.2048495156820209,1,0.7586206896551724,False,0.7239858906525574
M000103,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,5,0.5003376153289476,0.1460465736042656,1,0.3793103448275862,False,0.5423831569664903
M000104,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,6,0.4382338341114678,0.15850144769727662,1,0.3793103448275862,False,0.42300485008818345
M000105,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,7,0.38094142847891815,0.15850144769727662,1,0.3793103448275862,False,0.2523699294532628
M000106,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,8,0.3643779875792724,0.15850144769727662,1,0.3793103448275862,False,0.20706569664902996
M000107,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,9,0.35100283738901134,0.15850144769727662,1,0.3793103448275862,False,0.17035934744268078
M000108,coverage100_y0_classic_l0_r0.15,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.15,weighted,10,0.3197248100868554,0.20541752564384583,1,0.3793103448275862,False,0.13971560846560846
M000109,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,2,0.7310205055790643,0.53784469848231,3,0.896551724137931,True,0.9414131393298061
M000110,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,3,0.6232952814315528,0.27883413148080566,3,0.7931034482758621,True,0.7891589506172839
M000111,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,4,0.5838981454604049,0.27883413148080566,1,0.7931034482758621,False,0.7496417548500882
M000112,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,5,0.4895023748125546,0.20710076730709293,1,0.6896551724137931,False,0.5686728395061728
M000113,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,6,0.47795920448349577,0.19483683742008945,1,0.3793103448275862,False,0.5345568783068784
M000114,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,7,0.41494533615005397,0.19483683742008945,1,0.3793103448275862,False,0.3852513227513228
M000115,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,8,0.37585248412621847,0.19483683742008945,1,0.3793103448275862,False,0.2719907407407407
M000116,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,9,0.36598672004575294,0.19483683742008945,1,0.3793103448275862,False,0.2445436507936508
M000117,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,average,10,0.3288106528230489,0.19851083434228933,1,0.3793103448275862,False,0.15222663139329806
M000118,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,2,0.7310205055790643,0.53784469848231,3,0.896551724137931,True,0.9414131393298061
M000119,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,3,0.4176316781090053,0.05547517237093006,3,0.5172413793103449,True,0.337880291005291
M000120,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,4,0.45731622215477474,0.07824282544126629,2,0.4482758620689655,False,0.44235008818342153
M000121,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,5,0.4807628338345503,0.0991977883475564,1,0.41379310344827586,False,0.48801256613756616
M000122,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,6,0.4516403252282923,0.15096786110497729,1,0.3793103448275862,False,0.4446924603174603
M000123,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,7,0.4037083296912508,0.17012852951046667,1,0.3793103448275862,False,0.3428681657848325
M000124,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,8,0.39117551135277795,0.17474905946218683,1,0.27586206896551724,False,0.3070160934744268
M000125,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,9,0.3281616430193362,0.19832036064253267,1,0.27586206896551724,False,0.15148258377425045
M000126,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,complete,10,0.31258886368772826,0.2132479578769128,1,0.27586206896551724,False,0.12646053791887124
M000127,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,weighted,2,0.7310205055790643,0.53784469848231,3,0.896551724137931,True,0.9414131393298061
M000128,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,weighted,3,0.4176316781090053,0.05547517237093006,3,0.5172413793103449,True,0.337880291005291
M000129,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,weighted,4,0.38089824159318547,0.05547517237093006,1,0.4827586206896552,False,0.2294973544973545
M000130,coverage100_y0_classic_l0_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.2,weighted,5,0.4807628338345503,0.0991977883475564,1,0.41379310344827586,False,0.48801256613756616
