sample_index,cluster_neuron_id,cluster_x,cluster_y,cluster_coord,PCE_before,PCE_after,PCE_delta
442,1,0,1,"(0, 1)",19.92154292,14.94104614,25.00055745
443,0,0,0,"(0, 0)",20.29931696,14.31261975,29.49211157
444,1,0,1,"(0, 1)",20.68779271,14.90132585,27.970441
445,0,0,0,"(0, 0)",21.49248834,14.84434018,30.93242651
446,0,0,0,"(0, 0)",20.76833502,13.58466352,34.58953974
447,1,0,1,"(0, 1)",18.0630149,13.61542504,24.62263295
448,1,0,1,"(0, 1)",17.68217529,13.00913937,26.42794703
449,0,0,0,"(0, 0)",19.97042907,14.00626848,29.86495968
450,0,0,0,"(0, 0)",18.65279707,13.2152587,29.15132972
451,0,0,0,"(0, 0)",19.97039207,14.40274984,27.87948385
452,0,0,0,"(0, 0)",20.18654356,13.81020704,31.5870644
453,1,0,1,"(0, 1)",19.52171742,14.42140277,26.12636244
454,0,0,0,"(0, 0)",21.55081517,14.22711431,33.9834053
455,0,0,0,"(0, 0)",22.13050937,14.17890098,35.93052583
456,3,1,1,"(1, 1)",21.30630135,8.835328961,58.5318502
457,3,1,1,"(1, 1)",18.38901087,8.292314567,54.90614137
458,0,0,0,"(0, 0)",19.67520805,9.605713755,51.17859121
459,0,0,0,"(0, 0)",17.51973263,9.55151569,45.48138438
460,3,1,1,"(1, 1)",22.07788108,10.68785127,51.59023082
461,3,1,1,"(1, 1)",21.14246375,9.890749483,53.21855769
462,1,0,1,"(0, 1)",18.57263664,14.12285419,23.95880853
463,1,0,1,"(0, 1)",16.11309617,13.4621442,16.45215758
464,0,0,0,"(0, 0)",20.09431727,14.00074062,30.32487526
