sample_index,cluster_neuron_id,cluster_x,cluster_y,cluster_coord,PCE_before,PCE_after,PCE_delta
130,1,0,1,"(0, 1)",14.58675102,14.44746054,0.954910915
131,1,0,1,"(0, 1)",14.8564127,14.49630364,2.423930096
132,1,0,1,"(0, 1)",15.35428804,14.86894711,3.160947136
133,1,0,1,"(0, 1)",14.85927717,14.41436151,2.994194471
134,1,0,1,"(0, 1)",14.37344958,14.028625,2.399038453
135,1,0,1,"(0, 1)",14.79532536,13.74507199,7.098548654
136,1,0,1,"(0, 1)",14.69215921,13.63555719,7.191604772
137,1,0,1,"(0, 1)",14.64536995,13.94518455,4.780933525
138,1,0,1,"(0, 1)",14.44460327,13.38895016,7.30828736
139,1,0,1,"(0, 1)",12.14532893,11.53270382,5.044121188
140,1,0,1,"(0, 1)",15.04997534,14.00114341,6.968994311
141,1,0,1,"(0, 1)",16.60975281,15.71116699,5.40998912
142,1,0,1,"(0, 1)",13.62123874,10.86764224,20.21546316
143,1,0,1,"(0, 1)",14.27949899,12.94605519,9.3381693
144,0,0,0,"(0, 0)",17.76161519,11.64459235,34.43956408
145,1,0,1,"(0, 1)",13.02446094,12.83480835,1.456126238
146,1,0,1,"(0, 1)",11.41749858,10.01473628,12.28607377
147,1,0,1,"(0, 1)",11.8620877,10.96184038,7.589282241
148,1,0,1,"(0, 1)",14.65930702,13.48369393,8.019568017
149,1,0,1,"(0, 1)",12.61599419,12.20169347,3.283932425
150,1,0,1,"(0, 1)",11.93098999,11.63353443,2.493133907
151,1,0,1,"(0, 1)",17.04395349,15.75382147,7.569441113
152,1,0,1,"(0, 1)",9.065615608,8.839065361,2.499005656
153,1,0,1,"(0, 1)",8.536321725,7.73633718,9.371536957
154,1,0,1,"(0, 1)",9.234833796,8.305546473,10.06284838
155,1,0,1,"(0, 1)",8.25191308,8.01373886,2.886290945
156,1,0,1,"(0, 1)",9.654678635,8.882691077,7.995994346
157,1,0,1,"(0, 1)",10.1932143,9.59600263,5.858914131
158,1,0,1,"(0, 1)",11.91510996,9.788150027,17.85094672
159,1,0,1,"(0, 1)",9.62233628,9.053930215,5.907152366
160,1,0,1,"(0, 1)",10.46848812,9.75355193,6.829412069
161,1,0,1,"(0, 1)",13.02691293,11.70189609,10.17138021
