dataset,n_nodes,topology,seed,quantisation_error,topographic_error,n_empty_nodes,min_cluster_size,max_cluster_size
paper_aligned_min4,16,4x4,7,0.6943692747325902,0.22857142857142856,0,3,377
paper_aligned_min4,16,4x4,21,0.6942598583090469,0.3226890756302521,0,3,377
paper_aligned_min4,16,4x4,42,0.6986980447155481,0.16414565826330532,0,4,348
paper_aligned_min4,16,4x4,84,0.6978013793107669,0.3949579831932773,0,3,327
paper_aligned_min4,16,4x4,168,0.6978302025010081,0.36918767507002803,0,3,327
