curve_id,included,exclusion_reason,source_file,relative_source,validation_file,doi,record_id,legend,x_axis_name,x_axis_unit,y_axis_name,y_axis_unit,time_factor_to_hours,time_factor_source,n_original_points,duration_hours,raw_min,raw_max,normalizer,smoothing_applied,shape_cluster
Ce07fd3b7ae,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta03164a/Fig7_A_stability_performance_curve_pce/accepted/10.1039_c6ta03164a__Fig7__A__stability_performance_curve_pce__LN-P3HT__Series_2.csv,x_time_day/10.1039_c6ta03164a/Fig7_A_stability_performance_curve_pce/accepted/10.1039_c6ta03164a__Fig7__A__stability_performance_curve_pce__LN-P3HT__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta03164a/Fig7_A_stability_performance_curve_pce/validation_result.json,10.1039/c6ta03164a,10.1039_c6ta03164a__Fig7__A__stability_performance_curve_pce,LN-P3HT,time,(d),PCE,(%),24.0,folder_fallback:x_time_day,47,713.1001393451326,11.524736117670002,13.140453210670158,13.140453210670158,False,0
Cae24f8199d,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta03164a/Fig7_A_stability_performance_curve_pce/accepted/10.1039_c6ta03164a__Fig7__A__stability_performance_curve_pce__LP-P3HT__Series_1.csv,x_time_day/10.1039_c6ta03164a/Fig7_A_stability_performance_curve_pce/accepted/10.1039_c6ta03164a__Fig7__A__stability_performance_curve_pce__LP-P3HT__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta03164a/Fig7_A_stability_performance_curve_pce/validation_result.json,10.1039/c6ta03164a,10.1039_c6ta03164a__Fig7__A__stability_performance_curve_pce,LP-P3HT,time,(d),PCE,(%),24.0,folder_fallback:x_time_day,47,713.1001393451326,7.842404138274301,10.923539059809482,10.923539059809482,False,0
Cc8cc061f22,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta09174a/Fig4_B_stability_performance_curve_pce/accepted/10.1039_c6ta09174a__Fig4__B__stability_performance_curve_pce__b__Series_2.csv,x_time_day/10.1039_c6ta09174a/Fig4_B_stability_performance_curve_pce/accepted/10.1039_c6ta09174a__Fig4__B__stability_performance_curve_pce__b__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta09174a/Fig4_B_stability_performance_curve_pce/validation_result.json,10.1039/c6ta09174a,10.1039_c6ta09174a__Fig4__B__stability_performance_curve_pce,b,Time,days,Normalized PCE,,24.0,axis_metadata:day,68,726.9889256132356,0.2613204922718487,1.010689468759395,1.010689468759395,False,0
C74a33941c4,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta09687e/Fig1_C_jv_curve_stability_performance_ff/accepted/10.1039_c6ta09687e__Fig1__C__jv_curve_stability_performance_ff__FAPbI3__Series_1.csv,x_time_day/10.1039_c6ta09687e/Fig1_C_jv_curve_stability_performance_ff/accepted/10.1039_c6ta09687e__Fig1__C__jv_curve_stability_performance_ff__FAPbI3__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c6ta09687e/Fig1_C_jv_curve_stability_performance_ff/validation_result.json,10.1039/c6ta09687e,10.1039_c6ta09687e__Fig1__C__jv_curve_stability_performance_ff,FAPbI3,Time,Days,Normalized PCE,,24.0,axis_metadata:day,42,729.5781116286173,0.202765019863139,0.9983247245487318,0.9983247245487318,False,0
C4b6a3148c1,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7nr03963h/Fig5_whole_figure/accepted/10.1039_c7nr03963h__Fig5__whole__figure__PEDOT__Series_2.csv,x_time_day/10.1039_c7nr03963h/Fig5_whole_figure/accepted/10.1039_c7nr03963h__Fig5__whole__figure__PEDOT__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7nr03963h/Fig5_whole_figure/validation_result.json,10.1039/c7nr03963h,10.1039_c7nr03963h__Fig5__whole__figure,PEDOT,Time,(days),PCE,(%),24.0,axis_metadata:day,77,716.5976455209361,3.962405983957552,11.722137935150243,11.722137935150243,False,2
C9582860685,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7nr06812c/Fig8_A_stability_performance_curve_pce/accepted/10.1039_c7nr06812c__Fig8__A__stability_performance_curve_pce__ZnO_Device__Series_1.csv,x_time_day/10.1039_c7nr06812c/Fig8_A_stability_performance_curve_pce/accepted/10.1039_c7nr06812c__Fig8__A__stability_performance_curve_pce__ZnO_Device__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7nr06812c/Fig8_A_stability_performance_curve_pce/validation_result.json,10.1039/c7nr06812c,10.1039_c7nr06812c__Fig8__A__stability_performance_curve_pce,ZnO Device,No of Days,,Normalized PCE,,24.0,axis_metadata:day,60,703.4223850009428,0.82353190053437,1.0022268534617746,1.0022268534617746,False,0
Cee146f65f5,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7nr07753j/Fig5_whole_stability/accepted/10.1039_c7nr07753j__Fig5__whole__stability__Conventional_device__Series_2.csv,x_time_day/10.1039_c7nr07753j/Fig5_whole_stability/accepted/10.1039_c7nr07753j__Fig5__whole__stability__Conventional_device__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7nr07753j/Fig5_whole_stability/validation_result.json,10.1039/c7nr07753j,10.1039_c7nr07753j__Fig5__whole__stability,Conventional device,Time,(days),Normalized PCE,,24.0,axis_metadata:day,43,1421.4073030061174,0.257430040043256,0.9996444935608864,0.9996444935608864,False,2
C2135281147,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7se00036g/Fig5_C_stability_performance_curve_pce/accepted/10.1039_c7se00036g__Fig5__C__stability_performance_curve_pce__Conventional_dripping__Series_2.csv,x_time_day/10.1039_c7se00036g/Fig5_C_stability_performance_curve_pce/accepted/10.1039_c7se00036g__Fig5__C__stability_performance_curve_pce__Conventional_dripping__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7se00036g/Fig5_C_stability_performance_curve_pce/validation_result.json,10.1039/c7se00036g,10.1039_c7se00036g__Fig5__C__stability_performance_curve_pce,Conventional dripping,Time,(days),PCE,(%),24.0,axis_metadata:day,132,1419.950047127351,15.36785756110256,18.92184332633852,18.92184332633852,False,0
C2961179848,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7se00080d/Fig8_D_stability_performance_curve/accepted/10.1039_c7se00080d__Fig8__D__stability_performance_curve__PSC_based_on_C-Pbl2__Series_2.csv,x_time_day/10.1039_c7se00080d/Fig8_D_stability_performance_curve/accepted/10.1039_c7se00080d__Fig8__D__stability_performance_curve__PSC_based_on_C-Pbl2__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7se00080d/Fig8_D_stability_performance_curve/validation_result.json,10.1039/c7se00080d,10.1039_c7se00080d__Fig8__D__stability_performance_curve,PSC based on C-Pbl2,Days,,Normalized PCE,,24.0,axis_metadata:day,52,1444.4554894367393,0.4021716106045896,1.0047588241895642,1.0047588241895642,False,0
C23819afae5,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7ta00894e/Fig6_G_stability_performance_curve_pce/accepted/10.1039_c7ta00894e__Fig6__G__stability_performance_curve_pce__CH3NH3PbI3__Series_1.csv,x_time_day/10.1039_c7ta00894e/Fig6_G_stability_performance_curve_pce/accepted/10.1039_c7ta00894e__Fig6__G__stability_performance_curve_pce__CH3NH3PbI3__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7ta00894e/Fig6_G_stability_performance_curve_pce/validation_result.json,10.1039/c7ta00894e,10.1039_c7ta00894e__Fig6__G__stability_performance_curve_pce,CH3NH3PbI3,Time,day,Normalized PCE,,24.0,axis_metadata:day,43,692.4758881771213,0.5501304593111579,0.9994182060366822,0.9994182060366822,False,0
C6f6a8eb939,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7ta00894e/Fig6_H_stability_performance_curve_pce/accepted/10.1039_c7ta00894e__Fig6__H__stability_performance_curve_pce__CH3NH3PbI3__Series_2.csv,x_time_day/10.1039_c7ta00894e/Fig6_H_stability_performance_curve_pce/accepted/10.1039_c7ta00894e__Fig6__H__stability_performance_curve_pce__CH3NH3PbI3__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7ta00894e/Fig6_H_stability_performance_curve_pce/validation_result.json,10.1039/c7ta00894e,10.1039_c7ta00894e__Fig6__H__stability_performance_curve_pce,CH3NH3PbI3,Time (day),day,Normalized PCE,,24.0,axis_metadata:day,43,690.6836826007032,0.1342479339389807,0.999539570768422,0.999539570768422,False,0
Cdc60dc2c56,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7ta08947c/Fig6_F_stability_performance_curve/accepted/10.1039_c7ta08947c__Fig6__F__stability_performance_curve__unsealed_cell_from_3MAI_PbAc2._2.8H2O_by_CP__Series_3.csv,x_time_day/10.1039_c7ta08947c/Fig6_F_stability_performance_curve/accepted/10.1039_c7ta08947c__Fig6__F__stability_performance_curve__unsealed_cell_from_3MAI_PbAc2._2.8H2O_by_CP__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c7ta08947c/Fig6_F_stability_performance_curve/validation_result.json,10.1039/c7ta08947c,10.1039_c7ta08947c__Fig6__F__stability_performance_curve,unsealed cell from 3MAI:PbAc2. 2.8H2O by CP,Time,(day),PCE,(%),24.0,axis_metadata:day,15,718.8187469195357,0.5449680064535478,11.384000650831023,11.384000650831023,False,0
C207016ae1d,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8ee02542h/Fig2_H_stability_performance_curve/accepted/10.1039_c8ee02542h__Fig2__H__stability_performance_curve__Control_FA__Series_1.csv,x_time_day/10.1039_c8ee02542h/Fig2_H_stability_performance_curve/accepted/10.1039_c8ee02542h__Fig2__H__stability_performance_curve__Control_FA__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8ee02542h/Fig2_H_stability_performance_curve/validation_result.json,10.1039/c8ee02542h,10.1039_c8ee02542h__Fig2__H__stability_performance_curve,Control FA,Time,days,Normalized PCE,,24.0,axis_metadata:day,44,1428.370258890247,0.2250910293569579,0.9955428133388902,0.9955428133388902,False,2
C7bc6d07c93,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8ee02542h/Fig2_H_stability_performance_curve/accepted/10.1039_c8ee02542h__Fig2__H__stability_performance_curve__IDTBR-FABABr__Series_2.csv,x_time_day/10.1039_c8ee02542h/Fig2_H_stability_performance_curve/accepted/10.1039_c8ee02542h__Fig2__H__stability_performance_curve__IDTBR-FABABr__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8ee02542h/Fig2_H_stability_performance_curve/validation_result.json,10.1039/c8ee02542h,10.1039_c8ee02542h__Fig2__H__stability_performance_curve,IDTBR-FABABr,Time,days,Normalized PCE,,24.0,axis_metadata:day,44,1428.370258890247,0.8819505631364258,1.0054204003130176,1.0054204003130176,False,2
C8d0492ec15,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8nj06146g/Fig6_A_stability_performance_curve_pce/accepted/10.1039_c8nj06146g__Fig6__A__stability_performance_curve_pce__Pure_PCBM__Series_2.csv,x_time_day/10.1039_c8nj06146g/Fig6_A_stability_performance_curve_pce/accepted/10.1039_c8nj06146g__Fig6__A__stability_performance_curve_pce__Pure_PCBM__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8nj06146g/Fig6_A_stability_performance_curve_pce/validation_result.json,10.1039/c8nj06146g,10.1039_c8nj06146g__Fig6__A__stability_performance_curve_pce,Pure PCBM,Time,days,PCE/initial PCE,,24.0,axis_metadata:day,34,504.11463626205415,0.2129229337882796,0.9963015609459188,0.9963015609459188,False,0
