quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_overlap_ratio,cluster_sizes,setting,source,k,layout,sigma,learning_rate,random_order,seed,iterations
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,830;42;296;34,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,0,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,830;296;42;34,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,11,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,34;42;296;830,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,23,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,42;830;34;296,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,42,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,830;42;296;34,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,77,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,34;296;42;830,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,101,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,34;296;42;830,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,131,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,34;296;42;830,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,173,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,34;296;42;830,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,211,50000
5.2854797525276584,0.23613782053746346,0.0,0.37626075447543905,4,0,34,0.028286189683860232,0.1844510110312735,0.3537995526211844,1.9181220565892148,42;34;830;296,paper_lr_sensitivity,paper,4,2x2,0.5,0.3,False,257,50000
