ifo_candidate,rank,score,curve_id,source_file,legend
Slope,6,0.9662221298258401,Cc1718fee99,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsenergylett.1c01817/Fig5_D_stability_performance_curve/accepted/10.1021_acsenergylett.1c01817__Fig5__D__stability_performance_curve__Ref__Series_2.csv,Ref
Slope,7,0.9632252510932553,C70855035f9,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_d0ta06646j/Fig4_G_stability_performance_curve_pce/accepted/10.1039_d0ta06646j__Fig4__G__stability_performance_curve_pce__Uncoated__Series_3.csv,Uncoated
Slope,8,0.9616868753432227,C972f1ab756,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1.csv,MAPI
Valley,1,0.5914762948249126,C3121ff636c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_aenm.201803047/Fig6_A_stability_performance_curve_pce_ff/accepted/10.1002_aenm.201803047__Fig6__A__stability_performance_curve_pce_ff__RUS-D__Series_1.csv,RUS-D
Valley,2,0.27580398445828314,C0838f9450c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.202001350/Fig8_B_jv_curve_stability_performance_pce/accepted/10.1002_cssc.202001350__Fig8__B__jv_curve_stability_performance_pce__spiro-OMeTAD__Series_1.csv,spiro-OMeTAD
Valley,3,0.147543421680967,C258cca97f1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.jpcc.8b09722/Fig2_B_stability_performance_curve/accepted/10.1021_acs.jpcc.8b09722__Fig2__B__stability_performance_curve__Pristine_MAPbI₃__Series_2.csv,Pristine MAPbI₃
Valley,4,0.12439565648613143,C6e485d056c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.7498_aps.71.20211344/Fig13_B_image/accepted/10.7498_aps.71.20211344__Fig13__B__image__w_oPEABr__Series_1.csv,w/oPEABr
Valley,5,0.09922382697997591,C665f9281df,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c8qm00620b/Fig3_D_stability_performance_curve/accepted/10.1039_c8qm00620b__Fig3__D__stability_performance_curve__ZnO_SnO₂_C₆₀-SAM__Series_3.csv,ZnO/SnO₂/C₆₀-SAM
Valley,6,0.09238650046132159,C2bda31b0de,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.8b04003/Fig7_B_stability_performance_curve_retention/accepted/10.1021_acsami.8b04003__Fig7__B__stability_performance_curve_retention__YN1__Series_2.csv,YN1
Valley,7,0.06866950656110708,Ce19ea8279c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_aenm.202001869/Fig8_C_stability_performance_curve/accepted/10.1002_aenm.202001869__Fig8__C__stability_performance_curve__ITO_SnO₂_SAM_FAPbI₃_PDCBT_Ta-WOₓ_Ag__Series_3.csv,ITO/SnO₂/SAM/FAPbI₃/PDCBT/Ta-WOₓ/Ag
Valley,8,0.05536845806435059,Cc548cf1d93,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_jacs.1c12732/Fig6_A_stability_performance_curve/accepted/10.1021_jacs.1c12732__Fig6__A__stability_performance_curve__FP-C8_C60__Series_2.csv,FP-C8/C60
