sample,curve_id,csv_path,window_hours,included,reason,duration_hours,first_global_max_time_hours,raw_points,x_name,x_unit,y_name,y_unit,mapping_count,normalized_min_before_smoothing,normalized_max_before_smoothing,smoothed_min,smoothed_max
图片102,图片102_ad8854cfa8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,150,True,included,212.8458103891486,7.339510703074097,30,Time,(h),Normalized PCE,,2,0.3037060236084257,1.0,0.3047505881901198,1.0005019286050352
图片102,图片102_0574c0aefb,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,150,True,included,212.8458103891486,51.376574921518625,30,Time,(h),Normalized PCE,,2,0.8649430376661587,1.0,0.8649761870989328,0.9998970591407037
图片103,图片103_b49966b933,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,150,True,included,1001.8731109582542,0.0,63,Time,(h),Normalized PCE,,2,0.9153515053786059,1.0,0.9154039524608036,1.0001266535803564
图片103,图片103_e647eaafac,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,150,True,included,1001.8731109582542,0.0,65,Time,(h),Normalized PCE,,2,0.9607843090376389,1.0,0.9607843131559041,1.0
图片105,图片105_a0f739dd1e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,150,True,included,506.5121446857133,38.96247266813177,27,Time,(h),Normalized PCE,,0,0.885406637032078,1.0,0.8853346609565402,0.9998604633273783
图片105,图片105_dccad548c1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,150,True,included,1071.4679983736244,97.40618167032949,56,Time,(h),Normalized PCE,,0,0.910288633773915,1.0,0.9101133400956052,0.9999999999999601
图片107,图片107_bce0588e91,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,150,True,included,1309.7213885782332,0.0,33,Time,(h),PCE,(norm.),0,0.7810430473459892,1.0,0.7810408061224902,1.0000050427528713
图片107,图片107_b88bf7baa8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,150,True,included,1309.7213885782335,0.0,33,Time,(h),PCE,(norm.),0,0.8066218127617746,1.0,0.8066269350403218,0.9999975349034493
图片11,图片11_01619c25b4,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,150,True,included,276.2322110649467,0.0,50,Time,(h),Normalized PCE,,0,0.9030665531790226,1.0,0.903105474491692,1.0000061937045561
图片11,图片11_2a734d333e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,150,True,included,276.2322110649467,0.0,50,Time,(h),Normalized PCE,,0,0.7574767969575066,1.0,0.7574767969575059,0.9999121729425651
图片113,图片113_79585e07d2,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,150,True,included,995.8466823611939,0.0,53,Time (h),h,Normalized PCE,,0,0.9847602125996852,1.0,0.9847146727027851,1.0000000000000002
图片113,图片113_c533222a3c,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,150,True,included,975.5232806803532,0.0,49,Time (h),h,Normalized PCE,,0,0.9161533947589794,1.0,0.9161782316944035,0.9999999999999998
图片114,图片114_ee5e59416d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,150,True,included,605.7960715706885,0.0,52,Time,hr,Normalized PCE,,0,0.6154305607690432,1.0,0.6154305607690432,0.9999999999999998
图片114,图片114_9e06e27c24,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,150,True,included,985.9034105954341,0.0,84,Time,hr,Normalized PCE,,0,0.9876825030395097,1.0,0.9876110895133917,1.0000714195272868
图片115,图片115_8c30182729,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,150,True,included,1288.4877248605121,0.0,30,Time,(h),PCE,(norm.),0,0.7818239937029176,1.0,0.7818190107551642,1.000006237159092
