curve_id,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps
10.1002_adem.202000990_Fig5_C_jv_curve_stability_performance_pce_1774ba3470,150,0.11015891709528658,0.9998190797468219,0.8906685607362416,-0.10915051901058037,-0.9908459695202527,9.93381578460184e-05,0.0009017713723537396,0.10924985716842639,0.9917477408926064,0.07010365188936452,0.6363865380841155,0.0700043137315185,0.6354847667117618,0.0,0.0,0.039146205279061874,0.35536120280849093,0.02,0.6,0.6,0.6,-0.03800680941186684,-0.0942893999552265,0.94
10.1002_adfm.201600746_Fig6_A_stability_performance_curve_pce_887657c959,150,0.8618343501876118,0.9953386022223866,0.1447347173388156,-0.850603884883571,-0.9869691138423572,0.004983659319816591,0.005782618572503758,0.8555875442033876,0.9927517324148609,0.44754170608445076,0.5192897057155194,0.44255804676463417,0.5135070871430156,0.0,0.0,0.4080458381189368,0.4734620266993416,0.0,0.6,0.6,0.6,-0.6695207230177626,-0.988505008834498,1.0
10.1002_adfm.201601119_Fig5_B_stability_performance_curve_88f89bfa55,150,0.21016427059239084,0.9988598431725574,0.791597881152785,-0.20726196201977243,-0.9861902855112448,0.0011429265525363386,0.005438253368732787,0.20840488857230877,0.9916285388799776,0.11059869797419974,0.5262488131900573,0.1094557714216634,0.5208105598213245,0.0,0.0,0.09780619059810902,0.46537972568992025,0.0,0.6,0.6,0.6,-0.14424454376520549,-0.25058746968754597,1.0
10.1002_adfm.201605988_Fig7_D_stability_performance_curve_pce_881b873df6,150,0.1484692055664082,0.9991706469612297,0.8527849056336283,-0.1463857413276014,-0.9859670277694395,0.0008081402242330338,0.005443150457699216,0.14719388155183444,0.9914101782271387,0.08453412162301732,0.5693714147692829,0.08372598139878429,0.5639282643115837,0.0,0.0,0.06265975992881712,0.4220387634578558,0.0,0.6,0.6,0.6,-0.10731223285503397,-0.16217142368335652,1.0
10.1002_adfm.201702090_Fig4_B_mppt_stability_performance_curve_2cb12647d4,150,0.24946975199523402,0.99932148220832,0.7520268828130625,-0.24729459939525744,-0.991280896451053,0.0006785177916807106,0.0027198399254979547,0.24797311718693815,0.994000736376551,0.1677750027852576,0.6725264343408769,0.16709648499357688,0.6698065944153789,0.0,0.0,0.08019811440168056,0.32147430203567406,0.0,0.6,0.6,0.6,-0.20740701161017674,-0.19078099050755032,1.0
10.1002_adfm.201705363_Fig4_C_stability_performance_curve_pce_6cf442188c,150,0.4879062752998704,0.9960202428590902,0.5161543228036463,-0.47986592005544393,-0.9835206972087317,0.0038694762972425467,0.007930777883240672,0.4837353963526865,0.9914514750919724,0.25763226730575084,0.5280363880284351,0.2537627910085083,0.5201056101451944,0.0,0.0,0.22610312904693564,0.4634150870635373,0.0,0.6,0.6,0.6,-0.607708314359158,-0.5356505173229665,1.0
10.1002_adfm.201705363_Fig4_C_stability_performance_curve_pce_7be844a52b,150,0.26438273029458303,0.9958166710125053,0.735943555467823,-0.2598731155446823,-0.9829428543049087,0.00407427160290208,0.01541050581617947,0.26394738714758437,0.9983533601210881,0.18767338026113933,0.7098549139424807,0.18359910865823725,0.6944444081263013,0.0,0.0,0.07627400688644503,0.28849844617860737,0.0,0.6,0.6,0.6,-0.5831902844240853,-0.1680334983362227,1.0
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_040e5db1fe,150,0.18491750003310592,0.8225096799610226,0.9996508884500729,0.17714120848905024,0.9579472384027283,0.17749032003897802,0.959835169776802,0.00034911154992778304,0.0018879313740737427,0.08775869707447681,0.4745829738059692,0.007427179994127897,0.04016483022319793,0.18491750003310592,1.0,0.00034911154992778304,0.0018879313740737427,1.0,0.23333333333333334,1.0,0.6,-0.04210595988621663,0.15186119489662844,0.23333333333333334
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_831a5dd1be,150,0.07985462125668108,0.922114064650745,0.9998061461845258,0.07769208153378082,0.9729190410164354,0.07788584982417823,0.9753455541893497,0.0001937682903974114,0.002426513172914206,0.0031919379502888257,0.03997186261805444,0.001968771432502847,0.024654445810650297,0.07985462125668108,1.0,0.0001937682903974114,0.002426513172914206,0.7866666666666666,0.0,0.7866666666666666,0.6,0.22937844051520614,0.00045941656762146907,0.13
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_cd989bf404,150,0.0815774963020619,0.9463654903247646,0.9193402501560738,-0.02702524016869079,-0.331283030170757,0.05361840090901859,0.657269508621379,0.08064364107770938,0.988552538792136,0.02614208631126058,0.32045708064467565,0.0010129425440640327,0.01241693591959907,0.054631343453082626,0.6696864445409781,0.08064364107770938,0.988552538792136,0.3566666666666667,0.0,0.3566666666666667,0.6,0.14259124312895524,-0.21842559815337004,0.57
