curve_id,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,final_class,rule_ensemble_stability,strict_topology_match,strict_class,confidence_level,review_recommended
10.1002_adfm.201601119_Fig5_B_stability_performance_curve_88f89bfa55,500,0.3385787312766797,0.9961251897175977,0.6627255058357947,-0.33339968388180297,-0.9847035654739797,0.003877580007496051,0.011452520933240106,0.337277263889299,0.9961560864072199,0.24897527285112064,0.7353541432218997,0.2450976928436246,0.7239016222886597,0.0,0.0,0.08830199103817837,0.2608019431853201,0.0,0.4,0.4,0.4,-0.5442512731388061,-0.12945296193831005,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
10.1002_adfm.201605988_Fig7_D_stability_performance_curve_pce_881b873df6,500,0.29338689338485546,0.9971979702378758,0.7074186025919461,-0.2897793676459297,-0.9877038619642987,0.002780816947586917,0.009478327117834575,0.2925601845935166,0.9971821890821333,0.20053460012865987,0.6835158783511336,0.19775378318107295,0.674037551233299,0.0,0.0,0.09202558446485676,0.3136663107309997,0.0,0.4,0.4,0.4,-0.44543838984889783,-0.12434651066292675,1.0,IFO-Slope,1.0,True,IFO-Slope,high,False
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_040e5db1fe,500,0.1910328864856119,0.8154623302200136,0.9527468712487334,0.1372845410287198,0.7186434940826782,0.1845366997551131,0.9659944062511558,0.04725215872639332,0.24735091216847752,0.0034574085911693864,0.018098499450929825,0.0064961867304987875,0.0340055937488442,0.1910328864856119,1.0,0.04725215872639332,0.24735091216847752,0.36666666666666664,0.07,0.36666666666666664,0.4,-0.030572763222552975,-0.024699634255859318,0.5133333333333333,IFO-Bridge,1.0,True,IFO-Bridge,high,False
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_831a5dd1be,500,0.12852051117780794,0.9266391146034424,0.8717035268096643,-0.05493558779377805,-0.42744607292897197,0.07335935483857192,0.5707988099820064,0.12829494263234997,0.9982448829109783,0.012974600502786204,0.10095353950807015,0.006493821385200271,0.050527509777922364,0.0798531762237722,0.6213263197599288,0.12829494263234997,0.9982448829109783,0.23666666666666666,0.0,0.23666666666666666,0.4,0.6918125174669993,-0.10220275787642998,0.7133333333333334,IFO-Bridge,1.0,True,IFO-Bridge,high,False
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_cd989bf404,500,0.31361345181939926,0.9489336892247571,0.6881138936143549,-0.26081979561040214,-0.8316601028982665,0.051047867631883403,0.16277320802323353,0.31186766324228554,0.9944333109215001,0.1226747549983438,0.3911654754815446,0.07162688736646039,0.22839226745831107,0.0,0.0,0.18919290824394175,0.6032678354399554,0.10666666666666667,0.4,0.4,0.4,0.6024797645743614,-0.23458481295294006,0.87,IFO-Hill,0.49,True,IFO-Hill,low_review,True
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_f25d13db2a,500,0.22907476970090945,0.9070623859685067,0.7721632411393577,-0.134899144829149,-0.5888869603810124,0.09293065927465449,0.4056782831037614,0.2278298041038035,0.9945652434847738,0.04409196733383536,0.19247849683054952,0.0011666796187755901,0.005093007930549753,0.09409733889343008,0.41077129103431115,0.2278298041038035,0.9945652434847738,0.25333333333333335,0.0,0.25333333333333335,0.4,0.15758429961665466,-0.026645678064373342,0.6233333333333333,IFO-Bridge,1.0,True,IFO-Bridge,high,False
10.1002_adfm.201706777_Fig4_D_stability_performance_curve_pce_cc997f5bef,500,0.20761012194517026,0.9963536993147474,0.7935224781276636,-0.20283122118708374,-0.9769813691485205,0.0036566947622885815,0.017613277849980326,0.20648791594937232,0.9945946469985009,0.0993748383747417,0.4786608545077901,0.09571814361245312,0.46104757665780977,0.00037003189669271297,0.0017823403465387793,0.10748310947132333,0.5177161328372495,0.0,0.4,0.43333333333333335,0.4,-0.2804782666003012,-0.12572752694504125,0.9766666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
10.1002_adfm.201706777_Fig4_D_stability_performance_curve_pce_d0e1835a21,500,0.1816653384570529,0.9943133462091089,0.8190556425479426,-0.17525770366116633,-0.964728357922822,0.005693619886277368,0.031341256040559345,0.1809513235474437,0.9960696139633813,0.08276513872656599,0.45559125053529304,0.07707151884028862,0.42424999449473366,0.0,0.0,0.09818618482087771,0.5404783634280883,0.0,0.4,0.4,0.4,-0.5092953234474573,-0.12791522255034793,0.9266666666666666,IFO-Slope,1.0,True,IFO-Slope,high,False
10.1002_adfm.201706923_Fig5_B_stability_performance_curve_pce_3f1f6cf972,500,0.2675104126923199,0.9998291508619376,0.7352474299397814,-0.26458172092215615,-0.9890520457103394,0.000160887392662179,0.0006014247858352543,0.26474260831481833,0.9896534704961747,0.09409513318877216,0.3517438152846661,0.09393424579610998,0.35114239049883084,0.0,0.0,0.17064747512604617,0.6379096552115087,0.0033333333333333335,0.4,0.4,0.4,-0.22036960983369908,-0.33010356215344616,0.9966666666666667,IFO-Slope,1.0,True,IFO-Slope,high,False
10.1002_adfm.201807556_Fig6_A_stability_performance_curve_ff_17a0103a99,500,0.08656888338514124,0.9998257414121167,0.9134491493927323,-0.08637659201938441,-0.9977787473022919,0.00016800927557802936,0.0019407582610320075,0.08654460129496244,0.9997195055633239,0.04938509105376254,0.5704716189309085,0.04921708177818451,0.5685308606698765,0.0,0.0,0.0371595102411999,0.4292478866324155,0.013333333333333334,0.4,0.4,0.4,-0.08236761543769536,-0.01772745041131763,0.7233333333333334,IFO-Slope,1.0,True,IFO-Slope,high,False
