cluster_id,n_curves,fraction,pce_0h_mean,pce_20h_mean,pce_50h_mean,pce_100h_mean,pce_200h_mean,initial_gain_mean,peak_time_h_median,recovery_mean,dominant_rule_shape,dominant_rule_shape_fraction,mean_bmu_distance,median_bmu_distance
0,599,0.4185883997204752,0.9958353346973857,0.9930130952740496,0.9864122516197029,0.9723028174273497,0.9379544460536494,0.004163959873002216,0.0,0.001841370026113825,stable,0.7512520868113522,0.13491381732035776,0.13083554298832945
1,42,0.029350104821802937,0.9025218172887244,0.9375148603111475,0.9667770357894028,0.9827843521280828,0.949668472665452,0.09747408865085061,84.0,0.08988432733981053,initial_gain,0.9761904761904762,0.2912736820912663,0.2602653261710153
2,89,0.06219426974143955,0.9969458928200904,0.9530209648650669,0.8749444869214439,0.7266808733162046,0.44719882544857004,0.0030511834326397043,0.0,0.00012695511378237653,rapid_decay,0.7640449438202247,0.45231905988890864,0.4411802616447436
3,46,0.03214535290006988,1.0,0.8481457656867264,0.7387097538699471,0.6713064089213939,0.5741613733053944,0.0,0.0,0.004928785441253356,early_drop,0.8913043478260869,0.5464998064659834,0.4874136323597271
4,378,0.2641509433962264,0.9954094091901657,0.9797072869400311,0.9543058357936577,0.9085799775945197,0.8178895434048313,0.004589336390905857,0.0,0.0015900049697154725,moderate_decay,0.7936507936507936,0.22160022863393933,0.20340848991911695
5,206,0.14395527603074773,0.9971245900944482,0.9536438581288699,0.8958246247067002,0.8197754344998576,0.6965864447458073,0.0028735014702456034,0.0,0.0010637159275746376,rapid_decay,0.36893203883495146,0.3131519856738416,0.29409463506021266
6,26,0.01816911250873515,1.0,0.7237859406118299,0.5287187330091809,0.3466014567863945,0.23301721589403804,0.0,0.0,0.039175086523881644,early_drop,0.8846153846153846,0.967039831530663,0.819490407753472
7,45,0.031446540880503145,0.9992114299963342,0.8948327493142012,0.7463030713784473,0.5410457616753923,0.26951791117589274,0.0007869035681445653,0.0,0.0,early_drop,0.7777777777777778,0.5733851861031561,0.5723624557851745
