cluster_i,cluster_j,pearson_correlation,centroid_rmse
0,0,1.0,0.0
0,1,0.9865977025097007,0.37824885592449686
0,2,0.9198322347958183,0.5416930901494714
0,3,0.968946417669992,0.4688058278812679
0,4,0.990628421130771,0.233581602111508
1,0,0.9865977025097007,0.37824885592449686
1,1,1.0,0.0
1,2,0.9699941640389519,0.16456285087491962
1,3,0.995920783497345,0.09084035307422769
1,4,0.9993262104149832,0.14604064407113507
2,0,0.9198322347958183,0.5416930901494714
2,1,0.9699941640389519,0.16456285087491962
2,2,1.0,0.0
2,3,0.9866775996822406,0.07403943986992162
2,4,0.9644481830878214,0.31052028599470455
3,0,0.9689464176699919,0.4688058278812679
3,1,0.9959207834973451,0.09084035307422769
3,2,0.9866775996822406,0.07403943986992162
3,3,0.9999999999999999,0.0
3,4,0.9932073295212852,0.23683351132909108
4,0,0.990628421130771,0.233581602111508
4,1,0.9993262104149832,0.14604064407113507
4,2,0.9644481830878214,0.31052028599470455
4,3,0.9932073295212852,0.23683351132909108
4,4,1.0,0.0
