feature_set,n_nodes,topology,n_features,qe_primary,te_primary,mean_pairwise_seed_ARI,min_pairwise_seed_ARI,silhouette_pca20,davies_bouldin_pca20,calinski_harabasz_pca20,kmeans_ARI,rule_shape_category_NMI,n_empty_nodes,min_cluster_size,min_cluster_fraction,max_cluster_size,max_cluster_fraction,min_curve_centroid_RMSE,max_curve_centroid_correlation,initial_gain_best_f1,initial_gain_best_precision,initial_gain_best_recall,initial_gain_best_count,early_drop_best_f1,early_drop_best_precision,early_drop_best_recall,early_drop_best_count,dip_recovery_best_f1,dip_recovery_best_precision,dip_recovery_best_recall,dip_recovery_best_count,qe_mean_across_seeds,qe_std_across_seeds,te_mean_across_seeds,eligible,selection_score
curve_derivative_descriptors,4,2x2,263,0.45124693494486806,0.0,1.0,1.0,0.38572247562175044,1.116478981475948,896.7727219692899,0.8949761686839645,0.4044212287627425,0,52,0.0363382250174703,853,0.5960866526904263,0.12000657839311284,0.9995960138928381,0.2983316977428852,0.17819460726846426,0.9156626506024096,152,0.41921397379912667,0.9230769230769231,0.2711864406779661,48,0.12121212121212123,0.0,0.0,0,0.45124693582698266,1.0803653095246084e-09,0.0,False,
curve_derivative_descriptors,5,1x5,263,0.4275072272842727,0.08176100628930817,0.8509495239289567,0.6273738098223917,0.33503701162871363,1.2288503079332262,759.4405181347009,0.811602299453576,0.4550259896573053,0,48,0.033542976939203356,764,0.5338923829489868,0.09979713848285361,0.9994894188966427,0.30752688172043013,0.18717277486910994,0.8614457831325302,143,0.46601941747572817,0.9166666666666666,0.24858757062146894,44,0.12903225806451613,0.0,0.0,0,0.4276322586390289,0.0002500624720362019,0.028371767994409502,False,
curve_derivative_descriptors,6,2x3,263,0.4058014899226297,0.0,0.9987219776939009,0.9978699628231681,0.36836351942980855,1.1932213099228661,684.0234227875058,0.8113040872099131,0.4617922850579283,0,44,0.030747728860936407,743,0.5192173305380853,0.029226501032626768,0.9994460537767359,0.5132743362831859,0.9666666666666667,0.3493975903614458,58,0.5017182130584192,0.9090909090909091,0.22598870056497175,40,0.13793103448275862,0.0,0.0,0,0.405772696950338,3.526404514632827e-05,0.0,True,0.6454108584185562
curve_derivative_descriptors,7,1x7,263,0.3946095545877614,0.20195667365478687,0.8568583380486338,0.7614305634143895,0.3730016929852372,1.201591706619744,662.7460589144513,0.9566915443651356,0.46887910410585537,0,15,0.010482180293501049,742,0.5185185185185185,0.029196203789208435,0.999517780288132,0.5132743362831859,0.9666666666666667,0.3493975903614458,58,0.5,0.9791666666666666,0.2655367231638418,47,0.2758620689655172,0.0,0.0,0,0.39380810374747816,0.0006538668153948345,0.24961565338923827,False,
curve_derivative_descriptors,8,2x4,263,0.37875553110539395,0.0,0.9058904573190458,0.7863195235002158,0.3129087598632428,1.1855724077212133,603.3907666647169,0.8589007405048631,0.5128466117044672,0,19,0.013277428371767994,630,0.44025157232704404,0.026637118077998644,0.9997343557442337,0.47706422018348627,1.0,0.3132530120481928,52,0.3652173913043478,0.9666666666666667,0.1638418079096045,29,0.18181818181818182,0.0,0.0,0,0.375942066417157,0.001507518869594371,0.021104122990915443,False,
curve_derivative_descriptors,9,3x3,263,0.3678453247968171,0.2082459818308875,0.8902083024278653,0.8317855093223183,0.28463758448163584,1.270199770566282,578.2942770126887,0.8831075959097014,0.512995180374122,0,10,0.0069881201956673656,603,0.42138364779874216,0.026595653883537077,0.9991539292222276,0.4700460829493087,1.0,0.3072289156626506,51,0.3761467889908257,1.0,0.23163841807909605,41,0.3333333333333333,0.0,0.0,0,0.3665582479406448,0.001775993162206477,0.13487071977638015,False,
curve_derivative_descriptors,10,2x5,263,0.35797350995818206,0.013277428371767994,0.8049209891201977,0.7145540287065901,0.27490594301951493,1.293210343424028,540.2168552221971,0.7991103840088395,0.5080977667081663,0,10,0.0069881201956673656,579,0.40461215932914046,0.026486486529970855,0.9998418835491703,0.4700460829493087,1.0,0.3072289156626506,51,0.3669724770642202,1.0,0.15819209039548024,28,0.3333333333333333,0.0,0.0,0,0.3604246118392565,0.0021570482396595877,0.1220125786163522,False,
curve_plus_derivative,4,2x2,242,0.3956852367508936,0.0,1.0,1.0,0.43349802553964195,1.0322075223449558,1176.8191569194926,0.9665860312947612,0.4141497558950789,0,51,0.03563941299790356,830,0.5800139762403913,0.11298156732856829,0.9998240576647671,0.29518072289156627,0.17710843373493976,0.8855421686746988,147,0.43195266272189353,0.9215686274509803,0.2655367231638418,47,0.12307692307692307,0.0,0.0,0,0.3956852367508936,0.0,0.0,False,
curve_plus_derivative,5,1x5,242,0.3700266705343651,0.18238993710691823,0.910816738794999,0.7770418469874973,0.37453568780011226,1.1652717499098162,1010.7143765022935,0.6780140303728904,0.47294707031591376,0,40,0.027952480782669462,721,0.5038434661076171,0.08897972490254549,0.9992261284787252,0.30214205186020293,0.18585298196948682,0.8072289156626506,134,0.39010989010989017,0.9,0.2033898305084746,36,0.14814814814814817,0.0,0.0,0,0.3713191803118369,0.0025850198109211705,0.15639412997903562,False,
curve_plus_derivative,6,2x3,242,0.36041509275545,0.0,1.0,1.0,0.3714813385538963,1.1213712541081624,907.1386706087228,0.7067807325525993,0.4914856217979443,0,27,0.018867924528301886,701,0.48986722571628233,0.08578575165567442,0.9994530250050041,0.3091118800461361,0.19115549215406563,0.8072289156626506,134,0.33242506811989103,0.96875,0.1751412429378531,31,0.14634146341463417,0.0,0.0,0,0.36041483278919684,1.2998312657330757e-07,0.0,False,
