raw_cluster_id,som_node_x,som_node_y,n_curves,fraction,pce_norm_0h_mean,pce_norm_10h_mean,pce_norm_50h_mean,pce_norm_100h_mean,pce_norm_150h_mean,pce_norm_200h_mean,delta_0_200h_mean,slope_0_10h_per_h,slope_100_200h_per_h,auc_0_200h,mean_bmu_distance,median_bmu_distance,suggested_shape_name,ordered_class_id,class_label
0,0,0,4,0.0027739251040221915,0.9852728091321226,0.8150931427305177,0.4982106074385386,0.6786537575066812,0.8664436617596127,0.8602244530027899,-0.12504835612933263,-0.017017966640160486,0.001815706954961087,140.1732184268341,6.859857619097078,7.036073405528411,initial_drop_moderate_loss,4,class_04
1,0,1,29,0.02011095700416089,1.0,0.9139047161245055,0.7173004031212316,0.621666590577622,0.5555010800906117,0.49883861383742223,-0.5011613861625778,-0.008609528387549447,-0.0012282797674019975,130.54409575305243,1.6590978934564018,1.7242669687653336,initial_drop_rapid_loss,12,class_12
2,0,2,38,0.026352288488210817,1.0,0.918799791926415,0.6850818924484521,0.5061675557756246,0.37002791511295624,0.27978901047769483,-0.7202109895223052,-0.008120020807358496,-0.0022637854529792972,108.58727369446021,2.518291250609266,2.214713840649587,initial_drop_rapid_loss,15,class_15
3,0,3,17,0.011789181692094313,1.0,0.870339777759492,0.5137223798395665,0.3013099952807024,0.17576263596979178,0.13331220616969783,-0.8666877938303021,-0.0129660222240508,-0.0016799778911100458,74.88141316361364,2.5925633916136133,2.5190444482735836,initial_drop_rapid_loss,16,class_16
4,1,0,47,0.03259361997226075,0.999072570088795,0.9861135939428142,0.9211041425645778,0.8208559748656085,0.7089634159100462,0.60416049085826,-0.39491207923053506,-0.001295897614598085,-0.002166954840073485,162.81139455245255,0.9685170545615809,0.850290098627519,no_initial_change_moderate_loss,10,class_10
5,1,1,48,0.033287101248266296,1.0,0.9525121710102192,0.8403188469299305,0.7787646062925955,0.7408949686808327,0.7066086450458466,-0.29339135495415336,-0.004748782898978077,-0.0007215596124674884,159.77848197393834,0.9541486166935922,0.8135493742410311,initial_drop_moderate_loss,9,class_09
6,1,2,58,0.04022191400832178,0.9970490233053624,0.9587785117403368,0.828657489182955,0.716360908130933,0.6443734888180729,0.5780188946232248,-0.4190301286821376,-0.003827051156502559,-0.0013834201350770826,148.21827699093606,1.243300060600475,1.1165413390605028,initial_drop_rapid_loss,11,class_11
7,1,3,35,0.024271844660194174,0.9976117304986692,0.9690541990007062,0.8368595036944579,0.6507569053097615,0.4682678479486488,0.31364404120671596,-0.6839676892919533,-0.002855753149796303,-0.0033711286410304554,130.76394340005993,1.6219746045801506,1.6320053335077762,initial_drop_rapid_loss,14,class_14
8,2,0,178,0.12343966712898752,0.9946684738049864,0.989893715721382,0.9635582261887939,0.9253958679975698,0.8884348581858232,0.8457174180917469,-0.1489510557132394,-0.0004774758083604391,-0.0007967844990582285,184.93011739939567,0.5556628097726005,0.5167645088311233,no_initial_change_moderate_loss,5,class_05
9,2,1,116,0.08044382801664356,0.9975393332014673,0.9853390367630999,0.9364455825487806,0.8841425530491209,0.8463543708747193,0.808093619639589,-0.18944571356187823,-0.0012200296438367396,-0.0007604893340953189,178.40530220073921,0.6327349219435283,0.604354426312584,no_initial_change_moderate_loss,6,class_06
10,2,2,109,0.07558945908460471,0.9948826085001304,0.9786892351516185,0.9086392504266336,0.8351103259756948,0.7807178676062346,0.7351070806772315,-0.2597755278228989,-0.0016193373348511897,-0.0010000324529846328,169.33721524421463,0.7519418601779141,0.7479349223780827,no_initial_change_moderate_loss,7,class_07
11,2,3,28,0.019417475728155338,0.997649502951149,0.9856025563422807,0.9244767910159768,0.781844664333059,0.5972661811669683,0.3917892417535883,-0.6058602611975606,-0.0012046946608868293,-0.003900554225794707,150.24044252824748,1.6478506897035832,1.4679708467273962,no_initial_change_rapid_loss,13,class_13
12,3,0,229,0.15880721220527047,0.9898656213437469,0.9914607657083927,0.9856964621387654,0.9731580342734211,0.956842339027003,0.9384473691047367,-0.0514182522390102,0.00015951443646458063,-0.0003471066516868437,194.11930914708955,0.36714745817232847,0.3191082134624701,no_initial_change_stable,2,class_02
13,3,1,224,0.1553398058252427,0.9824608181512787,0.9854398016246108,0.9905555648313226,0.9893846725384841,0.9846818080679576,0.9750538824180867,-0.007406935733192066,0.0002978983473332031,-0.00014330790120397396,197.29011412324115,0.39130109055622647,0.2807060814746061,no_initial_change_stable,1,class_01
14,3,2,212,0.14701803051317613,0.9941581959603927,0.9902926279937647,0.9738391755968157,0.9500992404279147,0.9268866260177632,0.8996652309700424,-0.09449296499035031,-0.0003865567966627959,-0.0005043400945787236,189.9016580726743,0.4616820451042197,0.4020779922779902,no_initial_change_stable,3,class_03
15,3,3,70,0.04854368932038835,0.9907381989982136,0.986948609822377,0.9606213648855144,0.9010795213297079,0.8133469506444374,0.7213871302372343,-0.26935106876097925,-0.0003789589175836605,-0.001796923910924736,176.7992266837038,0.8348993994133185,0.7309788957634271,no_initial_change_moderate_loss,8,class_08
