candidate,window,mode,replicate,ARI,unique_curves,actual_deleted_fraction
M000352,coverage100,drop05,5,1.0,29,0.07742054724517441
M000352,coverage100,drop05,6,1.0,29,0.07742054724517441
M000352,coverage100,drop05,7,1.0,29,0.07742054724517441
M000352,coverage100,drop05,8,1.0,29,0.07742054724517441
M000352,coverage100,drop05,9,1.0,29,0.07742054724517441
M000352,coverage100,drop05,10,1.0,29,0.07742054724517441
M000352,coverage100,drop05,11,1.0,29,0.07742054724517441
M000352,coverage100,drop05,12,1.0,29,0.07742054724517441
M000352,coverage100,drop05,13,1.0,29,0.07742054724517441
M000352,coverage100,drop05,14,1.0,29,0.07742054724517441
M000352,coverage100,drop05,15,1.0,29,0.07742054724517441
M000352,coverage100,drop05,16,1.0,29,0.07742054724517441
M000352,coverage100,drop05,17,1.0,29,0.07742054724517441
M000352,coverage100,drop05,18,1.0,29,0.07742054724517441
M000352,coverage100,drop05,19,1.0,29,0.07742054724517441
M000352,coverage100,drop05,20,1.0,29,0.07742054724517441
M000352,coverage100,drop05,21,1.0,29,0.07742054724517441
M000352,coverage100,drop05,22,1.0,29,0.07742054724517441
M000352,coverage100,drop05,23,1.0,29,0.07742054724517441
M000352,coverage100,drop05,24,1.0,29,0.07742054724517441
M000352,coverage100,drop05,25,1.0,29,0.07742054724517441
M000352,coverage100,drop05,26,1.0,29,0.07742054724517441
M000352,coverage100,drop05,27,1.0,29,0.07742054724517441
M000352,coverage100,drop05,28,1.0,29,0.07742054724517441
M000352,coverage100,drop05,29,1.0,29,0.07742054724517441
M000352,coverage100,drop05,30,1.0,29,0.07742054724517441
M000352,coverage100,drop05,31,1.0,29,0.07742054724517441
M000352,coverage100,drop05,32,1.0,29,0.07742054724517441
M000352,coverage100,drop05,33,1.0,29,0.07742054724517441
M000352,coverage100,drop05,34,1.0,29,0.07742054724517441
M000352,coverage100,drop05,35,1.0,29,0.07742054724517441
M000352,coverage100,drop05,36,1.0,29,0.07742054724517441
M000352,coverage100,drop05,37,1.0,29,0.07742054724517441
M000352,coverage100,drop05,38,1.0,29,0.07742054724517441
M000352,coverage100,drop05,39,1.0,29,0.07742054724517441
M000352,coverage100,drop05,40,1.0,29,0.07742054724517441
M000352,coverage100,drop05,41,1.0,29,0.07742054724517441
M000352,coverage100,drop05,42,1.0,29,0.07742054724517441
M000352,coverage100,drop05,43,0.6444833625218914,29,0.07742054724517441
M000352,coverage100,drop05,44,1.0,29,0.07742054724517441
M000352,coverage100,drop05,45,1.0,29,0.07742054724517441
M000352,coverage100,drop05,46,1.0,29,0.07742054724517441
M000352,coverage100,drop05,47,1.0,29,0.07742054724517441
M000352,coverage100,drop05,48,1.0,29,0.07742054724517441
M000352,coverage100,drop05,49,1.0,29,0.07742054724517441
M000352,coverage100,drop10,0,1.0,29,0.10315116564524755
M000352,coverage100,drop10,1,1.0,29,0.10315116564524755
M000352,coverage100,drop10,2,0.6444833625218914,29,0.10315116564524755
M000352,coverage100,drop10,3,1.0,29,0.10315116564524755
M000352,coverage100,drop10,4,1.0,29,0.10315116564524755
M000352,coverage100,drop10,5,1.0,29,0.10315116564524755
M000352,coverage100,drop10,6,1.0,29,0.10315116564524755
M000352,coverage100,drop10,7,1.0,29,0.10315116564524755
M000352,coverage100,drop10,8,1.0,29,0.10315116564524755
M000352,coverage100,drop10,9,1.0,29,0.10315116564524755
M000352,coverage100,drop10,10,1.0,29,0.10315116564524755
M000352,coverage100,drop10,11,1.0,29,0.10315116564524755
M000352,coverage100,drop10,12,1.0,29,0.10315116564524755
M000352,coverage100,drop10,13,1.0,29,0.10315116564524755
M000352,coverage100,drop10,14,1.0,29,0.10315116564524755
M000352,coverage100,drop10,15,1.0,29,0.10315116564524755
M000352,coverage100,drop10,16,1.0,29,0.10315116564524755
M000352,coverage100,drop10,17,1.0,29,0.10315116564524755
M000352,coverage100,drop10,18,1.0,29,0.10315116564524755
M000352,coverage100,drop10,19,1.0,29,0.10315116564524755
M000352,coverage100,drop10,20,1.0,29,0.10315116564524755
M000352,coverage100,drop10,21,1.0,29,0.10315116564524755
M000352,coverage100,drop10,22,1.0,29,0.10315116564524755
M000352,coverage100,drop10,23,1.0,29,0.10315116564524755
M000352,coverage100,drop10,24,1.0,29,0.10315116564524755
M000352,coverage100,drop10,25,1.0,29,0.10315116564524755
M000352,coverage100,drop10,26,1.0,29,0.10315116564524755
M000352,coverage100,drop10,27,1.0,29,0.10315116564524755
M000352,coverage100,drop10,28,1.0,29,0.10315116564524755
M000352,coverage100,drop10,29,1.0,29,0.10315116564524755
M000352,coverage100,drop10,30,1.0,29,0.10315116564524755
M000352,coverage100,drop10,31,1.0,29,0.10315116564524755
M000352,coverage100,drop10,32,1.0,29,0.10315116564524755
M000352,coverage100,drop10,33,1.0,29,0.10315116564524755
M000352,coverage100,drop10,34,1.0,29,0.10315116564524755
M000352,coverage100,drop10,35,1.0,29,0.10315116564524755
M000352,coverage100,drop10,36,1.0,29,0.10315116564524755
M000352,coverage100,drop10,37,1.0,29,0.10315116564524755
M000352,coverage100,drop10,38,1.0,29,0.10315116564524755
M000352,coverage100,drop10,39,1.0,29,0.10315116564524755
