candidate,id,medoid,cluster,path_length,path_length_ratio,max_index_warp,mean_index_warp,max_time_warp_fraction,mean_time_warp_fraction,boundary_fraction,turn_collapse_fraction,turns
M000352,C054,C039,1,20,1.0,0.12631578947368421,0.05,0.1938425845556303,0.08315899491171608,0.05,0.0,0
M000352,C213,C039,1,20,1.0,0.04093567251461988,0.016812865497076012,0.04549730592425584,0.027317299102001636,0.0,0.0,2
M000352,C040,C085,2,20,1.0,0.12631578947368416,0.05210526315789473,0.14025557342466455,0.05300382357107051,0.05,0.0,3
M000352,C075,C085,2,8,1.0,0.1428571428571429,0.057142857142857155,0.09485456268324494,0.03473853741563202,0.0,0.0,0
M000352,C076,C085,2,8,1.0,0.17142857142857137,0.07499999999999998,0.18800025428984482,0.09191718598006449,0.125,0.0,0
M000352,C077,C085,2,8,1.0,0.17142857142857137,0.07499999999999998,0.18800025428984507,0.09191718598006453,0.125,0.0,0
M000352,C082,C085,2,35,1.0,0.10588235294117648,0.048907563025210085,0.20485107385716583,0.09558663473471361,0.0,0.0,0
M000352,C083,C085,2,35,1.0,0.10588235294117648,0.048907563025210085,0.20485107385716578,0.09558663473471363,0.0,0.0,0
M000352,C084,C085,2,7,1.1666666666666667,0.20000000000000007,0.14285714285714285,0.17304559604762695,0.11813634342176756,0.7142857142857143,0.0,0
M000352,C088,C085,2,15,1.0,0.12857142857142856,0.05238095238095238,0.13360559120817506,0.05719959197321264,0.0,0.0,0
M000352,C089,C085,2,15,1.0,0.1285714285714286,0.05238095238095238,0.20443412483720122,0.07648376113854186,0.0,0.0,0
M000352,C090,C085,2,15,1.0,0.1285714285714286,0.058095238095238096,0.20443412483720122,0.08440298359084389,0.0,0.0,0
M000352,C096,C085,2,11,1.0,0.1,0.04545454545454544,0.08980680634318378,0.0434106721173326,0.0,0.0,1
M000352,C134,C085,2,7,1.1666666666666667,0.20000000000000007,0.1142857142857143,0.2834043646479757,0.1407121591008276,0.5714285714285714,0.0,0
M000352,C135,C085,2,7,1.1666666666666667,0.20000000000000007,0.14285714285714285,0.2834043646479757,0.16543295853620285,0.7142857142857143,0.0,0
M000352,C184,C085,2,20,1.0,0.12631578947368416,0.05210526315789473,0.14535065438220804,0.05777844973712004,0.05,0.0,1
M000352,C205,C085,2,19,1.0,0.12222222222222223,0.05087719298245613,0.1422717821799817,0.056269835120339395,0.0,0.0,3
M000352,C206,C085,2,19,1.0,0.12222222222222223,0.05087719298245613,0.1422717821799817,0.0562698351203394,0.0,0.0,0
M000352,C207,C085,2,19,1.0,0.12222222222222223,0.050877192982456146,0.1961096401746815,0.08602480109560429,0.0,0.4,5
M000352,C208,C085,2,18,1.0,0.12941176470588234,0.052941176470588235,0.18654643434559967,0.09502097016236999,0.05555555555555555,0.0,2
