dataset,n_nodes,topology,seed,quantisation_error,topographic_error,n_empty_nodes,min_cluster_size,max_cluster_size
main_high_quality_min10,8,2x4,7,0.9762474131008384,0.040915395284327326,0,19,500
main_high_quality_min10,8,2x4,21,0.9762474131008384,0.040915395284327326,0,19,500
main_high_quality_min10,8,2x4,42,0.9751517525950228,0.0,0,22,500
main_high_quality_min10,8,2x4,84,0.9762474131008384,0.040915395284327326,0,19,500
main_high_quality_min10,8,2x4,168,0.9762474131008384,0.040915395284327326,0,19,500
