cp_index,cp_time,support,location_error_median,tolerance,sample_id,cluster
0,70.44420311425223,0.96,0.0,15.65426735872272,S0005,1
1,195.67834198403403,0.52,0.0,15.65426735872272,S0005,1
2,258.2954114189249,0.85,0.0,15.65426735872272,S0005,1
0,54.78993575552951,0.93,0.0,15.654267358722734,S0006,1
0,48.703090835164716,0.89,0.0,19.481236334065898,S0007,1
0,48.703090835164744,0.94,0.0,19.481236334065898,S0008,-1
0,50.808504202101744,1.0,0.0,20.323401680840703,S0013,1
1,132.1021109254645,0.63,0.0,20.323401680840703,S0013,1
2,193.07231596798658,0.99,0.0,20.323401680840703,S0013,1
0,91.45530756378311,1.0,0.0,20.323401680840696,S0014,1
0,112.8443662729714,0.69,0.0,11.878354344523302,S0015,1
0,29.69588586130825,0.95,0.0,11.878354344523302,S0016,-1
1,184.11449234011118,0.98,0.0,11.878354344523302,S0016,-1
0,29.69588586130824,0.75,0.0,11.878354344523302,S0017,1
1,100.96601192844808,0.99,0.0,11.878354344523302,S0017,1
2,243.5062640627277,1.0,0.0,11.878354344523302,S0017,1
0,83.92436064341146,1.0,0.0,18.64985792075811,S0020,1
0,46.62464480189524,0.95,0.0,18.64985792075811,S0021,1
0,65.27450272265335,0.85,0.0,18.64985792075811,S0022,1
1,158.52379232644387,0.78,0.0,18.64985792075811,S0022,1
0,102.57421856416957,1.0,0.0,18.64985792075811,S0023,1
0,253.28287772595422,0.88,0.0,17.467784670755464,S0028,1
0,43.669461676888645,0.99,0.0,17.467784670755464,S0029,0
1,148.4761697014214,0.86,0.0,17.467784670755464,S0029,0
2,253.28287772595422,0.82,0.0,17.467784670755464,S0029,0
0,86.35351394891534,0.99,0.0,19.189669766425624,S0030,1
0,47.97417441606409,0.8,0.0,19.189669766425624,S0031,1
1,201.4915325474691,0.77,0.0,19.189669766425624,S0031,1
0,58.705971375732446,0.9,0.0,23.482388550292967,S0037,1
1,199.60030267749036,1.0,11.741194275146484,23.482388550292967,S0037,1
0,105.67074847631841,0.88,0.0,23.482388550292967,S0038,1
1,176.11791412719737,0.88,0.0,23.482388550292967,S0038,1
0,81.24567372620132,0.91,0.0,18.054594161378077,S0044,-1
1,153.46405037171363,0.89,0.0,18.054594161378077,S0044,-1
0,99.3002678875794,0.91,0.0,18.054594161378077,S0045,1
1,225.68242701722593,0.53,0.0,18.054594161378077,S0045,1
0,33.790819763945265,0.98,0.0,13.516327905578123,S0055,0
1,209.50308253646062,0.91,0.0,13.516327905578123,S0055,0
2,250.05206625319494,0.87,0.0,13.516327905578123,S0055,0
0,63.39748830347976,1.0,0.0,14.08833073410662,S0056,1
1,232.4574571127591,0.91,0.0,14.08833073410662,S0056,1
0,133.8391419740128,0.91,0.0,14.08833073410662,S0057,1
0,50.0787974054285,1.0,0.0,14.308227830122433,S0058,1
0,35.770569575306055,0.99,0.0,14.308227830122433,S0059,-1
1,121.61993655604063,0.99,0.0,14.308227830122433,S0059,-1
0,107.31170872591822,0.99,0.0,14.308227830122433,S0060,1
0,88.58612876053536,0.98,0.0,19.685806391230074,S0063,1
0,127.95774154299554,0.84,0.0,19.685806391230074,S0064,1
0,49.21451597807521,0.77,0.0,19.685806391230074,S0065,1
1,147.64354793422564,0.76,0.0,19.685806391230074,S0065,1
0,86.35895767867132,0.98,0.0,15.701628668849338,S0066,1
0,54.955700340972655,1.0,0.0,15.701628668849338,S0067,1
0,80.79622092736587,1.0,0.0,23.084634550675958,S0071,0
0,57.711586376689894,0.92,0.0,23.084634550675958,S0072,1
0,85.51076064498695,0.98,0.0,8.824710498562652,S0081,1
0,134.15512496977058,0.94,0.0,20.63924999534933,S0086,1
0,92.87662497907196,0.93,0.0,20.63924999534933,S0087,1
0,28.60287506229372,0.79,0.0,11.441150024917476,S0095,1
0,33.78592147771947,0.83,0.0,13.514368591087788,S0099,0
1,182.4439759796852,0.84,0.0,13.514368591087788,S0099,0
0,33.78592147771947,0.82,0.0,13.514368591087788,S0100,-1
0,36.052571508012214,0.98,0.0,14.421028603204888,S0103,1
0,151.42080033365127,1.0,0.0,14.421028603204888,S0104,1
0,84.2613608610437,1.0,0.0,24.07467453172677,S0107,1
0,84.2613608610437,1.0,0.0,24.07467453172677,S0108,1
