cluster,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count,initial_n,final_n,global_max_n,global_min_n,peak_time_n,valley_time_n,net_change_n,total_variation_n,area_n,positive_fraction_n,negative_fraction_n,max_positive_slope_n,max_negative_slope_n,median_positive_slope_n,median_negative_slope_n,segment_count_n,max_to_next_min_n,min_to_next_max_n,recovery_amplitude_n,recovery_ratio_n,pre_peak_slope_n,immediate_post_peak_slope_n,late_time_slope_n,pre_valley_slope_n,post_valley_slope_n,largest_slope_reversal_n,slope_sign_reversals_n,time_between_strongest_reversals_n,seg1_duration_n,seg1_ordinary_slope_n,seg1_theil_sen_slope_n,seg1_start_value_n,seg1_end_value_n,seg1_amplitude_change_n,seg1_normalized_amplitude_change_n,seg1_local_variance_n,seg1_raw_point_count_n,seg2_duration_n,seg2_ordinary_slope_n,seg2_theil_sen_slope_n,seg2_start_value_n,seg2_end_value_n,seg2_amplitude_change_n,seg2_normalized_amplitude_change_n,seg2_local_variance_n,seg2_raw_point_count_n,seg3_duration_n,seg3_ordinary_slope_n,seg3_theil_sen_slope_n,seg3_start_value_n,seg3_end_value_n,seg3_amplitude_change_n,seg3_normalized_amplitude_change_n,seg3_local_variance_n,seg3_raw_point_count_n,seg4_duration_n,seg4_ordinary_slope_n,seg4_theil_sen_slope_n,seg4_start_value_n,seg4_end_value_n,seg4_amplitude_change_n,seg4_normalized_amplitude_change_n,seg4_local_variance_n,seg4_raw_point_count_n
-1,0.21739130434782683,-0.2888888888888918,0.5793650793650762,-0.979166666666667,0.16536050156739815,0.16269841269841273,-0.514492753623195,2.91521739130435,-0.035208333333334785,0.24047619047619045,0.3696551724137931,8.21428571428568,-10.062111801242276,4.507246376811624,-3.0072463768116076,3.0,1.1086956521739126,1.2013888888888884,1.2022946859903383,0.8302107728337242,4.457142857142869,-0.43650793650794706,-0.597653554175308,-5.633333333333294,0.601813561681982,9.84087249304644,1.5,0.4729064039408868,0.10727969348659003,-5.399999999999956,-5.408730158730137,0.21739130434782683,-0.24948240165631538,-0.6811594202898533,-0.6190476190476171,0.28187900674673066,3.0,0.4185714285714286,0.0,0.0,-0.13043478260869734,0.08333333333333277,0.0,0.0,0.04082206255283181,10.0,0.36,-1.3141025641025657,-1.4583333333333335,0.3333333333333336,-0.2608695652173947,-0.6666666666666672,-0.35555555555555574,0.0763888888888927,8.0,0.3448275862068966,-1.3621212121212127,-1.6111111111110488,0.11111111111110962,-0.2777777777777796,-0.38888888888888923,-0.22950819672131176,0.023262932353841474,11.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8,8,6,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1
0,-0.9143155694879777,0.10204081632653182,0.583900226757371,-0.9143155694879777,0.695804195804196,0.0,1.0799001248439397,2.3480853015363534,-0.020091369881283298,0.26136363636363635,0.16025641025641024,9.343434343434188,-3.4386973180076845,4.6717171717171455,-3.4386973180076392,3.5,0.5037071008178582,1.518414481897622,1.518414481897622,1.0,1.7392167757336296,0.0,-0.3469387755102074,,0.7679597701149412,0.8789013732833952,0.5,0.35714285714285726,0.17420814479638008,6.289900575614928,6.002331002330999,-0.9143155694879777,-0.11235955056179706,0.9637188208616783,0.6977272727272734,0.12285904535661676,3.5,0.37433155080213903,0.0,0.0,0.0,0.0,0.0,0.0,0.0008694675346039839,7.5,0.23076923076923073,1.1954022988506054,1.2452107279693803,0.0,0.20408163265306364,0.22988505747127028,0.2,0.017146776406035378,4.0,0.13636363636363658,-1.494252873563165,-1.494252873563165,0.6122448979591909,0.20408163265306364,-0.229885057471256,-0.19999999999999254,0.011743808810791706,3.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3
1,0.8461538461538376,-0.3492647058823543,0.848484848484846,-0.3524229074889859,0.0,1.0,-1.1353711790392969,1.250000000000001,0.04881643179515449,0.0,0.7058823529411765,0.0,-4.242424242424291,0.0,-1.3533834586466436,2.0,1.1520737327188941,0.0,0.0,0.0,1.7650853513298956,-2.211981566820283,-0.594965675057211,-1.0993006993006993,0.0,0.0,0.0,0.17241379310344834,0.2222222222222222,-2.4735812133072446,-2.46376811594204,0.8461538461538376,0.24577572964669772,-0.5555555555555569,-0.4782608695652167,0.04532921294927919,4.0,0.6363636363636364,-0.6851971557853936,-0.6718154080854309,0.14760147601476026,-0.24242424242424762,-0.4117647058823521,-0.32258064516128987,0.018061423788265252,11.0,0.2500000000000001,-0.43859649122805927,-0.11249259917110654,-0.20408163265305423,-0.3492647058823543,-0.13333333333333008,-0.10909090909090885,0.0027690808128542437,5.0,0.16333333333333333,-0.5445941208873754,-0.5518553758325395,-0.30249206092900693,-0.42832223279416426,-0.21314387211367752,-0.1304347826086959,0.016141978905658442,4.5,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,10,65,65,65,31,65,65,1,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,21,21,21,21,21,21,21,21,21,6,6,6,6,6,6,6,6,6
