segment_index,start_time,end_time,duration,ordinary_slope,theil_sen_slope,start_value,end_value,amplitude_change,normalized_amplitude_change,local_variance,raw_point_count,stability,physical_slope,sample_id,cluster
0,0.0,62.61706943489088,0.2105263157894737,-3.8160950949583343,-4.218472468916527,0.9058614564831278,0.01776198934280631,-0.8880994671403215,-0.5434782608695654,0.1320844204533151,3,0.96,-0.012830182700888322,S0005,1
1,78.27133679361359,187.85120830467264,0.36842105263157904,-0.192844455721897,-0.14061574896388324,0.05328596802841892,-0.08880994671403154,-0.14209591474245048,-0.08695652173912986,0.0018140575261302982,8,0.52,-0.0006483668614637398,S0005,1
2,203.5054756633954,250.46827773956352,0.1578947368421052,-0.2024866785079916,-0.11249259917110654,-0.23090586145648323,-0.2664298401420958,-0.03552397868561258,-0.02173913043478244,0.000867592729888403,4,0.52,-0.0006807852045369259,S0005,1
3,266.1225450982863,297.43107981573166,0.10526315789473661,-4.049733570159881,-4.049733570159882,-0.30195381882770844,-0.7282415630550635,-0.42628774422735505,-0.2608695652173918,0.03056730749344246,3,0.85,-0.013615704090738682,S0005,1
0,0.0,46.962802076168146,0.15789473684210523,-1.3684210526315677,-1.2280701754385892,0.664819944598336,0.44321329639889134,-0.2216066481994447,-0.21052631578947292,0.00671419034537786,4,0.93,-0.00460080047276616,S0006,1
1,62.61706943489088,297.43107981573166,0.7894736842105263,-0.7941176470588237,-0.7894736842105303,0.2770083102493078,-0.38781163434903015,-0.6648199445983379,-0.6315789473684223,0.03825889534303759,16,0.93,-0.002669921541322466,S0006,1
0,0.0,38.96247266813177,0.13333333333333325,0.8144796380090478,0.8144796380090478,0.30769230769230804,0.416289592760181,0.10859728506787297,0.09230769230769201,0.0020383603029330917,3,0.89,0.0027872277509917126,S0007,1
1,58.443709002197664,292.2185450109884,0.8,-1.3589577842971508,-1.3574660633484164,0.3438914027149319,-0.7601809954751133,-1.1040723981900453,-0.9384615384615383,0.11559596415321353,13,0.89,-0.004650484397716953,S0007,1
0,0.0,38.962472668131795,0.13333333333333333,13.500000000000037,13.500000000000039,-1.600000000000008,0.19999999999999718,1.8000000000000052,0.9473684210526317,0.620000000000004,3,0.94,0.046198299972687866,S0008,-1
1,58.44370900219769,292.21854501098846,0.8,-0.9230769230769241,-0.937500000000002,0.19999999999999718,-0.300000000000004,-0.5000000000000011,-0.263157894736842,0.06378698224852083,13,0.94,-0.0031588581177906185,S0008,-1
0,0.0,40.64680336168141,0.1428571428571429,-4.242424242424182,-4.242424242424182,0.9090909090909031,0.3030303030303054,-0.6060606060605976,-0.4999999999999946,0.06121824303642315,3,1.0,-0.01491041252783838,S0013,1
1,60.97020504252208,121.94041008504416,0.21428571428571427,0.0,0.0,0.3030303030303054,0.3030303030303054,0.0,0.0,0.0,4,0.63,0.0,S0013,1
2,142.26381176588484,182.91061512756627,0.14285714285714302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.63,0.0,S0013,1
3,203.2340168084069,284.52762353176973,0.2857142857142859,0.0,0.0,-0.3030303030303054,-0.3030303030303054,0.0,0.0,0.0,5,0.99,0.0,S0013,1
0,0.0,81.29360672336277,0.28571428571428575,-1.940594059405935,-2.079207920792064,0.7920792079207915,0.24752475247524827,-0.5445544554455432,-0.4782608695652167,0.03862366434663246,5,1.0,-0.006820406522635061,S0014,1
1,101.61700840420345,284.5276235317697,0.6428571428571429,-0.7644764476447657,-0.6930693069306993,0.1485148514851496,-0.34653465346534584,-0.49504950495049543,-0.434782608695653,0.024899519654935885,10,1.0,-0.0026868268119471573,S0014,1
0,0.0,106.90518910070973,0.36000000000000004,-2.8303030303030305,-2.75,1.2000000000000004,0.14000000000000004,-1.0600000000000003,-0.8153846153846153,0.10798400000000005,10,0.69,-0.009530960091649346,S0015,1
1,118.78354344523305,296.95885861308255,0.5999999999999999,-0.2485294117647059,-0.19374999999999956,0.09999999999999983,-0.10000000000000017,-0.2,-0.1538461538461538,0.0028499999999999997,16,0.69,-0.0008369152983865789,S0015,1
0,0.0,23.756708689046604,0.08,-8.695652173913103,-8.695652173913103,0.43478260869565366,-0.2608695652173947,-0.6956521739130483,-0.5714285714285758,0.08065532451165834,3,0.95,-0.029282346431843458,S0016,-1
1,35.63506303356989,178.17531516784953,0.48000000000000004,2.365026278069762,2.393500219587181,-0.2608695652173947,0.6086956521739126,0.8695652173913073,0.7142857142857172,0.1331528730103696,13,0.95,0.007964154661407938,S0016,-1
2,190.05366951237284,296.95885861308255,0.36,-2.1607378129117283,-2.173913043478277,0.43478260869565366,-0.2608695652173947,-0.6956521739130483,-0.5714285714285758,0.07742911153119104,10,0.98,-0.007276219416397422,S0016,-1
0,0.0,23.756708689046587,0.07999999999999992,0.0,0.0,0.5000000000000111,0.5000000000000111,0.0,0.0,0.0,3,0.75,0.0,S0017,1
1,35.63506303356989,95.02683475618643,0.20000000000000007,0.0,0.0,0.25000000000001443,0.25000000000001443,0.0,0.0,0.0,6,0.75,0.0,S0017,1
2,106.90518910070973,237.56708689046604,0.43999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.99,0.0,S0017,1
3,249.44544123498935,296.9588586130826,0.16000000000000014,-2.50000000000003,-2.6041666666666923,-0.24999999999998332,-0.74999999999999,-0.5000000000000067,-0.40000000000000496,0.025000000000000668,5,1.0,-0.008418674599155036,S0017,1
0,0.0,74.5994316830324,0.24999999999999994,-2.568265682656825,-2.6568265682656804,0.8118081180811801,0.2214022140221404,-0.5904059040590397,-0.5423728813559319,0.053158317561035305,5,1.0,-0.008606854049402144,S0020,1
1,93.24928960379052,298.3977267321297,0.6875,-0.597631151136686,-0.5904059040590404,0.14760147601476026,-0.27675276752767497,-0.4243542435424352,-0.38983050847457645,0.016857352614116538,12,1.0,-0.0020028006167526094,S0020,1
0,0.0,37.29971584151618,0.12499999999999993,-5.000000000000012,-5.000000000000012,0.9659090909090923,0.34090909090909105,-0.6250000000000012,-0.4583333333333336,0.06671831955922891,3,0.95,-0.016756159823189575,S0021,1
1,55.9495737622743,298.3977267321296,0.8125,-0.7512487512487523,-0.757575757575757,0.22727272727272782,-0.3977272727272734,-0.6250000000000012,-0.4583333333333336,0.036301969134761455,14,0.95,-0.0025176088285791304,S0021,1
0,0.0,55.9495737622743,0.18749999999999997,-2.434782608695668,-2.46376811594204,0.7608695652173922,0.3260869565217377,-0.43478260869565455,-0.4000000000000014,0.02953686200378111,4,0.85,-0.008159521305205392,S0022,1
1,74.5994316830324,149.1988633660648,0.25,-0.521739130434764,-0.5072463768115759,0.10869565217390914,0.0,-0.10869565217390914,-0.09999999999999622,0.0028355387523627453,5,0.78,-0.0017484688511153674,S0022,1
2,167.84872128682292,298.3977267321296,0.4375,0.0621118012422337,0.0,-0.2173913043478311,-0.2173913043478311,0.0,0.0,0.0027690808128542437,8,0.78,0.00020815105370421003,S0022,1
0,0.0,93.24928960379052,0.31249999999999994,-2.4735812133072446,-2.4657534246575383,0.9589041095890427,0.2054794520547943,-0.7534246575342485,-0.6470588235294127,0.06997873272033545,6,1.0,-0.008289544429163053,S0023,1
1,111.89914752454861,298.3977267321297,0.625,-0.4283935242839325,-0.4109589041095886,0.13698630136986234,-0.2054794520547943,-0.3424657534246566,-0.29411764705882243,0.007986861225572134,11,1.0,-0.0014356460720241998,S0023,1
0,0.0,244.54898539057646,0.8235294117647057,-0.9279475982532711,-0.9448193727669643,0.39301310043667814,-0.3056768558951955,-0.6986899563318736,-0.5714285714285698,0.05681729096614347,15,0.88,-0.0031249041516875397,S0028,1
1,262.01677006133195,296.9523394028429,0.11764705882352944,-2.969432314410473,-2.9694323144104735,-0.3930131004366807,-0.7423580786026188,-0.3493449781659381,-0.285714285714286,0.020340318961626632,3,0.88,-0.009999693285400145,S0028,1
0,0.0,34.93556934151093,0.11764705882352941,6.938775510204164,6.938775510204165,-1.4285714285714337,-0.612244897959179,0.8163265306122547,0.40000000000000235,0.14808644546254232,3,0.99,0.023366630228129247,S0029,0
1,52.40335401226636,139.74227736604368,0.2941176470588235,0.0,0.0,-0.20408163265305176,-0.20408163265305176,0.0,0.0,0.0,6,0.86,0.0,S0029,0
2,157.21006203679914,244.54898539057646,0.2941176470588235,0.0,0.0,0.20408163265306364,0.20408163265306364,0.0,0.0,0.0,6,0.82,0.0,S0029,0
3,262.01677006133195,296.9523394028429,0.11764705882352944,-3.4693877551020806,-3.4693877551020806,0.6122448979591909,0.20408163265306364,-0.40816326530612723,-0.20000000000000112,0.03702161136563556,3,0.82,-0.011683315114064619,S0029,0
0,0.0,76.75867906570252,0.26666666666666666,-1.2727272727272732,-1.287878787878797,0.848484848484846,0.4848484848484805,-0.3636363636363655,-0.33333333333333426,0.015280073461891636,5,0.99,-0.0044215708702260385,S0030,1
1,95.94834883212815,287.84504649638444,0.6666666666666667,-0.6280991735537281,-0.6060606060606192,0.24242424242423877,-0.24242424242424762,-0.4848484848484864,-0.4444444444444448,0.01942793828594023,11,0.99,-0.0021820739359557383,S0030,1
0,0.0,38.379339532851276,0.1333333333333334,-4.000000000000023,-4.000000000000023,1.0000000000000033,0.4666666666666667,-0.5333333333333367,-0.444444444444446,0.047407407407408,3,0.8,-0.013896365592139054,S0031,1
1,57.5690092992769,191.8966976642563,0.46666666666666656,-1.3333333333333413,-1.333333333333346,0.4666666666666667,-0.2,-0.6666666666666667,-0.5555555555555541,0.04333333333333379,8,0.77,-0.004632121864046352,S0031,1
2,211.0863674306819,287.84504649638444,0.26666666666666683,-0.39999999999999014,0.0,-0.06666666666666991,-0.2,-0.13333333333333008,-0.1111111111111081,0.0028444444444443062,5,0.77,-0.0013896365592138632,S0031,1
0,0.0,46.96477710058596,0.16666666666666663,-0.8333333333333125,-0.8333333333333126,0.34722222222222093,0.20833333333333554,-0.1388888888888854,-0.13333333333333006,0.0032150205761315256,3,0.9,-0.0029572990113723445,S0037,1
1,70.44716565087893,187.85910840234388,0.41666666666666674,-1.6190476190476155,-1.666666666666667,0.34722222222222093,-0.27777777777777907,-0.625,-0.6000000000000003,0.054655349794238466,6,0.9,-0.005745609507809258,S0037,1
2,211.34149695263685,281.78866260351583,0.2500000000000001,-0.750000000000002,-0.833333333333327,-0.48611111111111127,-0.6944444444444452,-0.20833333333333393,-0.20000000000000068,0.00572675540123462,4,1.0,-0.0026615691102351837,S0037,1
0,0.0,93.9295542011719,0.33333333333333315,-1.1225806451612923,-1.1612903225806464,0.5483870967741927,0.19354838709677322,-0.3548387096774195,-0.323529411764706,0.01773152965660775,5,0.88,-0.0039837679585455615,S0038,1
1,117.41194275146493,164.37671985205085,0.16666666666666646,-0.9677419354838742,-0.9677419354838743,0.06451612903225774,-0.09677419354838777,-0.16129032258064552,-0.1470588235294121,0.004393571511157382,3,0.88,-0.0034342827228841105,S0038,1
2,187.85910840234388,281.78866260351583,0.33333333333333337,-1.161290322580646,-1.161290322580646,-0.16129032258064552,-0.5483870967741943,-0.38709677419354876,-0.3529411764705886,0.018730489073881397,5,0.88,-0.004121139267460921,S0038,1
0,0.0,72.21837664551228,0.2499999999999999,-7.999999999999946,-8.095238095238043,0.7142857142857093,-1.4285714285714186,-2.142857142857128,-1.0,0.5306122448979517,5,0.91,-0.027693782287811473,S0044,-1
1,90.27297080689037,144.4367532910246,0.18749999999999994,0.0,0.0,-0.7142857142857093,-0.7142857142857093,0.0,0.0,0.0,4,0.89,0.0,S0044,-1
2,162.49134745240266,288.87350658204923,0.4375000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.89,0.0,S0044,-1
0,0.0,90.27297080689036,0.31249999999999994,-1.1071428571428603,-1.1250000000000024,0.5859374999999999,0.23437499999999917,-0.3515625000000007,-0.3214285714285719,0.014071994357638956,6,0.91,-0.003832621655902518,S0045,1
1,108.32756496826842,216.6551299365369,0.37500000000000006,-1.0714285714285696,-1.0937499999999947,0.11718749999999958,-0.2734375000000006,-0.3906250000000002,-0.35714285714285715,0.018061423788265252,7,0.53,-0.0037089886992604845,S0045,1
2,234.70972409791497,288.8735065820492,0.1874999999999999,-0.8750000000000011,-0.8854166666666661,-0.35156250000000067,-0.5078125000000008,-0.1562500000000001,-0.14285714285714288,0.003814697265625005,4,0.53,-0.0030290074377294046,S0045,1
0,0.0,27.032655811156218,0.09090909090909094,5.641025641025693,5.641025641025692,-0.5128205128205177,0.0,0.5128205128205177,0.4,0.04383081306158312,3,0.98,0.018970408102073334,S0055,0
1,40.54898371673431,202.7449185836716,0.5454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.91,0.0,S0055,0
2,216.26124648924966,243.2939023004059,0.09090909090909105,5.641025641025687,5.641025641025686,0.0,0.5128205128205177,0.5128205128205177,0.4,0.043830813061583124,3,0.87,0.018970408102073313,S0055,0
3,256.81023020598394,297.3592139227183,0.13636363636363658,0.0,0.0,0.7692307692307765,0.7692307692307765,0.0,0.0,0.0,4,0.87,0.0,S0055,0
