feature,PC1,PC2,PC3,PC4,PC5
initial,-0.006561765734091236,-0.13427540091917592,0.045407957096053816,0.10844806439261268,0.07309060475288581
final,-0.007914082654160048,0.04753767133995823,-0.09049477361914021,0.16352136588942395,0.14570100630617774
global_max,-0.0052995197446641384,-0.049371585006013435,0.03883988277225098,0.17407207128786228,0.06199117967504962
global_min,0.004541125559321707,-0.07862097791455103,-0.017450992050137837,0.002615898864977484,0.07997367493182334
peak_time,0.008440818606886015,0.3259049776820631,-0.09786002484948425,-0.1674930389733094,0.5321998721188659
valley_time,0.024623135706355256,-0.11352511216919062,0.0650385897429474,-0.04773145458476208,-0.023668432919245252
net_change,0.00963030142115516,0.40076602957391066,-0.20789007420371214,-0.12734345957687304,-0.05131338709095476
total_variation,-0.019424944959205548,0.06776688059582132,0.1328857120171054,0.12349309143842413,0.017715628581732146
area,0.007150745813890664,-0.03593500932833104,-0.009757802446322746,0.039605326070095315,0.00763251032127224
positive_fraction,-0.010283575273530087,0.07731051754716964,0.0635883032925807,0.011134557894865733,0.05438527714463688
negative_fraction,0.0050034402350242185,-0.03551922694293832,0.015333276108407382,-0.010450840887067473,-0.052422010668725996
max_positive_slope,-0.008422599574734756,0.147616917220254,0.09107118159430934,0.0868580196286993,-0.11522566180005676
max_negative_slope,0.046124578159074184,0.006463085367262817,-0.2662554177485751,-0.309074398978056,-0.029543115909150864
median_positive_slope,-0.009685630484080282,0.0718081447487466,0.02277702797515295,0.02115041518977564,0.014686686265461692
median_negative_slope,0.029561291323731472,-0.025118901104194857,0.13726041627840124,-0.07272302276885154,-0.12315152072154949
segment_count,-0.0025647963554639537,0.02827802454439714,0.020711461911231837,-0.021865577433710745,0.10190650912380278
max_to_next_min,-0.026059310167182735,-0.13659855712576643,0.2326089457459225,0.359287988277312,-0.0835811586561747
min_to_next_max,-0.07401146076326333,0.6384018643326141,-0.06432631365064971,0.43303621355735344,-0.09264506332376325
recovery_amplitude,-0.020362182088942932,0.21358855171592261,0.04080168066589119,0.06969285561362296,0.015815297130188196
recovery_ratio,-0.010293796129730578,0.14779427346157475,0.041425476320632905,-0.012530083745728466,0.07132532363528443
immediate_post_peak_slope,0.0337524252569154,0.03297174036469112,-0.15106366436061958,-0.24966654853668335,-0.06765062684637806
late_time_slope,0.002999730677479658,0.003923980534860749,-0.03551570165401695,0.10837183059670598,-0.029160424646415047
pre_valley_slope,0.9822404241432634,0.07326440622303501,0.13336155591710694,0.06027535298049186,0.033635823940063335
largest_slope_reversal,-0.1050017888565252,0.23445253123113194,0.7448521856015359,-0.3927656459688462,-0.18120097422367756
slope_sign_reversals,-0.008021585781523668,0.03918337703292665,0.10681144784610971,-0.06296558342429485,0.007637085575846197
seg1_duration,0.006063688763373651,-0.012345152362694081,-0.08532917078717842,-0.06293690061729407,-0.05455400087265784
seg1_ordinary_slope,0.03150594393617369,0.13683599816202238,-0.10927196178922235,-0.13833661054095572,-0.20702767305918732
seg1_theil_sen_slope,0.031801345918476304,0.13715434655716396,-0.10557377423173957,-0.1349112184093644,-0.20556503241192403
seg1_start_value,-0.006561765734091252,-0.1342754009191758,0.045407957096053844,0.10844806439261258,0.07309060475288591
seg1_end_value,0.03341535070892874,-0.04914469614487367,0.035364291471459405,0.01818796896218383,-0.16824661079236627
seg1_amplitude_change,0.02112023229316772,0.11277894753007409,-0.02996945584252012,-0.10045774157212904,-0.1463689708744314
seg1_normalized_amplitude_change,0.013903914918798372,0.09388135704078325,-0.011709531780568527,-0.056878734237198,-0.12267081432933345
seg1_local_variance,-0.06294947434338195,0.09677175108622219,0.13423037908764324,0.3009258726627336,-0.10713483998942851
seg1_raw_point_count,0.005832812102349767,-0.017095370146405286,-0.04930742158084435,-0.02731936569046465,-0.034235166564916306
seg2_duration,0.005051300240710026,-0.016512708901155252,0.015466268025517834,0.05616357539949103,-0.047305823448713175
seg2_ordinary_slope,-0.03490426685783406,0.018898583201728346,0.16803745900338948,-0.05857568009384287,0.35032891120566095
seg2_theil_sen_slope,-0.03444528161124237,0.019154690408227794,0.1621454807156757,-0.04236170029949403,0.33214165347969765
seg2_start_value,0.023547475662986924,-0.017056227921036102,0.009671369636038445,0.04272740627473064,-0.14470007116588693
seg2_end_value,-0.007318009854336881,0.018174114707942172,0.08984293292672146,-0.004379681008913169,0.18951820363859542
seg2_amplitude_change,-0.018420630735118914,0.02207408025352053,0.05540879981262163,-0.027388889118872016,0.21123553959264338
seg2_normalized_amplitude_change,-0.016592136667717083,0.02959664848854502,0.07796776221811749,0.005941411246195521,0.24424904487918062
seg2_local_variance,-0.009892143530762133,0.014495997797439136,0.0935887539373617,-0.1214380609422748,-0.05556926998532689
seg2_raw_point_count,0.006679518537694586,-0.025834802737445088,0.06476176557250747,0.13024891126933077,-0.006063772907104875
