sample_id,component_1,component_2,component_3,component_4,component_5
S0005,4.0274276635048745,-4.631777742129219,2.154676716209071,1.8167899862957273,1.2072228348000398
S0006,4.577089105053862,-3.359160769035813,-1.260392080665174,-1.1805310771488289,-1.3452283133429432
S0007,3.695100522283933,-1.6010005716469025,0.14980220127049315,-3.334342405103845,-2.6950759665851773
S0008,0.8931322297744857,26.890309303787912,6.205644865794654,0.3005358325067716,-7.3980394171552355
S0013,2.4491814950457793,-3.870317507498362,-0.363516077937348,0.12928917611112944,1.8081372219828369
S0014,4.485887615725772,-3.7478551144192958,-1.0712609364662011,-0.7782719410196693,-0.6034827995227158
S0015,4.102015573060473,-4.434742410322417,0.24600497086693573,1.3755717507371363,0.9822310106801969
S0016,10.527983110443474,6.644041249741415,11.306540218320237,-4.061688728214688,8.909589897425967
S0017,5.332995329034611,-3.164342104075351,-0.14518269222624658,-1.3740918985671908,0.723130545403813
S0020,5.110821602506864,-3.6286826341002776,-0.7704917994003125,-0.4894491642839143,-0.2254962883927794
S0021,4.584241888117094,-4.644759728222346,0.5154524632559642,1.091646992376265,-0.40053398813372704
S0022,0.053626426703773156,-2.2692961218002896,-1.5464432529049708,-0.4572423398306809,0.3778739279060136
S0023,4.680668266900266,-3.923671142985289,-0.6248934438087335,-0.09632531294613811,0.2747555839633543
S0028,4.540232408049253,-2.951375041764847,-2.4289316843639908,-1.768614010052719,-2.2303877157643823
S0029,2.2234838550590466,26.729977498056343,-6.861220562982421,3.9815772606392903,5.507705947796373
S0030,3.6183853536692636,-3.650780162833098,-1.288914851690073,-0.8066835184120351,-0.5906282580682879
S0031,-0.20699133553657934,-3.1144804832941864,-1.3047141845805736,0.8061020292222739,-1.0452180180322614
S0037,3.5615779116606667,-2.691274959827746,-1.6939150237628122,-2.0110769228902914,-2.182465463007068
S0038,4.316376897394643,-3.2713210487110445,-1.4121609484896345,-1.885487155962804,-0.5057240791861847
S0044,-54.68335831588564,5.366683381245437,-6.162486064287515,9.779107077462566,-0.17040769377417048
S0045,4.035464313470129,-3.3967339304173425,-1.5423778278411322,-1.6630139747947537,-1.0257362994401436
S0055,3.382395983070354,19.125048350842675,-7.344791690869525,-0.8883229698486057,6.618630716233927
S0056,3.9514431384842155,-3.328256697827629,-1.627175897448534,-1.8687017766913012,-1.9777952461548234
S0057,4.178148093640448,-3.5533933051788025,-1.4490048630025094,-1.2217243502569,-0.7018405126586695
S0058,4.375398610561494,-4.190099887044354,-0.3521492888622662,0.0576915249998331,-1.057205494951073
S0059,-144.6590797581075,-1.3558950242449037,6.767156084610983,-3.584428545200729,-1.13914421367458
S0060,4.442725422143232,-3.4513575149224667,-1.3672823301470074,-1.0871815220014378,-0.4481122399413335
S0063,4.425243237723303,-3.877792288409807,-0.8205211327450092,-0.4714454502939289,-0.5297735249193994
S0064,3.831100680610384,-3.886356661045027,-1.0982358800022305,-0.501315032016435,-0.22533839662914218
S0065,3.6986096290804644,-3.997720968428151,-0.4927969063406191,-0.08371626143783384,-0.01633016714521275
S0066,4.494372273155166,-3.813204178295573,-0.9776988036884373,-0.7399976701520039,-0.9673120377016423
S0067,1.5130686594724638,-3.5816223463275025,-0.38126825598194686,1.1033997079459898,0.41855696997836206
S0071,2.381307976387062,19.762359441463886,-3.7684017218068937,7.417790653185836,-2.7871918969460876
S0072,3.4075454487483823,-3.957012703989622,0.7262343486303969,2.5081876119254143,0.8926025673887646
S0081,5.034845385046535,-3.4875213696701333,-0.47014061605242613,0.29614779988232487,-0.11484675509371678
S0086,0.04895270506581895,-3.881470620562785,-1.6111498115084246,-0.4621757437963232,0.6706378556638513
S0087,0.6857883701783449,-2.6818312355171545,-0.8931953562995498,0.7101838305654734,0.09763008208520897
S0095,3.1966915533040865,-7.293503870047145,4.646064427065403,7.058100551399786,0.9158499146584439
S0099,2.5971570056354407,22.12389349305333,-3.7194975486040627,1.039334662088053,0.2227652830811092
S0100,1.086283482966027,25.598904004891107,6.543737724322662,-3.1331937776346748,-7.00293108941652
S0103,4.912860310649567,-6.141850431981744,3.124989179417275,4.847565482438831,1.2802634327058646
S0104,5.0365092011893395,0.0007905194268547078,-0.7697050046908396,-3.864205694041646,-1.6874902499278641
S0107,4.06738232391608,-3.787581260797307,-0.8569277067468292,-0.3724386813003825,-0.10529668071753026
S0108,4.267728162215244,-1.589407384759312,-0.9367510399985792,-0.839548186131482,-0.13731517957212233
S0109,3.144834861778866,-3.835932714443568,-1.006805722025637,-0.31026375495828834,0.17896416442344304
S0110,3.4903334906733443,-3.915397661031593,-0.5898499343768878,0.313980948436721,0.9394513550563192
S0118,3.233185380004673,1.7913247229615528,8.842158482664779,-5.591088667943677,6.214604854301203
S0119,3.9080153361159304,15.34395818156137,8.312074513522887,5.546030194103842,-4.676885746713449
S0128,5.3445304580972826,-3.7725879389488646,-0.7145657062366384,-0.07468801509779999,-0.16211606352073982
S0141,3.987926886673201,0.24933297492684758,1.145553230430087,-4.185085915969951,-4.123707922268778
S0153,3.6156736870702217,-3.693242382472543,-1.043331443240812,-0.4643450011490169,0.31332327472425325
S0154,3.9765747890946486,-3.922114526509028,-0.4850979014297814,0.273565672069619,0.8664503956349934
S0163,4.472405556775644,-3.8022890085888537,-1.0005618575236577,-0.7574356101088506,-0.896172842475814
S0164,1.9097291666222156,-4.238848432063355,-0.47154923213273126,0.6484787869012477,0.35671771872328334
S0165,4.025171671582901,-4.369528915389356,-0.23532730572489002,0.35388894408291083,-0.8449713901278619
S0166,3.8423574431502567,-4.458284717410038,-0.007678038886834826,0.6659972587284481,-0.5281616410947217
S0167,1.8545344974097193,-8.275356303572606,6.391003486660964,9.863519334960769,1.3404341340886285
S0170,2.9470688793521393,-4.895245443440057,1.096648493699032,2.75870003068028,-0.6412045278344943
S0172,5.0645368432403615,-3.326544595659308,-2.0940382819436003,-2.3757742271990323,-2.9368037258491824
S0173,6.509192773933311,-0.41518189468988353,4.1406375338778165,-2.8612634071043423,2.848455068441596
S0174,4.12231706988139,0.6525848325565939,-1.6301346582573495,-1.9612001310434488,0.637608270006482
S0175,4.933005636267796,0.5591877270633101,1.2824516821577339,-4.334413848862324,-3.208094537066305
S0176,2.9582031036067074,18.144960860867386,-4.065629942064059,-2.972740616148076,6.1330833329265175
S0177,1.312115877271221,-3.783632028445755,-1.199984887686395,0.0007402029304375835,1.0637700962460042
S0178,4.376399871822654,-4.422095694068793,-0.023883935623741026,0.46962548730894105,-0.9543522215298844
S0182,4.623734095925767,-3.667461000186646,-0.8748416194760787,-0.4011262860755907,0.31028966133433533
S0183,-1.246202623586453,-2.0573667963310154,-1.0010035703023195,-2.595996563287722,-2.23137616864816
S0186,5.155247187560316,-4.680732768290832,2.0621625605904197,3.200585796566686,1.6569743790567475
S0187,2.5431863748591863,-3.9285825562072523,4.2177311271736775,8.516701505715005,2.3414265707922772
S0191,5.54770676450931,-4.62104512540384,0.844574548546226,2.2536419635086067,1.2040241851291564
S0192,-1.8295667037286147,-2.149629638023101,0.2247115307681321,-0.6386403840810106,-3.223785752767194
S0193,4.206545352032841,-3.265792797199402,-1.7429146189648166,-2.164757435873736,-2.3402694663045787
S0194,3.8874248975659484,-3.4005149665243275,-1.6144841662477907,-1.7667961418546083,-0.8781817414556508
S0195,-60.767984218464136,-7.97927450269164,-9.21846974614984,-0.7399832138215039,1.5772858058460921
S0196,5.80350919848768,-1.7316012309618556,-0.2036947440249839,-1.0518531131169333,1.2355913173989819
S0197,-15.809124815243537,11.986166794717464,1.8889771201019663,-4.274644799256037,8.995266016146962
S0198,2.693228716590787,18.669955176334476,-2.044590526374202,0.5132014291069241,-2.918832203516652
S0199,9.352845271787135,6.271705065673396,0.9530257131153109,-2.959940031459837,-0.8373202079328933
S0216,4.529517410107531,-1.0954507184846696,4.8940199018227695,1.809571789559906,1.597279752929761
