sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,immediate_post_peak_slope,late_time_slope,pre_valley_slope,largest_slope_reversal,slope_sign_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count
S0005,0.19176717631096757,-1.8664954050499103,0.17459067341854778,-0.7837805335325,0.0,0.21212121212121263,-2.409645961159643,0.9045207557194197,-0.6925423184706702,1.821631878557875,0.1465802034007662,0.20219990710802568,-1.44529141275056,0.24430992774579854,-0.3236959019132908,2.0,2.756000786063415,0.0,0.24359299670134177,0.16635160680529043,-1.676760605278683,-2.469170516927597,0.4557345291518855,0.0,0.0,0.0,-0.40191473502403496,-0.5467236862017123,0.19176717631096757,-0.8093754309246844,-0.6021820485681018,-0.1915474695084883,1.1403972606622912,-0.3333333333333333,-0.6793283887700771,0.5713960351301689,0.5836611478405288,-0.2953344442238044,0.44039766710239714,0.46103360501773866,0.5491653774112689,-0.43272833305133135,-0.5
S0006,-0.21761981382321793,-0.2964637278556824,-0.39517333998678755,0.0,0.0,-0.15629984051036538,0.19795713135701926,-0.36114315544591163,-0.08151918855638965,0.0,0.3205906203034299,0.0,0.3289391027639111,0.0,0.2589351933410352,0.0,-0.4636273999178768,0.0,0.0,0.0,0.2570269622068936,-0.03806759729255048,0.2748934193628747,0.0,0.0,-0.3476150721572196,0.3094493039129268,0.3296613799382017,-0.21761981382321793,0.8477306933629747,0.5291266441722989,0.5159366262814528,-0.7404419346170327,0.0,0.5558141362664276,-0.21794662672864223,-0.22999735863381285,0.5439293128985561,-0.504714958117408,-0.6596209889226919,-1.0076652243690387,0.5502941711268674,0.8333333333333334
S0007,-0.8241684834837887,-2.0137971444759533,-0.982639165309142,-0.8573155058484291,2.124999999999998,0.21212121212121263,0.12960576543074323,-0.021304052204988808,-0.7068275856439518,1.0322580645161292,0.5722056829052129,0.3253304530654518,0.5304192948331786,0.2948126706091842,0.07625712490904651,0.0,0.22207362853209048,0.0,0.372333548804133,0.35317725752507934,0.24934840065597574,-1.1315205729176439,-0.5080986313850161,2.171945701357464,1.0,-0.5098354391639223,0.9438626387931953,0.9282631658104552,-0.8241684834837887,0.7428645583946047,1.0896166741714455,1.1594236145960215,-0.8105900423992639,-0.3333333333333333,0.5866926993923404,-0.9594605074008331,-0.9422516223078248,0.7948320833301311,-1.6817350185356224,-1.601323018869285,-1.8849045492377416,2.636298214539351,0.3333333333333333
S0008,-4.064209611011961,0.10851549379559082,-1.2575197224804853,-2.790852283708082,5.3124999999999964,-3.2878787878787863,10.748310859103489,2.0474316691938608,-0.6734899493120391,2.0645161290322585,-0.33224846104173633,6.740440324449822,0.37346622521120626,1.0858933367438286,-0.009159143807002671,0.0,-2.416161078429115,19.93046728972001,6.5142857142856805,3.826086956521705,0.4994501197429362,0.7745566436619723,0.0,14.43750000000004,1.0,-0.5098354391639217,4.630637448132071,4.645957144881342,-4.064209611011961,-0.09956982325682219,3.9606132399981773,2.976328052190105,8.46024301039694,-0.3333333333333333,0.5866926993923404,-0.3872424803774244,-0.4156202268790435,0.2550431732850656,-0.22715169444191752,-0.3062677517698944,0.04548488859999334,1.238860382966752,0.3333333333333333
S0013,0.19725210657273107,0.09454001353404412,0.18222432068752042,0.19519422791985577,0.0,-0.7878787878787877,-0.5172725973221458,-0.12795748164982818,0.3270177888526652,0.0,-0.5537474350695607,0.0,0.0230962415096457,0.0,-1.6526108825808328,2.0,0.4194724094494791,0.0,0.0,0.0,-0.4775886666901765,0.6185984560040364,-1.4213593273163134,0.0,0.0,-0.4469336642021388,-0.5258181711080171,-0.5537431352756564,0.19725210657273107,0.30172673714187564,-0.1234476854025202,-0.09916123019570092,0.07724308131241742,-0.3333333333333333,-1.131478777399512,0.8245594194243778,0.7599912720074358,0.6415472584841083,1.6789631415378876,0.7656693794247365,0.7977349692921559,-0.481658702312918,-1.1666666666666667
S0014,-0.0014815794962830925,-0.10609806942884617,-0.09436312664783202,0.09503304901127375,0.0,0.21212121212121263,-0.1876295887081429,-0.23543068081029822,0.327430402032007,0.0,0.692184293836951,0.0,0.6331342957207706,0.0,0.05907453431395915,0.0,0.012459576518297122,0.0,0.0,0.0,0.020604377877188836,-0.10200043086433154,0.3150188974365899,0.0,0.0,0.4965929602245991,0.14315947363683257,0.08022189452761254,-0.0014815794962830925,0.0855361032637232,-0.019046796345103367,-0.05296811053932308,-0.2617270965678798,0.3333333333333333,0.12571986415550193,-0.17903409315275282,-0.10910765786244271,0.06190368283617988,-0.37424279900454993,-0.29565451284717376,-0.44511299011228955,0.18995323589892424,-0.16666666666666666
S0015,0.6913346245535754,1.030897191058175,0.8698632666782282,0.66263608838498,0.0,0.21212121212121263,-0.9113641778243883,0.05901079159987981,1.09268459040848,0.3096774193548388,0.2879486662361716,0.1497875627655517,-0.47254910128766675,0.1809822227906393,0.2904757035937412,0.0,0.9060604044109201,0.0,0.06857142857142841,0.05886287625418037,-0.8823618782125193,0.5294794916280702,0.24182330669312513,0.0,0.0,0.9872268049265028,-0.11541538399174378,-0.11636441828552482,0.6913346245535754,-0.3332660554889821,-0.893966988456723,-0.7693167969029994,0.7788360242166015,2.0,0.0,0.49829363831352536,0.5170315622375645,-0.12009314470221166,0.40502709538053583,0.33689452694688504,0.3579579990413531,-0.4047859734237759,0.8333333333333334
S0016,-0.6083172162220932,0.28898147804261753,-0.11674913409103276,-0.10814247582129663,8.924999999999997,-0.06787878787878712,1.7988278458093243,2.676759248739274,0.062044063374902786,2.1677419354838716,-0.40977310195147487,1.3025005457874812,-1.2327367859678522,1.573758459049012,-1.7157750137852015,1.0,0.44865309880250387,1.8242990654205713,3.5776397515527707,3.2795031055900385,-0.5018629222537592,0.10196677846221161,8.841969145097579,11.089152393500285,2.0,-0.8620853789499039,-1.820053495285197,-1.858832575511141,-0.6083172162220932,-1.8946278389532105,-0.2755209210433531,-0.2509386233524244,0.3688436044109669,-0.3333333333333333,-0.3520156196354034,3.929331367674341,3.761406078123699,-1.4738459443954774,2.6451388940991856,2.6299078684588797,2.839556616885178,3.1098587389981356,0.3333333333333333
S0017,-0.4975514343377868,-1.9668433250451196,-0.7847679471118505,-0.8338755395219823,0.0,0.21212121212121263,-0.6871396578834708,-0.07257588412325075,-0.1472315472150147,0.0,-0.7198716655904288,0.0,-0.5430503784960049,0.0,-2.8556901941141364,2.0,0.6292086141742549,0.0,0.0,0.0,0.4994501197429362,-2.72336270809465,1.3173378385655878,0.0,0.0,-0.8620853789499042,0.7071515755932688,0.6895669231734814,-0.4975514343377868,1.068911337904087,0.9052830262853,0.9632805219012065,-0.841170092771328,-0.3333333333333333,-1.1733853987846792,0.8245594194243778,0.7599912720074358,0.4426113322787739,1.5113399775698542,0.7656693794247365,0.7977349692921559,-0.481658702312918,-0.8333333333333334
S0020,0.032026172284869224,0.21572960251801226,-0.04772874012577508,0.25569367012358674,0.0,0.21212121212121263,0.03683250059736979,-0.3086118440612196,0.2596820966527612,0.0,0.8306211526043411,0.0,0.05399918310154925,0.0,0.44747994097716165,0.0,-0.26468554249396714,0.0,0.0,0.0,0.22750679911209984,0.12751240384619464,0.998021601776314,0.0,0.0,0.26071130411791393,-0.03925984091267541,-0.08905845871244143,0.032026172284869224,-0.016209543616798765,-0.09687530539583615,-0.18919866681409458,-0.04367417098973053,0.3333333333333333,0.25667805598414906,0.03999797473552351,0.01963077086367701,0.058477279727162275,-0.15366965798652793,-0.144092761441553,-0.3166151502416588,-0.026967229578303678,0.16666666666666666
