sample_id,cluster,membership_probability,outlier_score,source_path,figure_id,unit,duration_analysis,clean_n,qc_flags
S0065,1,0.8625946045498006,0.1374053954501993,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,图片162,hours,1456.7496729510262,75,
S0066,1,0.8516255509132249,0.14837444908677516,/Users/shunhao/Desktop/ML/method1/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Control__Series_1.csv,图片163,hours,580.9602607474253,38,
S0067,1,0.37122180710249214,0.6287781928975078,/Users/shunhao/Desktop/ML/method1/samples_test/图片163/accepted/samples_test__unknown__unknown__图片163__Target__Series_2.csv,图片163,hours,1413.14658019644,91,
S0071,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,图片17,hours,1131.1470929831216,50,
S0072,1,0.3812588870345839,0.6187411129654161,/Users/shunhao/Desktop/ML/method1/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,图片17,hours,1154.2317275337978,51,
S0081,1,0.6095553832370624,0.39044461676293757,/Users/shunhao/Desktop/ML/method1/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Target__Series_2.csv,图片180,hours,396.76992939273947,59,
S0086,1,0.32391024514444605,0.676089754855554,/Users/shunhao/Desktop/ML/method1/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,图片184,hours,990.6839997767673,48,
S0087,1,0.38317068205003907,0.6168293179499609,/Users/shunhao/Desktop/ML/method1/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,图片184,hours,743.0129998325757,37,
S0095,1,0.12096064051428028,0.8790393594857198,/Users/shunhao/Desktop/ML/method1/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,图片193,hours,446.204850971782,40,negative_start_retained_shifted
S0099,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv,图片197,hours,500.03163787024835,38,negative_start_retained_shifted
