curve_id,strict_class,strict_topology_match,window_hours,confidence_level,source_csv,source_png,exported_csv,exported_png,csv_sha256,png_sha256,duration_hours,gain_ratio,early_peak_drop_ratio,early_drop_ratio,recovery_ratio,post_recovery_drop_ratio,early_slope,late_slope
图片59_310539ca94,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片59__Target__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片59__Target__Series_2.png,4310970ad6068d7fbdf9c3522f5f1a78bbe1b2ba6006530e7cad162b5a9b952b,f587c5a8f42caa19247978ab0a3df8fa4c609bbc0a8732e525268fc418162de7,998.2401078,0.04007629994,0.8536043659,0.8173936252,0.003865559209,0.1416923849,-1.616307824,-0.07840954667
图片62_a6edecddb8,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_2__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_2__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片62__Series_2__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片62__Series_2__Series_2.png,ebfc54839934ba5eb8aa588ac4e76fc7cd3c5aa20cc5a4180ba87d32f4f8994d,e8788ae280038e2fa9d04fb83733b2707d7b6e214552bddccf31e24d3f35f04f,1423.402859,0.05211099481,0.7418439274,0.6897329326,0.07573627032,0.09557367403,-0.5540047404,0.005467359347
图片63_ccd7968c5f,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.png,85a3e10004709b263d450802de7e00baffc389761bb331707fc1f0a0f28d8bd3,2da706352c3c6a03315592ecb09fcf3b1565dc2fc059bfc1829f543e1e4cf2aa,983.8846345,0.06218241338,0.5995959439,0.5374135305,0,0.4003040311,-0.3067664778,-0.04678477221
图片63_e09300d500,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.csv,lab-v2/som_references/accepted/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.png,csv/IFO-Slope/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.csv,png/IFO-Slope/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.png,316ec258353233774d840fbd1972bd581ab9ee239c9077075cd2208114514737,82c40be9a753538b6abe0a75b8021dc1e4508187730cd79a1349e21bf7e8eaeb,997.5496989,0.08008039473,0.7098793316,0.6297989368,0,0.2891238235,-0.4465057696,-0.01318565948
图片71_9c21e81598,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Control__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Control__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片71__Control__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片71__Control__Series_2.png,454fa70879d7289cc8d371e50ed5856f736da779da0f4241c93451a39239fc77,cd2d17cc63078bfb4629cd9aea854577e70febe1fb799be7a777ae21e4f83ce9,789.0591954,0.005574035398,0.4486509471,0.4430769117,0,0.5400397073,-0.7644594633,-0.2407869288
图片71_c5d93d7f57,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Target__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Target__Series_1.png,csv/IFO-Slope/samples_test__unknown__unknown__图片71__Target__Series_1.csv,png/IFO-Slope/samples_test__unknown__unknown__图片71__Target__Series_1.png,f46096aef147702aab8bf3c60ec64cf541a7267a57d4297f2e76a8824b22372d,aded1ac16ba8fb8f3c0c25a4930717f06fdf36d9eb2c30f08ce90d4bfe81570f,772.6204622,0.08553571927,0.7458133369,0.6602776177,0.21530317,0.0359688405,-1.249226139,0.007029538015
图片74_5d7058438c,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_3__Series_3.csv,lab-v2/som_references/accepted/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_3__Series_3.png,csv/IFO-Slope/samples_test__unknown__unknown__图片74__Series_3__Series_3.csv,png/IFO-Slope/samples_test__unknown__unknown__图片74__Series_3__Series_3.png,325c8b716637e1b77a22cd56b33942002010e6a8501288cec9ce138b500ae0a7,9e35bfca2168adf7ee21e8dc3bfba7e0b1b07a43649de6108eb261d7042b9347,1968.565133,0.005737939851,0.2426612131,0.2369232733,0,0.751600847,-0.02099026668,-0.02100070468
图片75_f438d34951,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.png,187f0dc9a3c1216aefa013d5a8a6acf756e4690d9b3e6faff6b6bd5c2f4c02a5,d577fe6ac8098dc315cdbe492fd4122ffa36c0127115c5f6a52d84980cb13007,1000.551487,0.01543939257,0.7033767536,0.6879373611,0,0.294655053,-0.6997382259,-0.07129920128
图片75_9ce42888b8,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.png,csv/IFO-Slope/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.csv,png/IFO-Slope/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.png,1881299258948162326ca07be30030256cfe32a2c394117d42727f06be75eb37,6fb33dc4ff624ceeaecb25069c8eff9bc9afa9ff11f9c4cabc787c4e29147400,1000.551487,0.02702961226,0.3834409489,0.3564781017,0.01059514027,0.6167406259,-0.05035160116,-0.05170291194
图片87_1dae4b0735,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_1__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_1__Series_1.png,csv/IFO-Slope/samples_test__unknown__unknown__图片87__Series_1__Series_1.csv,png/IFO-Slope/samples_test__unknown__unknown__图片87__Series_1__Series_1.png,916ea9f22aad1b20bc11fad296de9e957aff2e7eda907bac2746685b161b8e0e,98972b2d6c3f970028a1e154837d4ea9e791b01d122620f6c3b349ab7cb52713,1033.87891,0.113524419,0.9921349729,0.886475581,0.239290197,0.1093325008,-0.04329551485,-0.004679607166
图片87_1c26b92a11,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_2__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_2__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片87__Series_2__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片87__Series_2__Series_2.png,b93bc9922c74e92b68058d74af81d57f1378bf3b34b6523a1d6da68464fcf525,5c48fce3d8b718ee7d08d593f751b767db7ca4be1e5b3905b61a09f5158dc85d,1033.87891,0.003175568036,0.4300645413,0.4268889732,0,0.5586960199,-0.216090567,-0.08019248642
图片88_42cc027bcd,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_1__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_1__Series_1.png,csv/IFO-Slope/samples_test__unknown__unknown__图片88__Series_1__Series_1.csv,png/IFO-Slope/samples_test__unknown__unknown__图片88__Series_1__Series_1.png,3e5e23b603694e5b411fd10ba32e97dcf3354dcaeeeb86f0135d314184fb9ad4,a3e462d24f7f3a1ede6a87036d00b9b4a18d7e744c3a1c63c1129f4554960dd5,989.9325475,0.004588334907,0.2952555056,0.2906671707,0,0.6989970069,-0.2783343632,-0.2392978557
图片88_becac536eb,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_2__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_2__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片88__Series_2__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片88__Series_2__Series_2.png,0a93b8cd8b47cd0d89518eaa063f09db9ba475f1df240f4d0b016ecbfa66d10a,8b2ae7650cc4e77a9e5350d564317faca39ae283bd7327c313400bc4e39426dc,989.9325475,0.01878990166,0.5276347524,0.510496379,0.00486828875,0.472307433,-0.06117685513,-0.003572956703
图片88_fe602bba7f,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_3__Series_3.csv,lab-v2/som_references/accepted/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_3__Series_3.png,csv/IFO-Slope/samples_test__unknown__unknown__图片88__Series_3__Series_3.csv,png/IFO-Slope/samples_test__unknown__unknown__图片88__Series_3__Series_3.png,7c0917bfaca0f4bda5cdc8fddf78213496e0bc3f5e9754b7991b25e986def632,46f3717a92518cea19ad641a0374151023431c7636b5d5386a2035d9986d5114,989.9325475,0.003963905756,0.3072261407,0.3110115679,0.01220378942,0.6965592194,-0.1020034832,-0.05892280328
图片114_9f1ff62ac8,IFO-Valley,True,750,high,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.png,csv/IFO-Valley/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,png/IFO-Valley/samples_test__unknown__unknown__图片114__Series_2__Series_2.png,12a4985c0a851c908b5f88d3e03b04f9edabca73e95f241338c1fce3330f522a,033790396ea1c9fab95db85f518940731a18ed5c2a93f1e2f53dca72f1af7dc7,985.9034106,0.4308701063,0.3984251089,0.4319314652,0.8628015714,0.8419918125,-0.1958979021,-0.01790614192
图片135_933b9d0c2e,IFO-Valley,True,750,high,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.png,csv/IFO-Valley/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,png/IFO-Valley/samples_test__unknown__unknown__图片135__Series_1__Series_1.png,58db2675e2c0b4d08ab2ef68fbb104ac7474faea18ec3a90042e36fc9c5ad5da,0183e3f68eddacfcff3f23fcd7067d53d81770d22535464e9025e81afd276f35,1011.057273,0.1159825519,0.3319499968,0.8840174481,0.669707188,0.3367000496,-0.1270995602,-0.0118257748
图片58_1257c313d3,IFO-Valley,True,750,low_review,lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_2__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_2__Series_2.png,csv/IFO-Valley/samples_test__unknown__unknown__图片58__Series_2__Series_2.csv,png/IFO-Valley/samples_test__unknown__unknown__图片58__Series_2__Series_2.png,01b330977599bbfcd7b12793c40f4717a2c665ebf6ba7a886a9d7f0328122b32,3d47bd583f5de348eda58277a8775e9a06fa91d13a76989bf4e67fad9090e34b,2328.663754,0.06602723511,0.6782492779,0.6122220427,0.6782492779,0.2637754588,-0.03764948505,-0.006634433768
图片89_b4f2cac963,IFO-Valley,True,750,high,lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.png,csv/IFO-Valley/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.csv,png/IFO-Valley/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.png,0375567e4a2225e9ef72f1ec96027a10482dca1ed22de5fc52cbf8a129fce9d1,01a689f7de41ea6e874b665e07c21cd3fdfdd5b42c022786e92319d3f673c9bf,1002.752268,0.3757562283,0.1965684954,0.4220171969,0.7977734252,0.9759881022,-0.06492678127,-0.04441758763
