raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name,naming_basis
0,448,0.9928167235973826,0.986670375552149,0.8508257841941903,-0.006146348045233618,-0.1419909394031923,-0.000710687671777526,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.851, slope_0_10h=-0.00061/h, slope_100_200h=-0.00071/h, Δ200h=-0.142, n=448"
1,142,0.9984757251666468,0.9632215215532629,0.5322645818542588,-0.03525420361338394,-0.466211143312388,-0.0019614309438670593,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.532, slope_0_10h=-0.00353/h, slope_100_200h=-0.00196/h, Δ200h=-0.466, n=142"
2,74,0.9990437776872423,0.9274155272452345,0.3431393795103187,-0.07162825044200782,-0.6559043981769236,-0.0021479620795378544,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.343, slope_0_10h=-0.00716/h, slope_100_200h=-0.00215/h, Δ200h=-0.656, n=74"
3,832,0.987691162547401,0.9886816787648913,0.9548525430915702,0.000990516217490356,-0.032838619455830775,-0.00022987409760039112,no_initial_change_stable_decelerating_loss,"PCE@200h=0.955, slope_0_10h=0.00010/h, slope_100_200h=-0.00023/h, Δ200h=-0.033, n=832"
4,296,0.9962043113262816,0.978002996541577,0.7240273648455581,-0.01820131478470466,-0.27217694648072355,-0.0011498085755940295,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.724, slope_0_10h=-0.00182/h, slope_100_200h=-0.00115/h, Δ200h=-0.272, n=296"
5,20,0.9998426951766115,0.8801185869849639,0.1470084765823521,-0.11972410819164758,-0.8528342185942595,-0.0018594041632483509,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.147, slope_0_10h=-0.01197/h, slope_100_200h=-0.00186/h, Δ200h=-0.853, n=20"
