cluster_i,cluster_j,pearson_correlation,centroid_rmse
0,0,1.0,0.0
0,1,0.9956549460829716,0.19202039692872172
0,2,0.9507979262329903,0.5399251734150369
0,3,0.9897137442511522,0.06791574547328727
0,4,0.9924658347726919,0.08120852720918902
0,5,0.980920477269693,0.33090903496587043
1,0,0.9956549460829714,0.19202039692872172
1,1,1.0,0.0
1,2,0.9752344265951421,0.3509528312926681
1,3,0.9733014546339508,0.2597145816010308
1,4,0.9983700203887209,0.11172549543140091
1,5,0.9942658683692626,0.14112960036556807
2,0,0.9507979262329904,0.5399251734150369
2,1,0.9752344265951423,0.3509528312926681
2,2,1.0,0.0
2,3,0.8987291340168925,0.6061718702330913
2,4,0.9785532746813569,0.45889901386638254
2,5,0.9915025623061529,0.2102946433650703
3,0,0.9897137442511522,0.06791574547328727
3,1,0.9733014546339507,0.2597145816010308
3,2,0.8987291340168926,0.6061718702330913
3,3,1.0,0.0
3,4,0.9666379705808467,0.14837824194064847
3,5,0.9454958525976676,0.3977975563540861
4,0,0.9924658347726919,0.08120852720918902
4,1,0.9983700203887209,0.11172549543140091
4,2,0.9785532746813569,0.45889901386638254
4,3,0.9666379705808467,0.14837824194064847
4,4,0.9999999999999998,0.0
4,5,0.9955110889078326,0.2498125755031787
5,0,0.980920477269693,0.33090903496587043
5,1,0.9942658683692626,0.14112960036556807
5,2,0.9915025623061527,0.2102946433650703
5,3,0.9454958525976673,0.3977975563540861
5,4,0.9955110889078326,0.2498125755031787
5,5,0.9999999999999999,0.0
