variant_id,k,seed,inertia,silhouette,min_cluster_fraction
w0150_coverage_maxabs_level,2,11,674.8891200386988,0.7081023424312769,0.15885837372105546
w0150_coverage_maxabs_level,2,23,674.8891200386988,0.7081023424312769,0.15885837372105546
w0150_coverage_maxabs_level,2,37,674.8710666799102,0.7075616713238918,0.16047388260635434
w0150_coverage_maxabs_level,2,53,674.8710666799102,0.7075616713238918,0.16047388260635434
w0150_coverage_maxabs_level,2,71,674.8710666799102,0.7075616713238918,0.16047388260635434
w0150_coverage_maxabs_level,3,11,378.0479702972596,0.6230280737823578,0.06892837910608508
w0150_coverage_maxabs_level,3,23,378.0479702972596,0.6230280737823578,0.06892837910608508
w0150_coverage_maxabs_level,3,37,378.0479702972596,0.6230280737823578,0.06892837910608508
w0150_coverage_maxabs_level,3,53,378.0479702972596,0.6230280737823578,0.06892837910608508
w0150_coverage_maxabs_level,3,71,378.0479702972596,0.6230280737823578,0.06892837910608508
w0150_coverage_maxabs_level,4,11,265.62446333382275,0.5810438555629037,0.03500269251480883
w0150_coverage_maxabs_level,4,23,265.6394491570455,0.5836016887491441,0.03284868066774367
w0150_coverage_maxabs_level,4,37,265.62446333382275,0.5810438555629037,0.03500269251480883
w0150_coverage_maxabs_level,4,53,265.62446333382275,0.5810438555629037,0.03500269251480883
w0150_coverage_maxabs_level,4,71,265.62446333382275,0.5810438555629037,0.03500269251480883
w0150_coverage_maxabs_level,5,11,209.17637598237593,0.5384062559994609,0.022617124394184167
w0150_coverage_maxabs_level,5,23,209.81478978376776,0.5532625777618079,0.0210016155088853
w0150_coverage_maxabs_level,5,37,209.17637598237593,0.5384062559994609,0.022617124394184167
w0150_coverage_maxabs_level,5,53,210.17032527901242,0.49799371687987226,0.022617124394184167
w0150_coverage_maxabs_level,5,71,209.17637598237593,0.5384062559994609,0.022617124394184167
w0150_coverage_maxabs_level,6,11,175.6681244233816,0.4768444481325085,0.01992460958535272
w0150_coverage_maxabs_level,6,23,175.68589122642544,0.4759170564835712,0.0210016155088853
w0150_coverage_maxabs_level,6,37,175.88260027391996,0.4829868438962447,0.015616585891222402
w0150_coverage_maxabs_level,6,53,175.6681244233816,0.4768444481325085,0.01992460958535272
w0150_coverage_maxabs_level,6,71,175.68589122642544,0.4759170564835712,0.0210016155088853
w0150_coverage_maxabs_level,7,11,159.27974814647342,0.4578097631018973,0.015616585891222402
w0150_coverage_maxabs_level,7,23,159.87775252732536,0.46489704459449427,0.014539579967689823
w0150_coverage_maxabs_level,7,37,159.88868387220157,0.46559180008240886,0.012924071082390954
w0150_coverage_maxabs_level,7,53,159.44611521464392,0.4570108397109617,0.014539579967689823
w0150_coverage_maxabs_level,7,71,160.51424978966136,0.48021831765093154,0.005385029617662897
w0150_coverage_maxabs_level,8,11,145.75252715005183,0.45780001581784524,0.004308023694130318
w0150_coverage_maxabs_level,8,23,147.83987742287053,0.455469365745607,0.012385568120624663
w0150_coverage_maxabs_level,8,37,147.6895157034006,0.47254447654955567,0.0059235325794291865
w0150_coverage_maxabs_level,8,53,145.6679499529909,0.45621822717662025,0.004308023694130318
w0150_coverage_maxabs_level,8,71,145.9980672270995,0.42661776364527737,0.005385029617662897
w0150_coverage_maxabs_level,9,11,133.88662876945725,0.4267012720503094,0.004846526655896607
w0150_coverage_maxabs_level,9,23,139.2903653472489,0.47054041409251723,0.0005385029617662897
w0150_coverage_maxabs_level,9,37,134.2154209851908,0.4242640220369796,0.0059235325794291865
w0150_coverage_maxabs_level,9,53,139.1430066949731,0.41319732848965773,0.014539579967689823
w0150_coverage_maxabs_level,9,71,134.66631946166498,0.45691659895301767,0.0005385029617662897
w0150_coverage_maxabs_level,10,11,122.30588092098435,0.42453399612529297,0.004308023694130318
w0150_coverage_maxabs_level,10,23,125.79772136231428,0.423908727176902,0.0005385029617662897
w0150_coverage_maxabs_level,10,37,126.42693244888318,0.4204784154538602,0.004846526655896607
w0150_coverage_maxabs_level,10,53,130.29149759480438,0.4631302880296023,0.0005385029617662897
w0150_coverage_maxabs_level,10,71,123.97539696539778,0.4205449226856052,0.005385029617662897
w0150_coverage_z_level,2,11,15691.058378435442,0.7597192387780543,0.08239095315024232
w0150_coverage_z_level,2,23,15691.058378435442,0.7597192387780543,0.08239095315024232
w0150_coverage_z_level,2,37,15691.058378435442,0.7597192387780543,0.08239095315024232
w0150_coverage_z_level,2,53,15691.058378435442,0.7597192387780543,0.08239095315024232
w0150_coverage_z_level,2,71,15691.058378435442,0.7597192387780543,0.08239095315024232
w0150_coverage_z_level,3,11,12069.84581708162,0.4902987463706061,0.07377490576198169
w0150_coverage_z_level,3,23,12060.029337484553,0.43904907806042076,0.07431340872374798
w0150_coverage_z_level,3,37,12058.80401955968,0.4285211403242036,0.07539041464728057
w0150_coverage_z_level,3,53,12069.84581708162,0.4902987463706061,0.07377490576198169
w0150_coverage_z_level,3,71,12060.029337484553,0.43904907806042076,0.07431340872374798
w0150_coverage_z_level,4,11,9578.506387787998,0.41708865178731647,0.07215939687668282
w0150_coverage_z_level,4,23,9578.506387787998,0.41708865178731647,0.07215939687668282
w0150_coverage_z_level,4,37,9578.506387787998,0.41708865178731647,0.07215939687668282
w0150_coverage_z_level,4,53,9857.624363320128,0.3621561295618952,0.043080236941303175
w0150_coverage_z_level,4,71,9578.506387787998,0.41708865178731647,0.07215939687668282
w0150_coverage_z_level,5,11,8202.421350559776,0.40444138361894694,0.035541195476575124
w0150_coverage_z_level,5,23,8177.661220950038,0.41654931498548836,0.03231017770597738
w0150_coverage_z_level,5,37,8180.6431704536335,0.41776747769186046,0.031233171782444804
w0150_coverage_z_level,5,53,8177.661220950038,0.41654931498548836,0.03231017770597738
