raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name,naming_basis
0,448,0.9927646586825787,0.9866648580789603,0.8509218571197658,-0.006099800603618366,-0.14184280156281293,-0.0007097918629293548,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.851, slope_0_10h=-0.00061/h, slope_100_200h=-0.00071/h, Δ200h=-0.142, n=448"
1,142,0.9983311931997113,0.9632134461113497,0.5326421365861809,-0.03511774708836157,-0.46568905661353044,-0.0019577581497540624,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.533, slope_0_10h=-0.00351/h, slope_100_200h=-0.00196/h, Δ200h=-0.466, n=142"
2,74,0.9989485526804627,0.9272887428076644,0.3437191925058558,-0.0716598098727983,-0.6552293601746069,-0.002142159587754157,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.344, slope_0_10h=-0.00717/h, slope_100_200h=-0.00214/h, Δ200h=-0.655, n=74"
3,832,0.9877080425910745,0.9886881828848281,0.9548723900669297,0.0009801402937535952,-0.032835652524144776,-0.00022969377876045757,no_initial_change_stable_decelerating_loss,"PCE@200h=0.955, slope_0_10h=0.00010/h, slope_100_200h=-0.00023/h, Δ200h=-0.033, n=832"
4,296,0.996249664320354,0.9780117444164697,0.7242770572505624,-0.018237919903884348,-0.27197260706979165,-0.0011471797885731418,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.724, slope_0_10h=-0.00182/h, slope_100_200h=-0.00115/h, Δ200h=-0.272, n=296"
5,20,1.0,0.880200576471655,0.14699083109433822,-0.11979942352834505,-0.8530091689056618,-0.0018590370146502548,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.147, slope_0_10h=-0.01198/h, slope_100_200h=-0.00186/h, Δ200h=-0.853, n=20"
